seed,arm,analysis,context,view,timing_label,target,variant,model,population,clinical_contract,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,delta_auroc_vs_C+F+R0,delta_auprc_vs_C+F+R0,brier_improvement_vs_C+F+R0,delta_auroc_vs_C+F,delta_auprc_vs_C+F,brier_improvement_vs_C+F,timing,delta_auroc_vs_cf_r0,delta_auroc
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T2,,pCR,S3,C+F+S3,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6911149228130361,0.48171787118881626,0.6448542024013721,0.20646026948958146,-0.011355060034305309,-0.010229063046207354,-0.0033157943045690474,-0.034991423670668875,-0.05828319397236781,-0.017724775594873066,T0-T2,-0.011355060034305309,-0.011355060034305309
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T2,,pCR,S4,C+F+S4,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6970154373927958,0.47896122416702147,0.6379931389365352,0.21237012334601665,-0.005454545454545601,-0.012985710068002143,-0.00922564816100424,-0.029090909090909167,-0.0610398409941626,-0.02363462945130826,T0-T2,-0.005454545454545601,-0.005454545454545601
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T2,,pCR,S5,C+F+S5,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6393481989708405,0.4046574114878012,0.645540308747856,0.25586316733940073,-0.06312178387650091,-0.0872895227472224,-0.05271869215438832,-0.08675814751286448,-0.13534365367338286,-0.06712767344469234,T0-T2,-0.06312178387650091,-0.06312178387650091
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T3,late/pre-surgery,pCR,NONE,C+F,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.7154030874785592,0.5393749537451002,0.68147512864494,0.19299362818294807,0.026620926243567822,0.06663630395474063,0.016924345028398263,0.0,0.0,0.0,T0-T3,0.026620926243567822,0.026620926243567822
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T3,late/pre-surgery,pCR,R0,C+F+R0,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6887821612349914,0.4727386497903596,0.6424528301886793,0.20991797321134634,0.0,0.0,0.0,-0.026620926243567822,-0.06663630395474063,-0.016924345028398263,T0-T3,0.0,0.0
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T3,late/pre-surgery,pCR,R1,C+F+R1,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.7202744425385934,0.5256820290073465,0.6531732418524872,0.1980198890587286,0.03149228130360204,0.052943379216986886,0.011898084152617727,0.0048713550600342215,-0.013692924737753742,-0.005026260875780536,T0-T3,0.03149228130360204,0.03149228130360204
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T3,late/pre-surgery,pCR,R2,C+F+R2,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6733447684391081,0.43508159465071644,0.5961406518010292,0.22677277707576407,-0.015437392795883298,-0.03765705513964318,-0.016854803864417733,-0.04205831903945112,-0.10429335909438381,-0.033779148892816,T0-T3,-0.015437392795883298,-0.015437392795883298
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T3,late/pre-surgery,pCR,R3,C+F+R3,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.673859348198971,0.4496520041752207,0.6214408233276157,0.21794646606106396,-0.014922813036020388,-0.0230866456151389,-0.008028492849717628,-0.04154373927958821,-0.08972294956987953,-0.02495283787811589,T0-T3,-0.014922813036020388,-0.014922813036020388
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T3,late/pre-surgery,pCR,R4,C+F+R4,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6389022298456261,0.45180255001850167,0.6117495711835335,0.2349763685886824,-0.049879931389365306,-0.020936099771857952,-0.025058395377336062,-0.07650085763293313,-0.08757240372659858,-0.041982740405734326,T0-T3,-0.049879931389365306,-0.049879931389365306
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T3,late/pre-surgery,pCR,R5,C+F+R5,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6335506003430531,0.4193271740271307,0.5692967409948542,0.24358607801903645,-0.05523156089193826,-0.05341147576322891,-0.033668104807690113,-0.08185248713550608,-0.12004777971796954,-0.05059244983608838,T0-T3,-0.05523156089193826,-0.05523156089193826
