seed,arm,context,view,timing,target,population,candidate,reference_model,comparison_model,metric,reference,comparison,estimate,improvement,delta_auroc,ci_lower,ci_upper,confidence_level,n_patients,n_folds,n_bootstrap,n_valid_bootstrap,bootstrap_unit,ci_method,orientation,bootstrap_seed
2026,LOCAL0,C_PLUS_F,T0-T2,T0-T2,pCR,ftv_complete_375,R5,C+F+R0,C+F+R5,auprc,0.4919469342350236,0.4223072667890752,-0.0696396674459484,-0.0696396674459484,,-0.11568515302250038,-0.018851537781505705,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,C_PLUS_F,T0-T2,T0-T2,pCR,ftv_complete_375,R5,C+F+R0,C+F+R5,brier,0.2031444751850124,0.24015700399536552,-0.03701252881035311,-0.03701252881035311,,-0.05466040351726009,-0.01927898026150393,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL3,MRI_ONLY,T0,T0,pCR,full_808,R2,R0,R2,auroc,0.5208732730683949,0.5185604639263175,-0.002312809142077432,-0.002312809142077432,-0.002312809142077432,-0.048024797711916194,0.04025517616800227,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL3,MRI_ONLY,T0,T0,pCR,full_808,R2,R0,R2,auprc,0.3489863499972896,0.35970412266594065,0.010717772668651038,0.010717772668651038,,-0.026275847469948,0.046017604487380986,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL3,MRI_ONLY,T0,T0,pCR,full_808,R2,R0,R2,brier,0.2476700674293039,0.27089715981234386,-0.023227092383039966,-0.023227092383039966,,-0.03709195182648117,-0.01021458837115472,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL3,C_PLUS_F,T0,T0,pCR,ftv_complete_375,R2,C+F+R0,C+F+R2,auroc,0.6152315608919382,0.6460377358490565,0.03080617495711835,0.03080617495711835,0.03080617495711835,-0.01943021891152342,0.07775477732564139,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL3,C_PLUS_F,T0,T0,pCR,ftv_complete_375,R2,C+F+R0,C+F+R2,auprc,0.37642141470815027,0.45159675204372224,0.07517533733557197,0.07517533733557197,,0.014926095478206659,0.12891653620245935,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL3,C_PLUS_F,T0,T0,pCR,ftv_complete_375,R2,C+F+R0,C+F+R2,brier,0.23888348371336338,0.21397515910578485,0.024908324607578525,0.024908324607578525,,0.006039186021620434,0.04268048946646139,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL3,MRI_ONLY,T0,T0,pCR,full_808,R3,R0,R3,auroc,0.5208732730683949,0.547760532150776,0.0268872590823811,0.0268872590823811,0.0268872590823811,-0.006164947278522315,0.05929654336265755,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL3,MRI_ONLY,T0,T0,pCR,full_808,R3,R0,R3,auprc,0.3489863499972896,0.37913893987979613,0.03015258988250652,0.03015258988250652,,-0.005534813135528767,0.06740321939496702,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL3,MRI_ONLY,T0,T0,pCR,full_808,R3,R0,R3,brier,0.2476700674293039,0.23734764200281808,0.010322425426485815,0.010322425426485815,,0.000797888146922625,0.019513847707304015,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL3,C_PLUS_F,T0,T0,pCR,ftv_complete_375,R3,C+F+R0,C+F+R3,auroc,0.6152315608919382,0.6673413379073756,0.0521097770154374,0.0521097770154374,0.0521097770154374,0.004054645640447934,0.10350548777980616,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL3,C_PLUS_F,T0,T0,pCR,ftv_complete_375,R3,C+F+R0,C+F+R3,auprc,0.37642141470815027,0.4502873271644366,0.07386591245628632,0.07386591245628632,,0.02110962961728035,0.12573945046656884,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL3,C_PLUS_F,T0,T0,pCR,ftv_complete_375,R3,C+F+R0,C+F+R3,brier,0.23888348371336338,0.21242694007505208,0.026456543638311292,0.026456543638311292,,0.008198245800864987,0.04508707348607199,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL3,MRI_ONLY,T0,T0,pCR,full_808,R5,R0,R5,auroc,0.5208732730683949,0.4915708681562341,-0.02930240491216085,-0.02930240491216085,-0.02930240491216085,-0.06861226972619705,0.014449581095044703,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL3,MRI_ONLY,T0,T0,pCR,full_808,R5,R0,R5,auprc,0.3489863499972896,0.33525392786242647,-0.013732422134863143,-0.013732422134863143,,-0.04590355222735242,0.020727516061954984,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL3,MRI_ONLY,T0,T0,pCR,full_808,R5,R0,R5,brier,0.2476700674293039,0.3015214421779785,-0.0538513747486746,-0.0538513747486746,,-0.06871908529436341,-0.038297277808681106,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL3,C_PLUS_F,T0,T0,pCR,ftv_complete_375,R5,C+F+R0,C+F+R5,auroc,0.6152315608919382,0.6285420240137221,0.013310463121783855,0.013310463121783855,0.013310463121783855,-0.024869728639292033,0.0535329617284947,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL3,C_PLUS_F,T0,T0,pCR,ftv_complete_375,R5,C+F+R0,C+F+R5,auprc,0.37642141470815027,0.404498654016931,0.028077239308780755,0.028077239308780755,,-0.012975220100840042,0.0688153202542756,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL3,C_PLUS_F,T0,T0,pCR,ftv_complete_375,R5,C+F+R0,C+F+R5,brier,0.23888348371336338,0.22425908150582918,0.014624402207534193,0.014624402207534193,,0.0002346126648681886,0.02887573459001923,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,pCR,full_808,R2,R0,R2,auroc,0.5365580760702713,0.5276616066859969,-0.008896469384274353,-0.008896469384274353,-0.008896469384274353,-0.04075683153628525,0.02274947873164598,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,pCR,full_808,R2,R0,R2,auprc,0.3645629015345259,0.36473167534918494,0.00016877381465901786,0.00016877381465901786,,-0.029507902517607473,0.027802538325745228,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,pCR,full_808,R2,R0,R2,brier,0.25054057687806447,0.2649857019564222,-0.014445125078357712,-0.014445125078357712,,-0.025574576268273978,-0.0026596935605314675,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL3,C_PLUS_F,T0-T1,T0-T1,pCR,ftv_complete_375,R2,C+F+R0,C+F+R2,auroc,0.6960548885077187,0.6851801029159519,-0.0108747855917668,-0.0108747855917668,-0.0108747855917668,-0.03783804941521743,0.016093910919997883,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL3,C_PLUS_F,T0-T1,T0-T1,pCR,ftv_complete_375,R2,C+F+R0,C+F+R2,auprc,0.49109604122656847,0.47273726565996965,-0.018358775566598817,-0.018358775566598817,,-0.06440211277655268,0.021262475222802744,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL3,C_PLUS_F,T0-T1,T0-T1,pCR,ftv_complete_375,R2,C+F+R0,C+F+R2,brier,0.19972408538461867,0.2129171048322028,-0.013193019447584137,-0.013193019447584137,,-0.024866818928929356,-0.001945159717650341,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,pCR,full_808,R3,R0,R3,auroc,0.5365580760702713,0.554132696571721,0.017574620501449756,0.017574620501449756,0.017574620501449756,-0.01903205362966544,0.05240957390979361,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,pCR,full_808,R3,R0,R3,auprc,0.3645629015345259,0.37888438674803654,0.01432148521351062,0.01432148521351062,,-0.02409054957571318,0.05067878074912244,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,pCR,full_808,R3,R0,R3,brier,0.25054057687806447,0.2368593073517559,0.013681269526308576,0.013681269526308576,,0.0021966251711341505,0.02483811898465761,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL3,C_PLUS_F,T0-T1,T0-T1,pCR,ftv_complete_375,R3,C+F+R0,C+F+R3,auroc,0.6960548885077187,0.6889879931389365,-0.007066895368782133,-0.007066895368782133,-0.007066895368782133,-0.038911806202250154,0.024507520845261213,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL3,C_PLUS_F,T0-T1,T0-T1,pCR,ftv_complete_375,R3,C+F+R0,C+F+R3,auprc,0.49109604122656847,0.4689882929502377,-0.022107748276330774,-0.022107748276330774,,-0.057354753741427345,0.014548050310775369,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL3,C_PLUS_F,T0-T1,T0-T1,pCR,ftv_complete_375,R3,C+F+R0,C+F+R3,brier,0.19972408538461867,0.2031466387180567,-0.003422553333438022,-0.003422553333438022,,-0.013851576594344137,0.007230447341507671,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,pCR,full_808,R5,R0,R5,auroc,0.5365580760702713,0.5167047586559781,-0.019853317414293192,-0.019853317414293192,-0.019853317414293192,-0.06314046491145989,0.02054913942117735,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
