seed,arm,context,view,timing,timing_label,target,population,variant,reference,auroc,reference_auroc,delta_auroc_vs_r0
3026,LOCAL0,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R3,R0,0.5488507718696397,0.5074442538593482,0.04140651801029149
3026,LOCAL0,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R4,R0,0.48250428816466556,0.5074442538593482,-0.024939965694682653
3026,LOCAL0,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R5,R0,0.4814065180102916,0.5074442538593482,-0.02603773584905661
3026,LOCAL0,MRI_ONLY,T0,T0,,pCR,full_808,R0,R0,0.5430666894081528,0.5430666894081528,0.0
3026,LOCAL0,MRI_ONLY,T0,T0,,pCR,full_808,R1,R0,0.5105713798396725,0.5430666894081528,-0.032495309568480346
3026,LOCAL0,MRI_ONLY,T0,T0,,pCR,full_808,R2,R0,0.5417704246972539,0.5430666894081528,-0.0012962647108989422
3026,LOCAL0,MRI_ONLY,T0,T0,,pCR,full_808,R3,R0,0.5326761043834215,0.5430666894081528,-0.010390585024731336
3026,LOCAL0,MRI_ONLY,T0,T0,,pCR,full_808,R4,R0,0.5292989936892376,0.5430666894081528,-0.01376769571891523
3026,LOCAL0,MRI_ONLY,T0,T0,,pCR,full_808,R5,R0,0.5397578031724373,0.5430666894081528,-0.003308886235715569
3026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R0,R0,0.5554373927958833,0.5554373927958833,0.0
3026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R1,R0,0.5207204116638079,0.5554373927958833,-0.03471698113207544
3026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R2,R0,0.5284391080617497,0.5554373927958833,-0.026998284734133682
3026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R3,R0,0.5334819897084048,0.5554373927958833,-0.021955403087478564
3026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R4,R0,0.5336192109777016,0.5554373927958833,-0.021818181818181737
3026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R5,R0,0.5173584905660378,0.5554373927958833,-0.03807890222984556
3026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R0,R0,0.5403922906361931,0.5403922906361931,0.0
3026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R1,R0,0.5174484052532833,0.5403922906361931,-0.022943885382909812
3026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R2,R0,0.5393621013133209,0.5403922906361931,-0.0010301893228722436
3026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R3,R0,0.5365444311785775,0.5403922906361931,-0.0038478594576155656
3026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R4,R0,0.5316186252771619,0.5403922906361931,-0.008773665359031235
3026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R5,R0,0.5202387856046392,0.5403922906361931,-0.020153505031553887
3026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R0,R0,0.5871698113207547,0.5871698113207547,0.0
3026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R1,R0,0.5276843910806175,0.5871698113207547,-0.059485420240137254
3026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R2,R0,0.5671355060034305,0.5871698113207547,-0.020034305317324197
3026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R3,R0,0.5472041166380789,0.5871698113207547,-0.039965694682675856
3026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R4,R0,0.5417495711835335,0.5871698113207547,-0.045420240137221235
3026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R5,R0,0.543704974271012,0.5871698113207547,-0.04346483704974269
3026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R0,R0,0.5469486610950026,0.5469486610950026,0.0
3026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R1,R0,0.5106123145147535,0.5469486610950026,-0.03633634658024909
3026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R2,R0,0.5519358690090397,0.5469486610950026,0.004987207914037062
3026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R3,R0,0.5258195463073512,0.5469486610950026,-0.02112911478765145
3026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R4,R0,0.5403718232986525,0.5469486610950026,-0.006576837796350099
3026,LOCAL0,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R5,R0,0.5234180453692648,0.5469486610950026,-0.02353061572573778
3026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R0,R0,0.5550257289879932,0.5550257289879932,0.0
3026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R1,R0,0.5336535162950257,0.5550257289879932,-0.021372212692967518
3026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R2,R0,0.5487821612349915,0.5550257289879932,-0.006243567753001722
3026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R3,R0,0.5477530017152659,0.5550257289879932,-0.0072727272727273196
3026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R4,R0,0.5314579759862779,0.5550257289879932,-0.02356775300171532
3026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R5,R0,0.5567066895368782,0.5550257289879932,0.0016809605488850021
3026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,full_808,R0,R0,0.5524748422309398,0.5524748422309398,0.0
3026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,full_808,R1,R0,0.5141463414634146,0.5524748422309398,-0.03832850076752514
3026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,full_808,R2,R0,0.5486815623400989,0.5524748422309398,-0.003793279890840884
3026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,full_808,R3,R0,0.5559338222752856,0.5524748422309398,0.0034589800443458607
3026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,full_808,R4,R0,0.5480402524304964,0.5524748422309398,-0.0044345898004434225
3026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,full_808,R5,R0,0.5401944397066348,0.5524748422309398,-0.012280402524304956
3026,LOCAL3,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R0,R0,0.5467924528301887,0.5467924528301887,0.0
3026,LOCAL3,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R1,R0,0.5060377358490566,0.5467924528301887,-0.04075471698113209
3026,LOCAL3,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R2,R0,0.5597941680960549,0.5467924528301887,0.013001715265866132
3026,LOCAL3,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R3,R0,0.5488507718696398,0.5467924528301887,0.002058319039451084
3026,LOCAL3,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R4,R0,0.5218181818181818,0.5467924528301887,-0.024974271012006888
3026,LOCAL3,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R5,R0,0.5257632933104631,0.5467924528301887,-0.021029159519725615
3026,LOCAL3,MRI_ONLY,T0,T0,,pCR,full_808,R0,R0,0.5464438001023366,0.5464438001023366,0.0
3026,LOCAL3,MRI_ONLY,T0,T0,,pCR,full_808,R1,R0,0.5262425379498551,0.5464438001023366,-0.020201262152481525
3026,LOCAL3,MRI_ONLY,T0,T0,,pCR,full_808,R2,R0,0.5551014838819718,0.5464438001023366,0.008657683779635161
3026,LOCAL3,MRI_ONLY,T0,T0,,pCR,full_808,R3,R0,0.5343748933992837,0.5464438001023366,-0.01206890670305294
3026,LOCAL3,MRI_ONLY,T0,T0,,pCR,full_808,R4,R0,0.5388094831997271,0.5464438001023366,-0.007634316902609517
3026,LOCAL3,MRI_ONLY,T0,T0,,pCR,full_808,R5,R0,0.5353436807095344,0.5464438001023366,-0.011100119392802199
3026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R0,R0,0.54147512864494,0.54147512864494,0.0
3026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R1,R0,0.555917667238422,0.54147512864494,0.01444253859348199
3026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R2,R0,0.5511835334476843,0.54147512864494,0.009708404802744375
3026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R3,R0,0.5550257289879932,0.54147512864494,0.01355060034305322
3026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R4,R0,0.5441852487135506,0.54147512864494,0.0027101200686105997
3026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R5,R0,0.5406861063464837,0.54147512864494,-0.0007890222984562323
3026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R0,R0,0.5555312979703224,0.5555312979703224,0.0
3026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R1,R0,0.5022411734606858,0.5555312979703224,-0.05329012450963666
3026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R2,R0,0.5555244755244755,0.5555312979703224,-6.822445846932368e-06
3026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R3,R0,0.5421524816646768,0.5555312979703224,-0.013378816305645636
3026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R4,R0,0.528534879754392,0.5555312979703224,-0.026996418215930462
3026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R5,R0,0.5440218318267098,0.5555312979703224,-0.01150946614361259
3026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R0,R0,0.5834648370497427,0.5834648370497427,0.0
3026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R1,R0,0.5343739279588336,0.5834648370497427,-0.049090909090909074
3026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R2,R0,0.5885763293310463,0.5834648370497427,0.005111492281303587
3026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R3,R0,0.5635334476843911,0.5834648370497427,-0.01993138936535166
3026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R4,R0,0.5618181818181818,0.5834648370497427,-0.02164665523156095
3026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R5,R0,0.5550943396226415,0.5834648370497427,-0.028370497427101182
3026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R0,R0,0.581313320825516,0.581313320825516,0.0
3026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R1,R0,0.5161589629882313,0.581313320825516,-0.06515435783728474
3026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R2,R0,0.5639843083745523,0.581313320825516,-0.017329012450963743
3026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R3,R0,0.5660037523452157,0.581313320825516,-0.015309568480300295
3026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R4,R0,0.5560088691796009,0.581313320825516,-0.025304451645915105
3026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R5,R0,0.5523042810847689,0.581313320825516,-0.02900903974074709
3026,LOCAL3,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R0,R0,0.5298456260720412,0.5298456260720412,0.0
3026,LOCAL3,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R1,R0,0.5610634648370497,0.5298456260720412,0.0312178387650085
3026,LOCAL3,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,ftv_complete_375,R2,R0,0.5675128644939966,0.5298456260720412,0.03766723842195541
