seed,arm,analysis,context,view,timing_label,target,variant,model,population,clinical_contract,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,visit,r0_auroc,delta_auroc_vs_r0
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HR,S3,S3,full_808,,808,453.0,355.0,2,0.5406647389857911,0.5910877729737996,0.5301371140751796,0.2596974895956603,T2,0.5473680937723472,-0.006703354786556037
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HR,S4,S4,full_808,,808,453.0,355.0,2,0.5271958461586295,0.5835098546086063,0.5221527842552001,0.30473808781674827,T2,0.5473680937723472,-0.02017224761371772
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,HR,S5,S5,full_808,,808,453.0,355.0,2,0.5329415788328203,0.5835018163117245,0.5336504679289867,0.31176484442293945,T2,0.5473680937723472,-0.014426514939526847
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,subtype_4class,R0,R0,full_808,,808,,,4,0.5458354428608955,0.28414093142688646,0.2962189846253007,,T2,0.5458354428608955,0.0
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,subtype_4class,R1,R1,full_808,,808,,,4,0.5305010365296157,0.265484240841632,0.28202212287353967,,T2,0.5458354428608955,-0.015334406331279804
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,subtype_4class,R2,R2,full_808,,808,,,4,0.5409147199371066,0.28356570987855795,0.2947245124782904,,T2,0.5458354428608955,-0.004920722923788867
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,subtype_4class,R3,R3,full_808,,808,,,4,0.5231865215781876,0.26658027118782757,0.26963331706238336,,T2,0.5458354428608955,-0.0226489212827079
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,subtype_4class,R4,R4,full_808,,808,,,4,0.5102348810969838,0.25274507720996237,0.24898012157366156,,T2,0.5458354428608955,-0.03560056176391169
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,subtype_4class,R5,R5,full_808,,808,,,4,0.5398004804272236,0.28048081149555315,0.2719042186033592,,T2,0.5458354428608955,-0.006034962433671853
3026,LOCAL0,phenotype,MRI_ONLY_STATIC,T2,,subtype_4class,R5_RP192,R5_RP192,full_808,,808,,,4,0.5191882902120442,0.266432192892275,0.26165737154938995,,T2,0.5458354428608955,-0.026647152648851313
