seed,arm,analysis,context,view,timing_label,target,variant,model,population,clinical_contract,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,timing,c_auroc,c_auprc,c_brier,delta_auroc_vs_C,delta_auprc_vs_C,brier_improvement_vs_C
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T1,,pCR,R4,C+R4,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6480960548885077,0.42782705085860606,0.6283876500857632,0.22541535835800278,T0-T1,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.048576329331046386,-0.10838553654137661,0.017679736184937928
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T1,,pCR,R5,C+R5,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6396569468267581,0.4172740041631565,0.6102058319039452,0.23211496228835346,T0-T1,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.05701543739279602,-0.11893858323682616,0.010980132254587244
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T1,,pCR,R5_RP192,C+R5_RP192,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6410977701543739,0.42452242629606163,0.630188679245283,0.2266486761363714,T0-T1,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.05557461406518027,-0.11169016110392105,0.016446418406569296
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T1,,pCR,S1,C+S1,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6521783876500857,0.4560700692490549,0.590566037735849,0.20955273195093657,T0-T1,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.0444939965694684,-0.08014251815092777,0.03354236259200413
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T1,,pCR,S2,C+S2,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.661646655231561,0.4563434633572432,0.6148370497427101,0.22760914245232292,T0-T1,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.035025728987993165,-0.07986912404273949,0.015485952090617788
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T1,,pCR,S3,C+S3,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6690909090909091,0.4586806662283421,0.6237564322469983,0.20894240226012947,T0-T1,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.02758147512864506,-0.0775319211716406,0.03415269228281123
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T1,,pCR,S4,C+S4,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.672967409948542,0.4701427514127255,0.5907375643224699,0.2108986410773858,T0-T1,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.023704974271012147,-0.06606983598725719,0.032196453465554914
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T1,,pCR,S5,C+S5,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6667924528301887,0.4372354000596175,0.6012006861063465,0.22057160766246012,T0-T1,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.0298799313893654,-0.0989771873403652,0.022523486880480587
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T2,,pCR,NONE,C,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407,T0-T2,0.6966723842195541,0.5362125873999827,0.2430950945429407,0.0,0.0,0.0
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T2,,pCR,R0,C+R0,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6634648370497427,0.4632850326961606,0.6146655231560891,0.21283972359566616,T0-T2,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.03320754716981145,-0.07292755470382206,0.03025537094727454
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T2,,pCR,R1,C+R1,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6772898799313894,0.4701193998984678,0.6125214408233276,0.22551719052717242,T0-T2,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.01938250428816468,-0.06609318750151488,0.01757790401576828
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T2,,pCR,R2,C+R2,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6719382504288165,0.4711988622822758,0.6157804459691252,0.21034610916864366,T0-T2,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.024734133790737634,-0.06501372511770687,0.032748985374297046
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T2,,pCR,R3,C+R3,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6480617495711836,0.4373068697040612,0.5984562607204116,0.22226623519050773,T0-T2,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.048610634648370565,-0.09890571769592149,0.020828859352432977
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T2,,pCR,R4,C+R4,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6556089193825042,0.42074197425368226,0.6098627787307033,0.22824421297423578,T0-T2,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.04106346483704992,-0.11547061314630042,0.014850881568704927
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T2,,pCR,R5,C+R5,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6588679245283019,0.4272578821552214,0.6063464837049742,0.23545750322952458,T0-T2,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.037804459691252235,-0.10895470524476125,0.0076375913134161255
