seed,arm,variant,feature_dim,task,endpoint,view,target,analysis_scope,target_semantics,aggregation,n_test,spearman,pearson,r2,rmse,mae,b0_rmse,rmse_gain_over_b0,prediction_target_variance_ratio,calibration_slope,calibration_intercept,calibration_mean_bias,timing
3026,LOCAL0,S2,128,delta,T2_to_T3,T2_to_T3,delta_FTV,observable_only,literal_ftv_end_minus_ftv_start,pooled_outer_test_folds,371,0.25153864411320287,0.1623515025318742,0.02169032331476728,21.845964433657635,7.054243209720417,22.209881182479446,0.016385353250286266,0.05205549328355551,0.037041587871070474,-4.5455589108362044,-0.40567597680204953,T2_to_T3
3026,LOCAL0,S2,128,delta,T2_to_T3,T2_to_T3,delta_FTV,primary_measurement_valid,literal_ftv_end_minus_ftv_start,pooled_outer_test_folds,375,0.2539419729206963,0.10266456627368545,0.0043952137332264885,27.32939329522974,8.783950938122178,27.537956917151757,0.0075736781254137206,0.03201320731062761,0.018368985453997656,-5.810202033047347,-0.4972182619925217,T2_to_T3
3026,LOCAL0,S2,128,static,T0,T0,FTV,observable_only,static_ftv_log_winsor_median_iqr_inverse_natural,pooled_outer_test_folds,374,0.7338936502702471,0.5590811352591083,0.23934440852550087,37.12518535949558,16.043096192769635,42.67940335287805,0.13013813589331544,0.6400640270295477,0.44728728033799037,10.456042319722151,-5.242179852582208,T0
3026,LOCAL0,S2,128,static,T0,T0,FTV,primary_measurement_valid,static_ftv_log_winsor_median_iqr_inverse_natural,pooled_outer_test_folds,375,0.7354691091136648,0.5627023653454958,0.2462044415848642,37.044019374354306,16.03359733415725,42.77656700591202,0.13401139999770054,0.6353485827724246,0.44852305697573536,10.456454315602421,-5.310804710355775,T0
3026,LOCAL0,S2,128,static,T1,T1,FTV,observable_only,static_ftv_log_winsor_median_iqr_inverse_natural,pooled_outer_test_folds,367,0.48542923785349024,0.27094110046321274,0.01732795470367199,33.87170248167946,11.885067945688556,34.34636987087729,0.013820016234097055,0.17650098460738925,0.11382783001112155,8.260695516869259,-6.284383418424044,T1
3026,LOCAL0,S2,128,static,T1,T1,FTV,primary_measurement_valid,static_ftv_log_winsor_median_iqr_inverse_natural,pooled_outer_test_folds,375,0.49722152690863586,0.3034691265692603,0.05179739584013632,36.69041918088623,12.802822828477114,37.95576601319648,0.03333740733543129,0.14941801215826697,0.11730485630837958,8.617214379143862,-6.885544729213623,T1
3026,LOCAL0,S2,128,static,T2,T2,FTV,observable_only,static_ftv_log_winsor_median_iqr_inverse_natural,pooled_outer_test_folds,372,0.3479776674041399,0.10835998235848235,-0.3222212790044747,29.144118593218394,7.480393101758431,25.507316453551763,-0.14257878308324456,0.4335760475027156,0.07135124683776181,2.9970348276107686,-4.48747321892927,T2
3026,LOCAL0,S2,128,static,T2,T2,FTV,primary_measurement_valid,static_ftv_log_winsor_median_iqr_inverse_natural,pooled_outer_test_folds,375,0.356648310387985,0.09072943278453183,-0.2106481002116014,34.222395671684836,8.353898402531112,31.345565059981617,-0.09177791519145474,0.27621705385366396,0.04768408354029287,3.1798353070892285,-5.369129094594586,T2
3026,LOCAL0,S2,128,static,T3,T3,FTV,observable_only,static_ftv_log_winsor_median_iqr_inverse_natural,pooled_outer_test_folds,373,0.23244297529108046,0.19688000405536907,-0.016658790972038817,12.248932862730246,3.035165037380886,12.201692990259323,-0.0038715834358916553,0.005950397842480896,0.015187091566406763,0.9149400475243961,-2.4622915752447962,T3
3026,LOCAL0,S2,128,static,T3,T3,FTV,primary_measurement_valid,static_ftv_log_winsor_median_iqr_inverse_natural,pooled_outer_test_folds,375,0.223917409484436,0.18893609902188702,-0.021130728120590136,12.539032636812838,3.165468332572964,12.477635535818399,-0.004920571755617637,0.005473501373946454,0.013978081229492652,0.9234019450716628,-2.5913929843819066,T3
3026,LOCAL0,S3,128,delta,T0_to_T1,T0_to_T1,delta_FTV,observable_only,literal_ftv_end_minus_ftv_start,pooled_outer_test_folds,366,0.4650968547671074,0.3557824867682738,0.12570228518914217,22.524628964005235,11.702007873786673,24.222567386068665,0.0700973763433508,0.14846339609282444,0.13708636529987334,-9.332328802740234,0.06395897844931121,T0_to_T1
3026,LOCAL0,S3,128,delta,T0_to_T1,T0_to_T1,delta_FTV,primary_measurement_valid,literal_ftv_end_minus_ftv_start,pooled_outer_test_folds,375,0.44096438730230975,0.31176104118865805,0.09342498614792527,24.118968179434777,12.329064723071138,25.477864188497076,0.053336339302563,0.13923260082322875,0.1163301561516277,-9.703279190397552,0.04181831867124894,T0_to_T1
3026,LOCAL0,S3,128,delta,T1_to_T2,T1_to_T2,delta_FTV,observable_only,literal_ftv_end_minus_ftv_start,pooled_outer_test_folds,365,0.3976222968587667,0.3862808024668095,0.14314932229718258,15.726402020990845,8.860833729000388,17.02259769956717,0.07614558608814943,0.21355258428323964,0.17850711893331203,-6.674939037311679,0.3002510577742059,T1_to_T2
