analysis,population,seed,arm,fold,view,target,variant,clinical_contract,selected_c,validation_auroc,validation_auprc,threshold,train_rows,validation_rows,test_rows,feature_dim,class_weight,c_grid
phenotype,full_808,2026,LOCAL0,1,T0,subtype_4class,P2,,10.0,0.5992338486593038,0.3229802099453088,,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T0,HR,P3,,1.0,0.5402330743618202,,0.5471336788289765,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T0,HER2,P3,,0.1,0.5655677655677656,,0.40670532049876446,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T0,subtype_4class,P3,,10.0,0.5764997438865934,0.31506824324105576,,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T0,HR,P4,,100.0,0.5840732519422863,,0.9864291543956142,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T0,HER2,P4,,0.01,0.5146520146520146,,0.5583786895983421,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T0,subtype_4class,P4,,10.0,0.5226190380617952,0.296515267262409,,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T0,HR,P5,,0.1,0.5441176470588235,,0.5688152719494283,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,1,T0,HER2,P5,,0.01,0.545054945054945,,0.39897304867132677,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,1,T0,subtype_4class,P5,,0.1,0.5438935820667643,0.295617296899057,,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,1,T1,HR,P1,,10.0,0.5607658157602663,,0.5257416774609378,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T1,HER2,P1,,1.0,0.5864468864468865,,0.2069185187375348,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T1,subtype_4class,P1,,100.0,0.5406990298524739,0.28945596908659904,,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T1,HR,P2,,0.001,0.529966703662597,,0.47833158796757347,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T1,HER2,P2,,0.1,0.6282051282051282,,0.3993727093326796,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T1,subtype_4class,P2,,1.0,0.5474904965089336,0.28411964347180285,,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T1,HR,P3,,100.0,0.5485571587125415,,0.6229143475368479,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T1,HER2,P3,,0.1,0.6117216117216118,,0.2828375866849947,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T1,subtype_4class,P3,,0.1,0.5350142954221435,0.2799373344078251,,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T1,HR,P4,,0.0001,0.5266370699223085,,0.5074236058927701,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T1,HER2,P4,,1.0,0.5754578754578754,,0.12821360267881637,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T1,subtype_4class,P4,,0.01,0.5350998064545629,0.2758526177500069,,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T1,HR,P5,,0.0001,0.5227524972253053,,0.5155309594718666,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,1,T1,HER2,P5,,0.1,0.5831501831501831,,0.3049063086655713,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,1,T1,subtype_4class,P5,,0.01,0.5232566107584342,0.2743989127730502,,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,1,T2,HR,P1,,0.1,0.5596559378468369,,0.5362744244046559,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T2,HER2,P1,,1.0,0.5846153846153846,,0.3612683036702543,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T2,subtype_4class,P1,,10.0,0.559994663544217,0.278378346471485,,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T2,HR,P2,,1.0,0.5382907880133185,,0.5190411392251922,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T2,HER2,P2,,0.1,0.5846153846153846,,0.40729315013052264,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T2,subtype_4class,P2,,10.0,0.5474676168904147,0.31661816365804835,,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T2,HR,P3,,0.01,0.5205327413984462,,0.4980439630292536,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T2,HER2,P3,,0.1,0.6263736263736264,,0.4076082893732399,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T2,subtype_4class,P3,,0.1,0.5376408256718034,0.2912594567389347,,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T2,HR,P4,,0.0001,0.5188679245283019,,0.5379013602871975,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T2,HER2,P4,,0.1,0.6113553113553114,,0.49640098218643913,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T2,subtype_4class,P4,,0.1,0.5175347536153994,0.2728777038040465,,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T2,HR,P5,,1e-05,0.513873473917869,,0.5191780373200747,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,1,T2,HER2,P5,,0.1,0.6347985347985347,,0.41960114259685083,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,1,T2,subtype_4class,P5,,0.1,0.5184877478912381,0.2671808531078519,,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,1,T3,HR,P1,,0.0001,0.5252497225305216,,0.5038453484100568,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T3,HER2,P1,,0.1,0.5791208791208792,,0.4696766584764073,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T3,subtype_4class,P1,,100.0,0.584506269784471,0.29513601489447233,,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T3,HR,P2,,0.0001,0.49694783573806883,,0.48445678949908927,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T3,HER2,P2,,100.0,0.5608058608058608,,0.07723547687392686,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T3,subtype_4class,P2,,0.01,0.5141195061789117,0.2578543969041431,,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T3,HR,P3,,0.0001,0.49639289678135406,,0.5156234207708957,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T3,HER2,P3,,0.01,0.5589743589743589,,0.4500451102569346,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T3,subtype_4class,P3,,100.0,0.5262583217560168,0.2887736745951396,,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T3,HR,P4,,0.0001,0.4961154273029966,,0.5017492175525138,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T3,HER2,P4,,0.001,0.5443223443223444,,0.5050048390353975,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T3,subtype_4class,P4,,100.0,0.5419920758870087,0.3040196515789607,,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,1,T3,HR,P5,,1e-06,0.5033296337402886,,0.5015445162160356,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,1,T3,HER2,P5,,0.001,0.5454212454212455,,0.4948609758129254,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,1,T3,subtype_4class,P5,,0.01,0.5183932838229509,0.2607609814644021,,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,2,T0,HR,P1,,0.0001,0.5443951165371809,,0.4995645074387689,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,2,T0,HER2,P1,,0.1,0.5256410256410255,,0.5235078200644885,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,2,T0,subtype_4class,P1,,0.1,0.534125384164782,0.29966746576093767,,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,2,T0,HR,P2,,0.1,0.6317980022197558,,0.5365081583070654,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,2,T0,HER2,P2,,0.0001,0.5494505494505495,,0.4958899518446602,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,2,T0,subtype_4class,P2,,0.001,0.5362086065387454,0.28019847038843626,,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,2,T0,HR,P3,,1.0,0.5943396226415094,,0.6002091278373692,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,2,T0,HER2,P3,,0.0001,0.5142857142857142,,0.4940018572766267,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,2,T0,subtype_4class,P3,,0.001,0.5334695302220394,0.2772302129937806,,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,2,T0,HR,P4,,0.0001,0.5621531631520533,,0.49258186753616756,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,2,T0,HER2,P4,,0.01,0.5282051282051282,,0.6161035788082955,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,2,T0,subtype_4class,P4,,0.001,0.5398772983527146,0.2728353224774896,,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,2,T0,HR,P5,,0.1,0.5893451720310765,,0.41229360625269607,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,2,T0,HER2,P5,,1e-06,0.523076923076923,,0.4994047739127106,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,2,T0,subtype_4class,P5,,0.001,0.5505592083520391,0.2777233893782605,,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,2,T1,HR,P1,,100.0,0.49556048834628186,,0.7307370274833532,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
