seed,arm,view,target,model,clinical_contract,population,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,delta_auroc_vs_C+F,delta_auprc_vs_C+F,brier_improvement_vs_C+F,delta_auroc_vs_C+F+P1,delta_auprc_vs_C+F+P1,brier_improvement_vs_C+F+P1
3026,LOCAL0,T0-T1,pCR,C+F+P3,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6687135506003431,0.44567116000865303,0.6289879931389365,0.21891638024326793,-0.02843910806174943,-0.0803263756537933,-0.020961752654952648,-0.005111492281303476,-0.030573643188416377,-0.0009938923989531723
3026,LOCAL0,T0-T1,pCR,C+F+P4,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6485420240137221,0.4618641622449756,0.6004288164665523,0.23542369634713572,-0.048610634648370454,-0.06413337341747072,-0.037469068758820445,-0.0252830188679245,-0.014380640952093793,-0.01750120850282097
3026,LOCAL0,T0-T2,pCR,C,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407,-0.029433962264150848,-0.003788477761201392,-0.05435960064823231,-0.011869639794167997,0.05850409962140968,-0.0391847715973935
3026,LOCAL0,T0-T2,pCR,C+F,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.726106346483705,0.5400010651611841,0.6954545454545455,0.1887354938947084,0.0,0.0,0.0,0.01756432246998285,0.06229257738261107,0.015174829050838806
3026,LOCAL0,T0-T2,pCR,C+F+P1,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.7085420240137221,0.477708487778573,0.6434819897084048,0.2039103229455472,-0.01756432246998285,-0.06229257738261107,-0.015174829050838806,0.0,0.0,0.0
3026,LOCAL0,T0-T2,pCR,C+F+P3,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6617152658662093,0.42996892005665144,0.6187821612349914,0.24166127752749791,-0.06439108061749566,-0.11003214510453263,-0.05292578363278952,-0.046826758147512804,-0.04773956772192156,-0.03775095458195071
3026,LOCAL0,T0-T2,pCR,C+F+P4,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6918353344768438,0.46464855215601963,0.6351629502572899,0.22738887274982986,-0.03427101200686122,-0.07535251300516443,-0.03865337885512146,-0.016706689536878372,-0.013059935622553365,-0.023478549804282656
3026,LOCAL0,T0-T3,pCR,C,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407,-0.018730703259005055,-0.003162366345117573,-0.05010146635999263,-0.007924528301886835,0.0663871303799618,-0.03286367550260674
3026,LOCAL0,T0-T3,pCR,C+F,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.7154030874785592,0.5393749537451002,0.68147512864494,0.19299362818294807,0.0,0.0,0.0,0.01080617495711822,0.06954949672507937,0.017237790857385887
3026,LOCAL0,T0-T3,pCR,C+F+P1,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.704596912521441,0.4698254570200209,0.6155231560891938,0.21023141904033396,-0.01080617495711822,-0.06954949672507937,-0.017237790857385887,0.0,0.0,0.0
3026,LOCAL0,T0-T3,pCR,C+F+P3,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6593138936535163,0.433078859040709,0.6150943396226415,0.23560371099022595,-0.05608919382504285,-0.10629609470439128,-0.04261008280727788,-0.04528301886792463,-0.0367465979793119,-0.02537229194989199
3026,LOCAL0,T0-T3,pCR,C+F+P4,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6739622641509433,0.4389870521391007,0.6212692967409948,0.23062145515637045,-0.041440823327615894,-0.10038790160599953,-0.037627826973422374,-0.030634648370497675,-0.030838404880920156,-0.020390036116036486
3026,LOCAL3,T0,pCR,C,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407,0.00864493996569482,-0.0026848982645223396,-0.007473382219283509,0.04449399656946851,0.10011952915081973,-0.02016056847912645
3026,LOCAL3,T0,pCR,C+F,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6880274442538593,0.538897485664505,0.646483704974271,0.2356217123236572,0.0,0.0,0.0,0.03584905660377369,0.10280442741534207,-0.012687186259842942
3026,LOCAL3,T0,pCR,C+F+P1,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6521783876500856,0.43609305824916295,0.5993996569468267,0.22293452606381425,-0.03584905660377369,-0.10280442741534207,0.012687186259842942,0.0,0.0,0.0
3026,LOCAL3,T0,pCR,C+F+P3,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6654545454545454,0.43708219635406065,0.6253001715265867,0.2144760425864355,-0.0225728987993139,-0.10181528931044437,0.021145669737221706,0.013276157804459787,0.0009891381048977022,0.008458483477378764
