epoch,arm,architecture,seed_base,fold,effective_seed,patient_order_sha256,dropped_logical_tail_patients,train_loss,train_base_loss,train_state_loss,train_ftv_loss,train_grounded_patients,train_representation_std,train_optimizer_steps,val_loss,val_base_objective,val_state_loss,val_ftv_loss,val_grounded_patients,val_representation_std,finite
2,GAP3,GAP,2026,2,2028,e2a1bf3284a83f620e4004a39c18e99393eaaff8467c6ba1667975464baedd52,24,1.4549016064000937,1.398158010095358,0.2016073453240096,0.2269743852189426,233.0,0.1804577708244323,20.0,1.2109125998344703,1.1500011347542125,0.0831857531154451,0.2436458603210317,52.0,0.3001670837402344,True
3,GAP3,GAP,2026,2,2028,da67c2064808622828fdedb69685b96c4a8804affe1766ac3a988b64736ba29e,24,1.180503578249203,1.1242310833185911,0.1123743074014782,0.225089979722448,230.0,0.4826470613479614,20.0,1.0119955595548495,0.9513482968669292,0.0751280493972715,0.2425890507516809,52.0,0.6339560151100159,True
4,GAP3,GAP,2026,2,2028,e68c7c5af39133aed0cb9d61d06dd116966296cbb9a2c21ccbf961ea0e01e385,24,0.98537394307328,0.92724038772285,0.1023638605140149,0.2325342214017203,231.0,0.670886754989624,20.0,0.969748616000316,0.9105658905565246,0.1026935813840755,0.2367309017751652,52.0,0.6945765614509583,True
5,GAP3,GAP,2026,2,2028,1482bddca36378f5663fe68ebf0f7c778661f4c20d0c9708a5f144d1b1a2ee4d,24,0.8926859314414731,0.837225529178977,0.1247940125409513,0.2218416090499847,235.0,0.7026640772819519,20.0,0.99754236115258,0.9368509142852026,0.1592462805430751,0.2427657874695097,52.0,0.7046849131584167,True
6,GAP3,GAP,2026,2,2028,bb60365c79da3d59e784411bea62d47f14216ab70e7ef1e92808b5c873fa66b1,24,0.8929313470413629,0.8369774557650089,0.1638563752174377,0.2238155651054157,233.0,0.7159681916236877,20.0,0.9943687158452617,0.932078882682422,0.2069976189412361,0.2491593326513584,52.0,0.7228925824165344,True
7,GAP3,GAP,2026,2,2028,e1edd816764d76f8c49700b43b94485eeec464711520e3f5716cbae91d611740,24,0.8924821733173145,0.8380929160863161,0.2037287719082087,0.2175570289239935,230.0,0.7384772300720215,20.0,1.0357734533020524,0.9714094060511628,0.2426503478002942,0.2574561890035581,52.0,0.7335367798805237,True
1,GAP3,GAP,2026,3,2029,563cd3c4058aa445016008145db8f0fd24af559d197b6df55ac7699b038b5aaa,25,2.2709015454627286,2.208581369370222,0.8904739923775196,0.2492807043700254,232.0,0.348800390958786,20.0,1.51498027946212,1.4636199888119028,0.3431026647406176,0.205441162600869,61.0,0.2576079666614532,True
2,GAP3,GAP,2026,3,2029,0b2a52cb071aa5aee4b420d8db12f5ae74b4e2dddbc308ba16eb837724b6f1ef,25,1.3436196950244288,1.2876077570021152,0.271331508923322,0.2240477520892548,233.0,0.4731868207454681,20.0,0.9869780300425832,0.9342717878089464,0.1168642725087394,0.2108249689345477,61.0,0.5599238276481628,True
3,GAP3,GAP,2026,3,2029,e308f7b9fd64d4cc4ac46e1bb99421d1e9838989af127d2f8b1da354f52178fa,25,0.9980550641018864,0.9418948166072368,0.1438294677995145,0.2246409899785987,234.0,0.6441365480422974,20.0,0.8553604986209484,0.800478449045134,0.0880309198944529,0.2195281983032578,61.0,0.6519328355789185,True
4,GAP3,GAP,2026,3,2029,bfd2c5f8d925922e5005b8539f1618eaa7064c292a2169a2e9035ee049d85d30,25,0.9270533302251917,0.8724950931966304,0.1427433695178478,0.2182329481142444,232.0,0.688306987285614,20.0,0.9136039620272178,0.859075074353494,0.1345199090390166,0.2181155506948955,61.0,0.6555179953575134,True
5,GAP3,GAP,2026,3,2029,7c1082dda0ebec8ee19497a931a44bf9389fa9675807c1b35bdf61cc0f91e73e,25,0.9395032940412444,0.8833890944719315,0.176472402177751,0.2244567982772517,233.0,0.6861255764961243,20.0,0.8527668224327906,0.7982738377634159,0.1355263106832819,0.2179719386774985,61.0,0.6543407440185547,True
6,GAP3,GAP,2026,3,2029,f4fdb6cac425ffae5084dbf8cd6dee07405be8d14c4b867b51d92f02b17dfb3d,25,0.9987907863177904,0.9430149350315332,0.2158797495532781,0.223103405145029,232.0,0.6890260577201843,20.0,0.8232737661004592,0.7721537558500432,0.1676848323877192,0.2044800410016638,61.0,0.6676778793334961,True
7,GAP3,GAP,2026,3,2029,84d594b9af6103c6440762f5f8ea34e7fa8615135569be4040686c27a475cee6,25,0.9767998605156722,0.924142375960946,0.2483867542818188,0.2106299382189045,230.0,0.6975148320198059,20.0,0.92946507084823,0.8657923946695879,0.2314790926319508,0.2546907047145679,61.0,0.672187089920044,True
1,GAP3,GAP,2026,4,2030,634c99f34c722c03ac091085c7d538c382f18e833c501b0d9dc70f9a8b4b6b23,25,2.340823979746481,2.26283311098814,0.9525938557460903,0.3119634750333649,216.0,0.3437721729278564,20.0,1.5446838543265442,1.4838031619048315,0.3353006322521809,0.2435227696868506,66.0,0.2401409894227981,True
2,GAP3,GAP,2026,4,2030,e84581e52473e0e4a7143b16326ebcb307b35766c2a9033f49e404675bf29871,25,1.3947156967985077,1.3296351321041584,0.2541270663961768,0.2603222587773966,215.0,0.4007072448730469,20.0,1.019152445677596,0.9544849607570112,0.0964456569742072,0.2586699396823392,66.0,0.5233675241470337,True
