seed_base,fold,task,comparison,left_arm,right_arm,effect_spearman,effect_pearson,effect_r2,effect_rmse,effect_mae,effect_b0_rmse,effect_rmse_gain_over_b0,effect_prediction_target_variance_ratio,effect_calibration_slope,effect_calibration_intercept,effect_calibration_mean_bias
2026,4,static,LOCAL0-GAP0,LOCAL0,GAP0,0.1555381188620027,0.16922742040672284,0.14203939636507065,-1.8880056482613394,-1.03512762314954,0.0,0.07407209213243258,-0.08638601744047555,0.008891831034942066,0.9937709240716002,1.5710855870038283
2026,4,static,LG0-LOCAL0,LG0,LOCAL0,0.023499038169484676,-0.10526641652822089,-0.14559253396652688,2.194657075108486,0.6030551623402562,0.0,-0.08118003676268587,0.23797775159858578,0.04675008962092045,-1.1177805425984184,0.7812844209185612
2026,4,static,LOCAL3-GAP3,LOCAL3,GAP3,0.2063025210084034,0.19950065283950474,0.18882918019342337,-2.540661315873713,-1.3434834256285928,0.0,0.10053138661755605,0.04955367248424415,0.09429995900732166,0.11283786428994258,2.100957550568981
2026,4,static,LG3-LOCAL3,LG3,LOCAL3,0.022572643515237356,-0.07784942703789971,-0.03440258656812248,0.2641478837559532,0.2750498232986711,0.0,-0.018126039903259533,0.14949460820913807,0.05365680122363217,-0.8012182987400376,0.7758446629501106
2026,4,static,GAP3-GAP0,GAP3,GAP0,-0.03124430495089603,-0.025739657784672354,-0.04900177216604894,0.700266322319532,0.25340959558523934,0.0,-0.027414830897456,-0.1676153484926047,-0.10119583902765894,0.9832442983570022,-0.6833073177982554
2026,4,static,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.019520097195504682,0.004533574648109551,-0.00221198833769623,0.04761065470715842,-0.054946206893813354,0.0,-0.0009555364123325361,-0.031675658567885,-0.015787711055279346,0.10231123857534463,-0.15343535423310284
2026,4,static,LG3-LG0,LG3,LG0,0.018593702541257362,0.031950564138430726,0.10897795906070819,-1.8828985366453743,-0.3829515459353985,0.0,0.062098460447093794,-0.1201588019573327,-0.008880999452567623,0.41887348243372546,-0.15887511220155348
2026,4,delta,LOCAL0-GAP0,LOCAL0,GAP0,0.06912355303567211,0.06248921586414574,-0.04687622488428235,-0.1712838785837647,0.06584547596004242,0.0,-0.014087287810214105,0.150542479817797,0.05391264491844006,0.04184911368236843,-0.5888027879104326
2026,4,delta,LG0-LOCAL0,LG0,LOCAL0,0.0812662414363336,0.022366000806304687,0.030431377876639815,-0.10174779140955792,0.11522527992970844,0.0,0.011949296661922404,0.055444194154296245,0.04339867801277776,0.38245155551785714,0.033425432305592806
2026,4,delta,LOCAL3-GAP3,LOCAL3,GAP3,0.11354324862475113,0.07519885824527989,-0.014928232572730614,-0.4350552453348939,-0.04967533950087066,0.0,0.0006756346044232281,0.1366866081477361,0.06449321343899293,0.06371142760721149,-0.6623308009304486
2026,4,delta,LG3-LOCAL3,LG3,LOCAL3,0.05233707941007726,0.014865978526989398,0.038998658684871255,-0.16180615080184424,0.021576791556809027,0.0,0.01658889601436137,0.04230920169532626,0.03963613063758692,0.33613148926638736,0.01370702179762906
2026,4,delta,GAP3-GAP0,GAP3,GAP0,0.013101144072086651,0.04450983890858923,0.031128028726727035,-0.20464959180381825,-0.12110797867543077,0.0,0.015048597659696532,0.0006886779633971246,0.015247947415480391,0.0931818704372418,-0.004754471449709863
2026,4,delta,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.05752083966116567,0.05721948128972337,0.06307602103827877,-0.4684209585549475,-0.23662879413634386,0.0,0.029811520074333867,-0.013167193706663805,0.02582851593603326,0.11504418436208486,-0.07828248446972585
2026,4,delta,LG3-LG0,LG3,LG0,0.02859167763490933,0.049719459010408085,0.0716433018465102,-0.5284793179472338,-0.33027728250924326,0.0,0.03445111942677283,-0.02630218616563379,0.02206596856084242,0.06872411811061507,-0.0980008949776896
3026,0,static,LOCAL0-GAP0,LOCAL0,GAP0,0.31990317866276946,0.25027778226900965,0.06843665842174178,-1.2597813566917324,-2.364600811528323,0.0,0.03410670223393593,0.021339831521753047,0.04379739300952475,-0.6070846552788254,0.28528295705395657
3026,0,static,LG0-LOCAL0,LG0,LOCAL0,-0.05033796127146506,-0.11797961225779294,-0.046163245647727696,0.9077668764300242,0.8731234383885589,0.0,-0.02326038423738923,0.11052214580023728,0.030583327957021025,-0.6070020086321977,0.6294954237954764
3026,0,static,LOCAL3-GAP3,LOCAL3,GAP3,0.22635184508586048,-0.14293780302757475,-0.07405142808974766,2.1814823539857784,-1.4012943086459426,0.0,-0.04135745444105545,-0.032270133206224544,-0.05031206348940533,0.9205646184025724,-0.6052732167600956
3026,0,static,LG3-LOCAL3,LG3,LOCAL3,-0.010211910851297135,-0.06357249532441533,0.005835694616579429,-0.12664152579007748,0.07432077968904949,0.0,0.0031972109303385014,0.04291729634769072,0.0225021824830196,-0.4381919266222356,0.19993254472622457
3026,0,static,GAP3-GAP0,GAP3,GAP0,0.10654914139568877,0.3685193554783523,0.1414451992893524,-3.4125772233298832,-0.9924816423817475,0.0,0.07489738449147895,0.04469639271431767,0.0888542743085709,-1.3561350437242918,0.9159794838559074
3026,0,static,LOCAL3-LOCAL0,LOCAL3,LOCAL0,0.012997807818779794,-0.024696229818232107,-0.0010428872221370268,0.028686487347627576,-0.02917513949936712,0.0,-0.0005667721835124259,-0.008913572013659922,-0.005255182190359177,0.17151422995710597,0.025423310041855274
3026,0,static,LG3-LG0,LG3,LG0,0.05312385823894772,0.029710887115145496,0.0509560530421701,-1.005721914872474,-0.8279777981988765,0.0,0.0258908229842153,-0.07651842146620648,-0.013336327664360603,0.340324311967068,-0.40413956902739656
3026,0,delta,LOCAL0-GAP0,LOCAL0,GAP0,0.18560467665327007,0.2293928465245107,0.06330267046097539,-0.8203901095160404,-0.9687029792426163,0.0,0.03100429217328789,0.06597339975892642,0.064797102057177,1.3493849458319325,0.7366558758373374
