arm,both_seed_pass,candidate_both_seed_gt_0_20,comparison,diagnostic_type,evidence_scope,input_variant,interval,maximum_exclusions_from_375,minimum_seed_delta_spearman,n_max,n_min,oracle_representation,patient_set_sha256,rank_metric,reference_both_seed_gt_0_20,seed_2026_candidate_spearman,seed_2026_delta_spearman,seed_2026_reference_spearman,seed_3026_candidate_spearman,seed_3026_delta_spearman,seed_3026_reference_spearman,spearman_gain_threshold,target,target_kind,task_type,threshold_operator,timing
LOCAL3,False,False,,oracle_localization,primary_ftv_residual,current,,1,-0.0206977397772361,374,374,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.1102719075561677,-0.0158530133789258,0.1261249209350935,0.1066551916603133,-0.0206977397772361,0.1273529314375494,0.1,SPH,residual_ftv,static,>=,T2
LOCAL0,False,False,,oracle_localization,primary_ftv_residual,current,,1,-0.0419896766087749,374,374,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0493832996492267,-0.0419896766087749,0.0913729762580017,0.0426517053163275,-0.0079912910717419,0.0506429963880694,0.1,SPH,residual_ftv,static,>=,T3
LOCAL3,False,False,,oracle_localization,primary_ftv_residual,current,,1,-0.0586098467819669,374,374,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0380741384160628,-0.0586098467819669,0.0966839851980298,0.0421790261407598,-0.0059342444132152,0.048113270553975,0.1,SPH,residual_ftv,static,>=,T3
LOCAL0,False,False,,oracle_localization,raw_only,difference,T0->T1,0,-0.0641210604164296,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,False,0.1521178746159972,-0.0386803959494823,0.1907982705654795,0.0703251792012743,-0.0641210604164296,0.1344462396177039,0.1,BPE,raw,dynamic,>=,
LOCAL3,False,False,,oracle_localization,raw_only,difference,T0->T1,0,-0.0740596199795198,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,False,0.1508098759813403,-0.0715876664011833,0.2223975423825236,0.0621963818409375,-0.0740596199795198,0.1362560018204574,0.1,BPE,raw,dynamic,>=,
LOCAL0,False,False,,oracle_localization,raw_only,difference,T1->T2,1,0.0052013591202993,374,374,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,False,0.2103997362044988,0.0052013591202993,0.2051983770841995,0.1661690298346977,0.0135308741093317,0.1526381557253659,0.1,BPE,raw,dynamic,>=,
LOCAL3,False,False,,oracle_localization,raw_only,difference,T1->T2,1,-0.0284240799415061,374,374,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,False,0.1828643030207452,-0.0284240799415061,0.2112883829622514,0.1515815973964531,-0.0251135610958982,0.1766951584923513,0.1,BPE,raw,dynamic,>=,
LOCAL0,False,False,,oracle_localization,raw_only,difference,T2->T3,2,-0.0612103748796715,373,373,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,False,0.0582237133433906,-0.0612103748796715,0.1194340882230621,0.1055226183651964,-0.0411588598241543,0.1466814781893507,0.1,BPE,raw,dynamic,>=,
LOCAL3,False,False,,oracle_localization,raw_only,difference,T2->T3,2,-0.069000298527413,373,373,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,False,0.0524316803485963,-0.069000298527413,0.1214319788760093,0.116487430747309,-0.0200001803651289,0.1364876111124379,0.1,BPE,raw,dynamic,>=,
LOCAL0,False,True,,oracle_localization,raw_only,current,,0,-0.0012897940607577,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,True,0.2696516099670042,-0.0012897940607577,0.270941404027762,0.298090112640801,0.0032524746842644,0.2948376379565365,0.1,BPE,raw,static,>=,T0
