seed,arm,representation,matched_reference_for,task_type,target_definition,target_kind,target,timing,interval,input_variant,metric_space,feature_dim,fold,n,spearman,pearson,natural_r2,transformed_r2,rmse,mae,prediction_target_variance_ratio,calibration_slope,calibration_intercept,residual_spearman,residual_pearson,residual_transformed_r2,residual_rmse,residual_mae,reconstructed_natural_r2,reconstructed_natural_rmse,reconstructed_natural_mae,reconstructed_prediction_target_variance_ratio,reconstructed_calibration_slope,reconstructed_calibration_intercept,natural_spearman,natural_pearson,transformed_spearman,transformed_pearson,natural_metric_interpretation
2026,LOCAL0,Z6,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,3,72,0.2858085584456373,0.2923203353516278,0.00012336278115299137,0.059558334146568304,2.3119327533334975,1.5420245372084573,0.022070019924863214,1.9676944723920142,-2.4222677957494065,,,,,,,,,,,,0.2858085584456373,0.2923203353516278,0.285698246111997,0.2697405261290015,raw_target
2026,LOCAL0,Z6,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,4,84,0.24896569571420787,0.22044250974684476,-0.015121369669676588,-0.020023912264795385,2.225753973147423,1.6261226796666817,0.22134501205330606,0.4685548924759442,1.9155413005669837,,,,,,,,,,,,0.24896569571420787,0.22044250974684476,0.24896569571420787,0.24830475660975337,raw_target
2026,LOCAL0,Z7,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,0,69,0.17665766740706948,0.1222715157856315,-0.05508787002677451,-0.07371017924245771,1.794659758367772,1.3319744505637496,0.14383996389686304,0.3223929331049472,2.300673704669327,,,,,,,,,,,,0.17665766740706948,0.1222715157856315,0.17665766740706948,0.14482282595352466,raw_target
2026,LOCAL0,Z7,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,1,67,0.24179689464565907,0.28720922301381696,0.06692682744422751,0.022883305980982316,1.6792933253259141,1.2521465857107998,0.11620947180775536,0.8425149548827966,0.7104896818327795,,,,,,,,,,,,0.24179689464565907,0.28720922301381696,0.24179689464565907,0.2132386074396684,raw_target
2026,LOCAL0,Z7,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,2,83,0.21540855524466582,0.15827666495959442,-0.12047980979424788,-0.042032044059786555,2.216575921790156,1.492558666191433,0.0342557614513253,0.8551653150791935,1.2480503312668372,,,,,,,,,,,,0.21540855524466582,0.15827666495959442,0.2144050063752355,0.1936593887575705,raw_target
2026,LOCAL0,Z7,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,3,72,0.2204454956872998,0.2734895842423243,-0.010642809755574634,0.044654480163236365,2.3243462960337133,1.539308284009139,0.016529182076390786,2.1272332330090244,-2.9207133187177137,,,,,,,,,,,,0.2204454956872998,0.2734895842423243,0.22004508194830202,0.23729893295959698,raw_target
2026,LOCAL0,Z7,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,4,84,0.23500935657605074,0.19536212360031746,-0.027836808450520945,-0.022130204350079064,2.2396505198244347,1.6273794578286118,0.2023990536876513,0.4342463018950261,2.034521592824839,,,,,,,,,,,,0.23500935657605074,0.19536212360031746,0.23500935657605074,0.2340831379110264,raw_target
2026,LOCAL3,Z1,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,192,0,69,0.11888662595520245,0.061293183189757384,-0.0716676384901811,-0.1039812251997112,1.8087055360256736,1.324045990094539,0.10738904572579613,0.18703900561557232,2.7811472905067456,,,,,,,,,,,,0.11888662595520245,0.061293183189757384,0.11888662595520245,0.08926244590139538,raw_target
2026,LOCAL3,Z1,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,192,1,67,0.2029049492431536,0.2743811371173458,0.04996889164737506,-0.021258714067662776,1.6944845895103238,1.2648168134536282,0.13289620054014606,0.7526584975912514,1.028369879301338,,,,,,,,,,,,0.2029049492431536,0.2743811371173458,0.2029049492431536,0.1631710091277434,raw_target
2026,LOCAL3,Z1,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,192,2,83,0.4377684833845237,0.3979391663705359,-0.008844889412259027,0.06993195606234492,2.1032591782748447,1.4336084172016919,0.043347881210186734,1.9113171141371363,-2.11540882302891,,,,,,,,,,,,0.4377684833845237,0.3979391663705359,0.437168636762357,0.377236309594102,raw_target
