seed,arm,representation,matched_reference_for,task_type,target_kind,target,input_variant,metric_space,feature_dim,target_definition,interval,macro_definition,interval_count,intervals,n_sum_descriptive,n_min,n_max,maximum_exclusions_from_375,patient_set_sha256,gate_e_use,spearman,residual_spearman,pearson,natural_r2,transformed_r2,residual_transformed_r2,reconstructed_natural_r2,rmse,mae,reconstructed_natural_rmse,reconstructed_natural_mae,prediction_target_variance_ratio,calibration_slope,calibration_intercept
2026,LOCAL3,Z6,,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1123,374,375,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.14152424257549778,,0.10724534253534385,0.0026834225996131334,-0.027073374838218898,,,39.444886571299946,26.980416277830354,,,0.04478729841394557,0.48932589946862,-1.2502361426007218
2026,LOCAL3,Z6,,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,749,374,375,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.18154499485556064,,0.14642523202780666,0.0154907532986008,-0.0012263747491041,,,35.933546937207424,25.20669065842484,,,0.05061003307627095,0.6546542535491802,-2.435153354428877
2026,LOCAL3,Z7,,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1125,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.1531768282741097,,0.11246625671963918,0.005721992620674301,-0.021496592642318235,,,39.34745167275169,26.88896795588623,,,0.0426276022188971,0.5286021204203881,-0.9343465557702264
2026,LOCAL3,Z7,,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,750,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.1866549095460234,,0.15133760395131218,0.01820945916067345,0.0046473347699383,,,35.86013683776205,25.142211068069646,,,0.04829189299785855,0.6947670562782026,-1.9460473612092184
3026,LOCAL0,Z1,,dynamic,raw,BPE,difference,natural_target,192,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1125,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.07607673735126314,,0.07931378971190403,-0.0038097620184770844,-0.028775589350767836,,,39.4906128746738,26.964864268502993,,,0.03533116577839473,0.4029682688626584,-3.2969386445276565
3026,LOCAL0,Z1,,dynamic,raw,BPE,difference,natural_target,192,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,750,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.08074103993628395,,0.07125335031837784,-0.005611925387558627,-0.020144764864034152,,,36.292312693917516,25.46391916518307,,,0.0345799903719694,0.35582180124945767,-5.264238522392384
3026,LOCAL0,Z2,,dynamic,raw,BPE,difference,natural_target,192,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1125,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.10669346482294177,,0.08938982738480633,-0.0153332430130974,-0.0429746883852547,,,39.742974065004056,27.177930190556015,,,0.05869868752898274,0.377318686161479,-2.664434076356733
3026,LOCAL0,Z2,,dynamic,raw,BPE,difference,natural_target,192,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,750,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.1013415633177836,,0.09170755994706115,-0.00894271686963105,-0.027360482234552952,,,36.35295760838454,25.660359434759076,,,0.0508930588808891,0.4105216331789455,-4.378792568393961
3026,LOCAL0,Z3,,dynamic,raw,BPE,difference,natural_target,128,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1125,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.14333336390332296,,0.11477808800765167,-0.002158832354374467,-0.03108327575459637,,,39.458034570519686,27.026271707616342,,,0.05701887567098416,0.4843896678296882,-2.476742363688778
3026,LOCAL0,Z3,,dynamic,raw,BPE,difference,natural_target,128,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,750,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.13439617703948115,,0.11960011487314881,-0.003988010832649051,-0.02907150341865105,,,36.26300852533031,25.52344347179845,,,0.06496438178409619,0.4673783767172808,-4.045621326421395
3026,LOCAL0,Z4,,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1125,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.1469313069272542,,0.12385137112380834,-0.012031063433283066,-0.05241519064229203,,,39.643066431274406,27.248162936351523,,,0.08250151548152779,0.4377740169574789,-2.5208925130104336
3026,LOCAL0,Z4,,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,750,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.14342189100011377,,0.12521017337365556,-0.0167169864826097,-0.044104243973185,,,36.49286674523226,25.726549660114188,,,0.09181441233135229,0.41701660840113447,-4.129066100526519
3026,LOCAL0,Z4_MATCHED_Z5,Z5,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1122,373,375,2,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.14458862451080687,,0.13253676061928807,-0.004910705777641332,-0.0351655496168725,,,39.43790043129571,27.04951582557736,,,0.07499401460041694,0.5184735686577769,-2.5298413127832244
3026,LOCAL0,Z4_MATCHED_Z5,Z5,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,749,374,375,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.14354219767153492,,0.1257292128009016,-0.0163776719631881,-0.0435255030369312,,,36.51109697908231,25.73866389822806,,,0.09178232187782455,0.4186372096228619,-4.111511748535462
3026,LOCAL0,Z4_MATCHED_Z6,Z6,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1123,374,375,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.14683705273829642,,0.1242781393015881,-0.011740503313501566,-0.05208838143338617,,,39.67419643074968,27.275498118737218,,,0.08243156879346757,0.4393567233773612,-2.5053789878521013
3026,LOCAL0,Z4_MATCHED_Z6,Z6,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,749,374,375,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.14354219767153492,,0.1257292128009016,-0.0163776719631881,-0.0435255030369312,,,36.51109697908231,25.73866389822806,,,0.09178232187782455,0.4186372096228619,-4.111511748535462
