task_type,target_kind,input_variant,representation,probe_fold_rows,distinct_outer_folds,n_train_min,n_validation_min,n_test_min,n_test_max,joint_valid_total_min,joint_valid_total_max,maximum_exclusions_from_375,selected_alpha_counts_json,feature_constant_columns_max,test_used_for_scaler,test_used_for_alpha_selection,test_predict_call_count,patient_set_sha256
dynamic,residual_ftv_ld,prefix,Z3,120,5,188,39,55,84,313,375,62,"{""10"":8,""100"":17,""1000"":95}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv_ld,prefix,Z4,120,5,188,39,55,84,313,375,62,"{""100"":15,""1000"":105}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv_ld,prefix,Z5,120,5,186,38,55,84,311,375,64,"{""100"":11,""1000"":109}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv_ld,prefix,Z6,120,5,187,38,55,84,312,375,63,"{""100"":12,""1000"":108}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv_ld,prefix,Z7,120,5,188,39,55,84,313,375,62,"{""10"":2,""100"":14,""1000"":104}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,raw,current,Z1,320,5,225,52,67,84,375,375,0,"{""1"":2,""10"":60,""100"":99,""1000"":159}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,raw,current,Z2,320,5,225,52,67,84,375,375,0,"{""1"":14,""10"":40,""100"":118,""1000"":148}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,raw,current,Z3,320,5,225,52,67,84,375,375,0,"{""1"":17,""10"":78,""100"":80,""1000"":145}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,raw,current,Z4,320,5,225,52,67,84,375,375,0,"{""1"":1,""10"":41,""100"":136,""1000"":142}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,raw,current,Z4_MATCHED_Z5,320,5,224,51,67,84,374,375,1,"{""1"":1,""10"":42,""100"":135,""1000"":142}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,raw,current,Z4_MATCHED_Z6,320,5,224,51,67,84,374,375,1,"{""1"":1,""10"":42,""100"":135,""1000"":142}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,raw,current,Z4_MATCHED_Z7,320,5,225,52,67,84,375,375,0,"{""1"":1,""10"":41,""100"":136,""1000"":142}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,raw,current,Z5,320,5,224,51,67,84,374,375,1,"{""10"":53,""100"":138,""1000"":129}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,raw,current,Z6,320,5,224,51,67,84,374,375,1,"{""1"":2,""10"":49,""100"":133,""1000"":136}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,raw,current,Z7,320,5,225,52,67,84,375,375,0,"{""10"":51,""100"":129,""1000"":140}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,residual_ftv,current,Z1,240,5,225,52,67,84,375,375,0,"{""1"":2,""10"":27,""100"":54,""1000"":157}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,residual_ftv,current,Z2,240,5,225,52,67,84,375,375,0,"{""1"":5,""10"":25,""100"":62,""1000"":148}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,residual_ftv,current,Z3,240,5,225,52,67,84,375,375,0,"{""1"":5,""10"":50,""100"":46,""1000"":139}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,residual_ftv,current,Z4,240,5,225,52,67,84,375,375,0,"{""1"":1,""10"":11,""100"":83,""1000"":145}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,residual_ftv,current,Z4_MATCHED_Z5,240,5,224,51,67,84,374,375,1,"{""1"":1,""10"":11,""100"":85,""1000"":143}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,residual_ftv,current,Z4_MATCHED_Z6,240,5,224,51,67,84,374,375,1,"{""1"":1,""10"":12,""100"":84,""1000"":143}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,residual_ftv,current,Z4_MATCHED_Z7,240,5,225,52,67,84,375,375,0,"{""1"":1,""10"":11,""100"":83,""1000"":145}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,residual_ftv,current,Z5,240,5,224,51,67,84,374,375,1,"{""10"":15,""100"":83,""1000"":142}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,residual_ftv,current,Z6,240,5,224,51,67,84,374,375,1,"{""1"":1,""10"":10,""100"":81,""1000"":148}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,residual_ftv,current,Z7,240,5,225,52,67,84,375,375,0,"{""10"":13,""100"":86,""1000"":141}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,residual_ftv_ld,current,Z1,160,5,225,52,67,84,375,375,0,"{""1"":2,""10"":26,""100"":36,""1000"":96}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,residual_ftv_ld,current,Z2,160,5,225,52,67,84,375,375,0,"{""1"":2,""10"":18,""100"":54,""1000"":86}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,residual_ftv_ld,current,Z3,160,5,225,52,67,84,375,375,0,"{""1"":4,""10"":36,""100"":36,""1000"":84}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,residual_ftv_ld,current,Z4,160,5,225,52,67,84,375,375,0,"{""1"":1,""10"":12,""100"":60,""1000"":87}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,residual_ftv_ld,current,Z4_MATCHED_Z5,160,5,224,51,67,84,374,375,1,"{""1"":1,""10"":12,""100"":60,""1000"":87}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,residual_ftv_ld,current,Z4_MATCHED_Z6,160,5,224,51,67,84,374,375,1,"{""1"":1,""10"":12,""100"":60,""1000"":87}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,residual_ftv_ld,current,Z4_MATCHED_Z7,160,5,225,52,67,84,375,375,0,"{""1"":1,""10"":12,""100"":60,""1000"":87}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,residual_ftv_ld,current,Z5,160,5,224,51,67,84,374,375,1,"{""10"":17,""100"":65,""1000"":78}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,residual_ftv_ld,current,Z6,160,5,224,51,67,84,374,375,1,"{""1"":1,""10"":12,""100"":66,""1000"":81}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
static,residual_ftv_ld,current,Z7,160,5,225,52,67,84,375,375,0,"{""10"":13,""100"":61,""1000"":86}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
