oracle_representation,matched_reference,seed,arm,task_type,target_definition,target_kind,target,timing,interval,input_variant,metric_space,n_oracle,spearman_oracle,pearson_oracle,natural_r2_oracle,transformed_r2_oracle,residual_spearman_oracle,residual_transformed_r2_oracle,reconstructed_natural_r2_oracle,rmse_oracle,mae_oracle,reconstructed_natural_rmse_oracle,reconstructed_natural_mae_oracle,prediction_target_variance_ratio_oracle,calibration_slope_oracle,n_full_local_matched,spearman_full_local_matched,pearson_full_local_matched,natural_r2_full_local_matched,transformed_r2_full_local_matched,residual_spearman_full_local_matched,residual_transformed_r2_full_local_matched,reconstructed_natural_r2_full_local_matched,rmse_full_local_matched,mae_full_local_matched,reconstructed_natural_rmse_full_local_matched,reconstructed_natural_mae_full_local_matched,prediction_target_variance_ratio_full_local_matched,calibration_slope_full_local_matched,delta_spearman,delta_pearson,delta_natural_r2,delta_transformed_r2,delta_residual_spearman,delta_residual_transformed_r2,delta_reconstructed_natural_r2,delta_rmse,delta_mae,delta_reconstructed_natural_rmse,delta_reconstructed_natural_mae,delta_prediction_target_variance_ratio,delta_calibration_slope
Z5,Z4_MATCHED_Z5,3026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T2->T3,difference,natural_target,373,0.10552261836519641,0.06302579836874304,-0.009806624750502202,-0.037997327291823466,,,,45.92881860850462,29.917241269047928,,,0.032489288691019094,0.34966185252836435,373,0.14668147818935076,0.146151856256061,0.018023226593452235,-0.018445642776755183,,,,45.2915073357225,29.67121968027595,,,0.04141740004560172,0.7181462867276069,-0.04115885982415435,-0.08312605788731796,-0.027829851343954437,-0.019551684515068283,,,,0.6373112727821209,0.24602158877197766,,,-0.008928111354582623,-0.3684844341992426
Z5,Z4_MATCHED_Z5,3026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T2->T3,difference,natural_target,373,0.11648743074730901,0.06529637783986386,-0.00777687966924967,-0.03352154224990388,,,,45.88263615918816,29.88297427878919,,,0.030571972181752234,0.37344561354825917,373,0.13648761111243796,0.13610062184208072,0.01394215703638213,-0.019311262392306437,,,,45.385524908016365,29.729274996792153,,,0.041499109488459654,0.6680988447002884,-0.020000180365128947,-0.07080424400221685,-0.0217190367056318,-0.01421027985759744,,,,0.4971112511717948,0.15369928199703864,,,-0.01092713730670742,-0.2946532311520292
Z5,Z4_MATCHED_Z5,2026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,FTV,,T0->T1,difference,natural_target,375,0.4693594265559222,0.3053154100844891,0.0858096307001266,0.19448841140441733,,,,85.99969167325132,30.79354931101737,,,0.05406662694495747,1.3130585344617454,375,0.39976311298213674,0.23353423490077319,0.05237194398447964,0.11950062374079742,,,,87.55834183992945,32.71482548972215,,,0.042209417162270745,1.1367000450273914,0.06959631357378548,0.0717811751837159,0.03343768671564695,0.07498778766361991,,,,-1.5586501666781345,-1.9212761787047832,,,0.011857209782686728,0.17635848943435395
Z5,Z4_MATCHED_Z5,2026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,FTV,,T0->T1,difference,natural_target,375,0.45876072363181253,0.285961248127307,0.07777000311745907,0.17367481654317685,,,,86.37701573185554,31.16897607499157,,,0.05507911077576228,1.2184668660934663,375,0.41390806690180915,0.2445089120802594,0.05779925309505096,0.12170639783448409,,,,87.30724725395793,32.420018997360245,,,0.046586140265262116,1.1328341387808967,0.04485265673000338,0.041452336047047594,0.019970750022408112,0.05196841870869276,,,,-0.9302315221023889,-1.2510429223686756,,,0.008492970510500165,0.08563272731256966
Z5,Z4_MATCHED_Z5,3026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,FTV,,T0->T1,difference,natural_target,375,0.4350413016270338,0.2178438324330207,0.04395532862871998,0.07486154548096055,,,,87.94631883290336,32.05834662711066,,,0.05789832060988814,0.9053412016174146,375,0.36913414495391966,0.19133217813031486,0.03409692224629546,0.06555935848764219,,,,88.3985921144305,32.72777666393855,,,0.03886035056820822,0.9705874210047023,0.06590715667311414,0.026511654302705828,0.009858406382424523,0.009302186993318362,,,,-0.4522732815271411,-0.6694300368278903,,,0.019037970041679925,-0.0652462193872877
Z5,Z4_MATCHED_Z5,3026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,FTV,,T0->T1,difference,natural_target,375,0.4560480145636592,0.23582997497871508,0.052922876261553564,0.09546888892624969,,,,87.53288579225385,31.786199518599908,,,0.06602527364181017,0.9177912227157383,375,0.38314119922630563,0.20367418176028868,0.038865153551384535,0.05869863008860739,,,,88.18013002064401,32.75071073544617,,,0.04756993045750073,0.933834085714581,0.07290681533735355,0.032155793218426404,0.01405772271016903,0.0367702588376423,,,,-0.6472442283901643,-0.9645112168462617,,,0.018455343184309442,-0.016042862998842722
Z5,Z4_MATCHED_Z5,2026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,FTV,,T1->T2,difference,natural_target,374,0.349142865335264,0.16227343392841687,0.022724210244468468,0.08674091851037326,,,,130.30474759609447,38.27484865320114,,,0.01774311112636811,1.2182391166881739,374,0.2895198061676535,0.1306745198849676,0.013614831315401754,0.04168072871621584,,,,130.91063699673109,39.42739006024132,,,0.010326502802039464,1.2859209727454028,0.059623059167610515,0.03159891404344928,0.009109378929066714,0.04506018979415742,,,,-0.6058894006366131,-1.1525414070401823,,,0.007416608324328645,-0.06768185605722898
Z5,Z4_MATCHED_Z5,2026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,FTV,,T1->T2,difference,natural_target,374,0.353003913922381,0.15562790155372552,0.021216751297854497,0.045106042965634675,,,,130.40520714367736,39.098787132424555,,,0.024290099289590306,0.9985568990094859,374,0.28803750483864027,0.13959713679277855,0.015472255008492808,0.03950587087903047,,,,130.7873225430485,39.41578753568506,,,0.010488480399029885,1.3630764839025107,0.06496640908374074,0.016030764760946975,0.005744496289361689,0.0056001720866042035,,,,-0.3821153993711448,-0.3170004032605078,,,0.01380161889056042,-0.36451958489302483
Z5,Z4_MATCHED_Z5,3026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,FTV,,T1->T2,difference,natural_target,374,0.3813738584393055,0.15323740656927295,0.020819037865850376,0.0950930046236788,,,,130.43169852218205,38.756545781463615,,,0.022406731444171483,1.0237066837241053,374,0.31171945921922267,0.12402295532349522,0.012767956393243685,0.0520184455321993,,,,130.96682252804322,39.614312296950565,,,0.013310425219252483,1.074994174970691,0.06965439922008282,0.029214451245777734,0.008051081472606691,0.043074559091479496,,,,-0.5351240058611779,-0.8577665154869507,,,0.009096306224919,-0.051287491246585715
Z5,Z4_MATCHED_Z5,3026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,FTV,,T1->T2,difference,natural_target,374,0.42338684750039424,0.1824915582402517,0.02951122703419029,0.1299724138884828,,,,129.85148693891935,37.989074370076494,,,0.02112415684657159,1.255605148383615,374,0.3332387492652435,0.14669945929756797,0.01835600934738857,0.06692171420594233,,,,130.5956392221546,39.35160675952547,,,0.014768223098094469,1.2071587617347455,0.09014809823515074,0.03579209894268373,0.011155217686801722,0.06305069968254047,,,,-0.7441522832352518,-1.3625323894489725,,,0.00635593374847712,0.04844638664886958
