n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10,seed,fold,timing,population,arm,model,selected_c,validation_auroc
84.0,23.0,61.0,0.7398431931575196,0.5036306851485595,0.17958904891104743,1.6849654261274185,0.10665834740071883,2026,4,T0_T3,ftv_complete_375,C3,F,0.1,0.75
84.0,23.0,61.0,0.7990021382751247,0.5158013333484927,0.23891996217003578,18.824751470245847,0.24563152108291747,2026,4,T0_T3,ftv_complete_375,C3,C_PLUS_F,0.001,0.8010869565217391
84.0,23.0,61.0,0.7704918032786885,0.6044575169773715,0.23843449578161632,13.677819853220841,0.2433885051889467,2026,4,T0_T3,ftv_complete_375,C3,C_PLUS_F_PLUS_M,0.001,0.7728260869565218
69.0,20.0,49.0,0.645408163265306,0.4156385219744753,0.21517827027071298,1.0760861902018748,0.12905051653596716,3026,0,T0,ftv_complete_375,C3,C,0.01,0.8052631578947369
69.0,20.0,49.0,0.6785714285714286,0.4197822942037867,0.2148231946965834,0.27859520236461605,0.09878399917328681,3026,0,T0,ftv_complete_375,C3,C_PLUS_M,1.0,0.8
69.0,20.0,49.0,0.636734693877551,0.39481787951302605,0.24466798210890778,107.69115081702066,0.19766764250380137,3026,0,T0,ftv_complete_375,C3,F,0.001,0.381578947368421
69.0,20.0,49.0,0.6755102040816326,0.44917445359016517,0.20071627430201536,0.4265958587318156,0.0713208512721438,3026,0,T0,ftv_complete_375,C3,C_PLUS_F,0.1,0.793421052631579
69.0,20.0,49.0,0.6775510204081633,0.4171906430444987,0.21543346770621727,0.21847407500741559,0.10429272743618914,3026,0,T0,ftv_complete_375,C3,C_PLUS_F_PLUS_M,10.0,0.7907894736842105
69.0,20.0,49.0,0.645408163265306,0.4156385219744753,0.21517827027071298,1.0760861902018748,0.12905051653596716,3026,0,T0_T1,ftv_complete_375,C3,C,0.01,0.8052631578947369
69.0,20.0,49.0,0.5795918367346939,0.32948442184837945,0.24953441140603433,0.12248914119827287,0.17800888893427186,3026,0,T0_T1,ftv_complete_375,C3,C_PLUS_M,1.0,0.7486842105263158
69.0,20.0,49.0,0.6316326530612246,0.3881432863141405,0.2019354130869279,0.6899905703719267,0.04703337444599842,3026,0,T0_T1,ftv_complete_375,C3,F,10.0,0.743421052631579
69.0,20.0,49.0,0.6918367346938775,0.47876987197427817,0.20154303244001012,0.2688640611057228,0.17218446027131104,3026,0,T0_T1,ftv_complete_375,C3,C_PLUS_F,1.0,0.8355263157894737
69.0,20.0,49.0,0.639795918367347,0.41459219276241815,0.2321034846390068,0.1599402037191333,0.1879080963920499,3026,0,T0_T1,ftv_complete_375,C3,C_PLUS_F_PLUS_M,10.0,0.7947368421052631
69.0,20.0,49.0,0.645408163265306,0.4156385219744753,0.21517827027071298,1.0760861902018748,0.12905051653596716,3026,0,T0_T2,ftv_complete_375,C3,C,0.01,0.8052631578947369
69.0,20.0,49.0,0.6020408163265307,0.3982170464147591,0.2427120322197352,5.197786802106078,0.19742111922402034,3026,0,T0_T2,ftv_complete_375,C3,C_PLUS_M,0.001,0.768421052631579
69.0,20.0,49.0,0.6744897959183673,0.43519208822256217,0.1928004742690524,0.8618300513459201,0.0765438669208545,3026,0,T0_T2,ftv_complete_375,C3,F,10.0,0.8052631578947368
69.0,20.0,49.0,0.7418367346938775,0.4934387041790169,0.186571179421622,0.5824722653894249,0.16115477866289737,3026,0,T0_T2,ftv_complete_375,C3,C_PLUS_F,0.1,0.8552631578947368
69.0,20.0,49.0,0.6867346938775509,0.4423277119879509,0.22440452663534477,0.25831439896285735,0.19578241515022474,3026,0,T0_T2,ftv_complete_375,C3,C_PLUS_F_PLUS_M,1.0,0.8289473684210527
69.0,20.0,49.0,0.645408163265306,0.4156385219744753,0.21517827027071298,1.0760861902018748,0.12905051653596716,3026,0,T0_T3,ftv_complete_375,C3,C,0.01,0.8052631578947369
69.0,20.0,49.0,0.6142857142857142,0.36169695706141836,0.24263426447396275,4.309095067194998,0.19654851534340473,3026,0,T0_T3,ftv_complete_375,C3,C_PLUS_M,0.001,0.7539473684210526
69.0,20.0,49.0,0.6857142857142857,0.4558727704892661,0.18906313994305393,0.9743421316769153,0.10896964719290682,3026,0,T0_T3,ftv_complete_375,C3,F,10.0,0.775
69.0,20.0,49.0,0.7438775510204081,0.5059069032482271,0.1940203040000984,0.36182863203079846,0.13899520065084592,3026,0,T0_T3,ftv_complete_375,C3,C_PLUS_F,1.0,0.8513157894736842
69.0,20.0,49.0,0.6877551020408164,0.42485765061002917,0.223274318559939,0.24422895970062455,0.198523722438409,3026,0,T0_T3,ftv_complete_375,C3,C_PLUS_F_PLUS_M,1.0,0.8105263157894737
67.0,20.0,47.0,0.7159574468085106,0.4465769803452942,0.2062013303711982,2.3415560610379336,0.13868230089267755,3026,1,T0,ftv_complete_375,C3,C,0.01,0.6825396825396824
67.0,20.0,47.0,0.6787234042553192,0.42838247681202024,0.2417440241671459,9.648450008072661,0.18632648437123656,3026,1,T0,ftv_complete_375,C3,C_PLUS_M,0.001,0.7123015873015873
