n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10,seed,fold,timing,population,arm,model,selected_c,validation_auroc
69.0,20.0,49.0,0.6520408163265307,0.4030012249000175,0.2161864893470625,1.0226510612630608,0.1361917768450596,3026,0,T0_T1,ftv_complete_375,C0,C_PLUS_M,0.01,0.8368421052631578
69.0,20.0,49.0,0.6316326530612246,0.3881432863141405,0.2019354130869279,0.6899905703719266,0.0470333744459984,3026,0,T0_T1,ftv_complete_375,C0,F,10.0,0.743421052631579
69.0,20.0,49.0,0.6918367346938775,0.4787698719742781,0.2015430324400101,0.2688640611057228,0.1721844602713109,3026,0,T0_T1,ftv_complete_375,C0,C_PLUS_F,1.0,0.8355263157894737
69.0,20.0,49.0,0.6887755102040817,0.4596448914647444,0.2099371554120857,0.1926257860205461,0.1446816398864522,3026,0,T0_T1,ftv_complete_375,C0,C_PLUS_F_PLUS_M,10.0,0.8631578947368421
69.0,20.0,49.0,0.645408163265306,0.4156385219744753,0.2151782702707129,1.0760861902018746,0.129050516535967,3026,0,T0_T2,ftv_complete_375,C0,C,0.01,0.8052631578947369
69.0,20.0,49.0,0.6591836734693877,0.4891859023989076,0.2418693704920023,8.278110171833767,0.1986334819954797,3026,0,T0_T2,ftv_complete_375,C0,C_PLUS_M,0.001,0.7894736842105263
69.0,20.0,49.0,0.6744897959183673,0.4351920882225621,0.1928004742690524,0.86183005134592,0.0765438669208544,3026,0,T0_T2,ftv_complete_375,C0,F,10.0,0.8052631578947368
69.0,20.0,49.0,0.7418367346938775,0.4934387041790169,0.186571179421622,0.5824722653894238,0.1611547786628973,3026,0,T0_T2,ftv_complete_375,C0,C_PLUS_F,0.1,0.8552631578947368
69.0,20.0,49.0,0.7112244897959185,0.4871086747325737,0.2076986603029559,0.2537943596197191,0.1910550723118056,3026,0,T0_T2,ftv_complete_375,C0,C_PLUS_F_PLUS_M,10.0,0.8407894736842105
69.0,20.0,49.0,0.645408163265306,0.4156385219744753,0.2151782702707129,1.0760861902018746,0.129050516535967,3026,0,T0_T3,ftv_complete_375,C0,C,0.01,0.8052631578947369
69.0,20.0,49.0,0.6591836734693878,0.4369274491499485,0.2053398451355257,0.3830509857187292,0.1132249792014749,3026,0,T0_T3,ftv_complete_375,C0,C_PLUS_M,0.1,0.8171052631578948
69.0,20.0,49.0,0.6857142857142857,0.4558727704892661,0.1890631399430539,0.9743421316769164,0.1089696471929072,3026,0,T0_T3,ftv_complete_375,C0,F,10.0,0.775
69.0,20.0,49.0,0.7438775510204081,0.5059069032482271,0.1940203040000984,0.3618286320307985,0.1389952006508458,3026,0,T0_T3,ftv_complete_375,C0,C_PLUS_F,1.0,0.8513157894736842
69.0,20.0,49.0,0.7306122448979591,0.5047805882534656,0.1961686967357991,0.3393556973955836,0.1695210566095059,3026,0,T0_T3,ftv_complete_375,C0,C_PLUS_F_PLUS_M,1.0,0.8526315789473684
67.0,20.0,47.0,0.7159574468085106,0.4465769803452942,0.2062013303711981,2.341556061037932,0.1386823008926775,3026,1,T0,ftv_complete_375,C0,C,0.01,0.6825396825396824
