seed_base,fold,arm,task,endpoint,selected_alpha,validation_score,n_train,n_val,n_test,target_transform,model,selected_c,validation_auroc,population,timing
3026,3,A0_LOCAL3,delta,T2_to_T3,1000.0,0.11115076042338826,242,61,72,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,3,A1_PATCH3,static,T0,10.0,0.07896081593351546,242,61,72,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,3,A1_PATCH3,static,T1,100.0,0.14435057148604527,242,61,72,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,3,A1_PATCH3,static,T2,1000.0,0.4236420065804968,242,61,72,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,3,A1_PATCH3,static,T3,1000.0,0.33870429786991674,242,61,72,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,3,A1_PATCH3,delta,T0_to_T1,1000.0,0.4740228179695404,242,61,72,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,3,A1_PATCH3,delta,T1_to_T2,1000.0,0.3100151256974333,242,61,72,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,3,A1_PATCH3,delta,T2_to_T3,1000.0,0.1568823386551198,242,61,72,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,4,A0_LOCAL3,static,T0,100.0,0.08033174609556898,225,66,84,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,4,A0_LOCAL3,static,T1,1.0,0.18602933538321192,225,66,84,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,4,A0_LOCAL3,static,T2,100.0,0.38924959702480816,225,66,84,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,4,A0_LOCAL3,static,T3,10.0,0.3945769582733193,225,66,84,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,4,A0_LOCAL3,delta,T0_to_T1,1000.0,0.3408028771976775,225,66,84,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,4,A0_LOCAL3,delta,T1_to_T2,1000.0,0.2842318877777299,225,66,84,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,4,A0_LOCAL3,delta,T2_to_T3,1000.0,0.5632487711915813,225,66,84,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,4,A1_PATCH3,static,T0,100.0,0.09089849380951409,225,66,84,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,4,A1_PATCH3,static,T1,1000.0,0.21551711767802642,225,66,84,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,4,A1_PATCH3,static,T2,100.0,0.3685179491064445,225,66,84,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,4,A1_PATCH3,static,T3,1000.0,0.41846103481052777,225,66,84,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,4,A1_PATCH3,delta,T0_to_T1,1000.0,0.3340269908965938,225,66,84,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,4,A1_PATCH3,delta,T1_to_T2,1000.0,0.27662264341944115,225,66,84,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,4,A1_PATCH3,delta,T2_to_T3,1000.0,0.5083323852216495,225,66,84,literal_delta_outer_train_standardized_inverse_natural,,,,,
2026,0,A0_LOCAL3,,,,,525,121,162,,M,10.0,0.5886075949367088,full_808,T0
2026,0,A0_LOCAL3,,,,,525,121,162,,C,0.0001,0.7399035563592526,full_808,T0
2026,0,A0_LOCAL3,,,,,525,121,162,,C+M,0.1,0.6986136226642555,full_808,T0
2026,0,A0_LOCAL3,,,,,247,59,69,,C+F,0.0001,0.8473684210526317,ftv_complete_375,T0
2026,0,A0_LOCAL3,,,,,247,59,69,,C+F+M,100.0,0.7776315789473685,ftv_complete_375,T0
2026,0,A0_LOCAL3,,,,,525,121,162,,M,0.1,0.6027727546714887,full_808,T0-T1
2026,0,A0_LOCAL3,,,,,525,121,162,,C,0.0001,0.7399035563592526,full_808,T0-T1
2026,0,A0_LOCAL3,,,,,525,121,162,,C+M,0.1,0.7148884870403858,full_808,T0-T1
2026,0,A0_LOCAL3,,,,,247,59,69,,C+F,10.0,0.8447368421052631,ftv_complete_375,T0-T1
2026,0,A0_LOCAL3,,,,,247,59,69,,C+F+M,0.1,0.7999999999999999,ftv_complete_375,T0-T1
2026,0,A0_LOCAL3,,,,,525,121,162,,M,0.1,0.6760096443640747,full_808,T0-T2
2026,0,A0_LOCAL3,,,,,525,121,162,,C,0.0001,0.7399035563592526,full_808,T0-T2
2026,0,A0_LOCAL3,,,,,525,121,162,,C+M,0.01,0.7573839662447257,full_808,T0-T2
