effect,seed_base,reference,comparison,improvement,ci_lower,ci_upper,n_patients,n_bootstrap,n_valid_bootstrap,bootstrap_unit,timing,metric,confidence_level,n_folds,metric_aggregation,ci_method,orientation,seed
E4_A1_CplusM_minus_C,3026,0.5424197284072237,0.4941420113988634,-0.048277717008360366,-0.09947743196253922,0.004437907377180463,808,2000,2000,patient_within_outer_fold,T0,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E4_A1_CplusM_minus_C,3026,0.22583924073987818,0.2282184429609834,-0.0023792022211052144,-0.019357522556421442,0.014507586453883704,808,2000,2000,patient_within_outer_fold,T0,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E5_A1_CplusFplusM_minus_CplusF,3026,0.6880274442538593,0.6029845626072041,-0.08504288164665519,-0.16105369857332902,-0.007544869333570864,375,2000,2000,patient_within_outer_fold,T0,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E5_A1_CplusFplusM_minus_CplusF,3026,0.538897485664505,0.3895374250104856,-0.1493600606540194,-0.22565112045682878,-0.05370695386212015,375,2000,2000,patient_within_outer_fold,T0,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E5_A1_CplusFplusM_minus_CplusF,3026,0.23562174491513208,0.2536534375092839,-0.0180316925941518,-0.04920810160320856,0.01359725994470964,375,2000,2000,patient_within_outer_fold,T0,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E3_A1_minus_A0_MRI,3026,0.5428961282619819,0.5030735118539997,-0.039822616407982125,-0.08948286300425874,0.011868589017658606,808,2000,2000,patient_within_outer_fold,T0-T1,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E3_A1_minus_A0_MRI,3026,0.37780017621699646,0.3425924106947521,-0.03520776552224436,-0.08076649148841873,0.0114558487710503,808,2000,2000,patient_within_outer_fold,T0-T1,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E3_A1_minus_A0_MRI,3026,0.2804961369470456,0.29028707071114485,-0.00979093376409923,-0.02945357451661944,0.010693755197025971,808,2000,2000,patient_within_outer_fold,T0-T1,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E4_A1_CplusM_minus_C,3026,0.6796145318096538,0.6512706805389732,-0.02834385127068062,-0.07181519331753637,0.01666811340747052,808,2000,2000,patient_within_outer_fold,T0-T1,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E4_A1_CplusM_minus_C,3026,0.5424197284072237,0.4978818503663872,-0.04453787804083653,-0.09702915346856093,0.009872832484705005,808,2000,2000,patient_within_outer_fold,T0-T1,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E4_A1_CplusM_minus_C,3026,0.22583924073987818,0.22957129834270398,-0.0037320576028258,-0.018397783270024812,0.011401645373067659,808,2000,2000,patient_within_outer_fold,T0-T1,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E5_A1_CplusFplusM_minus_CplusF,3026,0.6971526586620925,0.5966037735849057,-0.10054888507718684,-0.1699854743446523,-0.03071581897064909,375,2000,2000,patient_within_outer_fold,T0-T1,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E5_A1_CplusFplusM_minus_CplusF,3026,0.5259975356624463,0.3883363119049661,-0.13766122375748024,-0.21898412637128173,-0.05327691291174957,375,2000,2000,patient_within_outer_fold,T0-T1,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E5_A1_CplusFplusM_minus_CplusF,3026,0.19795876762150016,0.25894570769207786,-0.0609869400705777,-0.09164911287192411,-0.03233425002882507,375,2000,2000,patient_within_outer_fold,T0-T1,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E3_A1_minus_A0_MRI,3026,0.5173528910114276,0.5493228722497016,0.03196998123827399,-0.017168809565126782,0.07981679378841092,808,2000,2000,patient_within_outer_fold,T0-T2,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E3_A1_minus_A0_MRI,3026,0.3526796403044252,0.37288851729376443,0.02020887698933921,-0.021368178385843112,0.062229312871123724,808,2000,2000,patient_within_outer_fold,T0-T2,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E3_A1_minus_A0_MRI,3026,0.2811186846584637,0.25449810329773953,0.02662058136072415,0.009414466418989981,0.04232550990042273,808,2000,2000,patient_within_outer_fold,T0-T2,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
