aggregation_level,task_type,model,run_name,encoder_stream,representation,representation_role,input_variant,target_name,timepoint,transition,probe_type,feature_dim,n,n_patients,n_folds,mae,rmse,r2,spearman,pearson,target_variance_ddof1,predicted_variance_ddof1,predicted_to_target_variance_ratio,standardized_target_variance_ddof1,standardized_predicted_variance_ddof1,standardized_variance_ratio,fold_centered_target_variance,fold_centered_predicted_variance,fold_centered_variance_ratio,near_constant_prediction,near_constant_definition,b0_mae,b0_rmse,rmse_gain_over_b0,sign_accuracy,shrinkage_accuracy,shrinkage_balanced_accuracy,zero_change_mae,zero_change_rmse,rmse_gain_over_zero_change
pooled_oof_test,change,m1,m1_final,table_baseline,current_radiomics,current_radiomics,current_only,ld,,T0→T1,current_radiomics_single_output_ridge,4,375,375,5,0.2922863187717169,0.5820430810707764,-0.006528323839067429,0.0809112168176532,0.03050634445430328,0.33747680359088883,0.004554268125139133,0.013495055294704374,0.9405642191502867,0.013877708058305882,0.014754662973298215,0.9373922729012865,0.013777668193710508,0.014697868322583652,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.2901965225428247,0.5822633677612599,0.00037832826634868143,0.728,0.728,0.4981751824817518,0.30340110730794384,0.6306656093388642,0.07709716139280128
pooled_oof_test,change,m1,m1_final,table_baseline,current_radiomics,current_radiomics,current_only,ld,,T1→T2,current_radiomics_single_output_ridge,4,375,375,5,0.9328505487470071,1.3052497501432594,0.05883641710341547,0.24817061738176047,0.25221415881265546,1.8150215617650212,0.17967262212860108,0.09899200423485774,5.151909619001897,0.5531123931273264,0.107360655374712,5.167570890914212,0.5384089247984664,0.10418994459178375,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.9671460506258062,1.3514186558697598,0.0341632887232762,0.8213333333333334,0.8293333333333334,0.5434334807073955,0.9232607722211814,1.5773156355249531,0.1724866470946675
pooled_oof_test,change,m1,m1_final,table_baseline,current_radiomics,current_radiomics,current_only,ld,,T2→T3,current_radiomics_single_output_ridge,4,375,375,5,0.948714847387155,1.272883061672776,0.08133824003083512,0.3318328536287604,0.2854562459823231,1.7684021788052815,0.14249455618936788,0.08057813878381222,5.157852608783887,0.44218009956181636,0.08572949502449491,5.1567919557786555,0.4422970227283675,0.08576980155903582,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",1.003731415205971,1.3284753427510603,0.041846678887664975,0.6586666666666666,0.736,0.61328125,0.8538891949371882,1.5197576342435881,0.16244338373972783
pooled_oof_test,change,m1,m1_final,table_baseline,current_radiomics,current_radiomics,current_only,sphericity,,T0→T1,current_radiomics_single_output_ridge,4,375,375,5,0.047043213970984814,0.06262203759110904,0.20407955987204818,0.43682648765502335,0.4530896562008296,0.004940198467491306,0.0009099673788405245,0.1841965226353785,0.6294974910105975,0.1134575060442057,0.18023504090867878,0.6221939357870948,0.11398010324953818,0.18319063670292732,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.0513780770074995,0.07090939854993504,0.11687253210856052,0.6533333333333333,0.6533333333333333,0.6531415853449751,0.051011270472799956,0.07033422084780792,0.10965051099928753
pooled_oof_test,change,m1,m1_final,table_baseline,current_radiomics,current_radiomics,current_only,sphericity,,T1→T2,current_radiomics_single_output_ridge,4,375,375,5,0.07077258371889018,0.10117061675162152,0.09943370735414259,0.369224030037547,0.315871705041968,0.011396008720189683,0.0012450551929959947,0.10925361883851482,1.3383481350920432,0.15488594297453961,0.1157291880291577,1.329836584445399,0.15413291790129152,0.11590365290301576,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.07503442444958144,0.10717154949726225,0.0559937107729699,0.6986666666666667,0.6986666666666667,0.5952164935552496,0.07596205578879996,0.11331186576273335,0.10714896387404566
pooled_oof_test,change,m1,m1_final,table_baseline,current_radiomics,current_radiomics,current_only,sphericity,,T2→T3,current_radiomics_single_output_ridge,4,375,375,5,0.08771858709165273,0.1219626176708987,0.08253870045006606,0.22166958698372966,0.2875734746787918,0.016256437762729836,0.0012292855014531664,0.0756183808159667,1.7757236958554368,0.15190608778484546,0.08554601604934164,1.7807568785549803,0.15110715245266973,0.08485557701469484,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.08804377187502382,0.12762916009687544,0.044398493429523685,0.672,0.672,0.5758756057167392,0.09081319018799995,0.13259659447143576,0.08019796317489786
pooled_oof_test,change,m1,m1_final,transition,transition_predicted_delta,transition_delta,predicted_next_delta,bpe,,T0→T1,single_output_ridge,192,375,375,5,8.206188821430294,12.031785787814496,-0.03578796112940963,0.044784162020707695,0.0017539840915231097,140.13576509876154,4.960056285344721,0.03539464948044556,1.429636697101559,0.06016744048531539,0.04208582544593229,1.4143793353184488,0.060165708155585265,0.0425385938928745,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",8.120816188027145,11.876554792335497,-0.013070372527492252,0.6826666666666666,0.6826666666666666,0.4952907452907453,8.648985439999999,13.05380386350108,0.0782927402903751
pooled_oof_test,change,m1,m1_final,transition,transition_predicted_delta,transition_delta,predicted_next_delta,bpe,,T1→T2,single_output_ridge,192,375,375,5,6.361342538922566,9.227789095326589,-0.02630096966504536,0.004266697007623166,0.013709315652621084,83.19174735357215,2.586154872736359,0.031086675722111906,0.9325671984963494,0.03247375702230938,0.03482189495263113,0.9262843069752559,0.030965637984549068,0.033429949909942996,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",6.3267479271428675,9.155968705803753,-0.00784410605044016,0.6053333333333333,0.6053333333333333,0.47806423824760025,6.4668996,9.500660083426302,0.028721266280827256
pooled_oof_test,change,m1,m1_final,transition,transition_predicted_delta,transition_delta,predicted_next_delta,bpe,,T2→T3,single_output_ridge,192,375,375,5,6.0067263685554835,9.181093888008183,-0.0356596168111587,-0.0550715667311412,-0.03192460916006631,81.6077643507419,2.00981929835997,0.02462779509216758,0.8125841133231128,0.025122876879909096,0.030917263170661242,0.8090589132998466,0.0228573499156351,0.028251774425682524,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",5.861080026071585,9.0674175436547,-0.01253679383420831,0.56,0.56,0.4844671937691763,5.941835200000002,9.126674608137037,-0.005962662438148899
pooled_oof_test,change,m1,m1_final,transition,transition_predicted_delta,transition_delta,predicted_next_delta,ftv,,T0→T1,single_output_ridge,192,375,375,5,0.6085809956582849,0.8297244228102391,-0.02467091407199229,0.03662828535669587,0.0036161605904416845,0.6736634796504759,0.017401935908725037,0.025831793520637143,0.3647980681755265,0.010447507087961763,0.02863915135355057,0.36258338586930977,0.009530254254352829,0.026284310384226846,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.6115653633277737,0.825048957436942,-0.005666894468689088,0.8746666666666667,0.8746666666666667,0.5,0.831665934362793,1.103006847382375,0.24776131283380717
