task_type,model,run_name,encoder_stream,representation,representation_role,input_variant,target_name,timepoint,transition,probe_type,feature_dim,metric,estimate,ci_low,ci_high,bootstrap_replicates,valid_replicates,bootstrap_unit,ci_method,seed
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T0→T1,single_output_ridge,9,shrinkage_balanced_accuracy,0.4559970993473532,0.40545877276229253,0.5048127878477188,2000,2000,patient within fold,percentile,3797118098
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T0→T1,single_output_ridge,9,rmse_gain_over_b0,-0.01459204205356419,-0.02418842976536842,-0.006146896225182237,2000,2000,patient within fold,percentile,3797118098
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T0→T1,single_output_ridge,9,rmse_gain_over_zero_change,-0.021795375166650244,-0.03222309513973109,-0.011578730929847571,2000,2000,patient within fold,percentile,3797118098
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T1→T2,single_output_ridge,9,mae,0.06988021001320842,0.06270827454181069,0.07702478376934348,2000,2000,patient within fold,percentile,843716035
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T1→T2,single_output_ridge,9,rmse,0.09972035962232079,0.08668412256688236,0.11241621900104058,2000,2000,patient within fold,percentile,843716035
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T1→T2,single_output_ridge,9,r2,0.12056099031201628,0.045303790636794926,0.18556978272636251,2000,2000,patient within fold,percentile,843716035
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T1→T2,single_output_ridge,9,spearman,0.41966837243304317,0.33388109754038364,0.4974832815682525,2000,2000,patient within fold,percentile,843716035
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T1→T2,single_output_ridge,9,pearson,0.35074192634954404,0.26763568885729017,0.4389486070167669,2000,2000,patient within fold,percentile,843716035
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T1→T2,single_output_ridge,9,predicted_to_target_variance_ratio,0.16021087707196696,0.11312200699004045,0.22450839042268386,2000,2000,patient within fold,percentile,843716035
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T1→T2,single_output_ridge,9,fold_centered_variance_ratio,0.1746072815121913,0.1291606988720616,0.2357943591856429,2000,2000,patient within fold,percentile,843716035
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T1→T2,single_output_ridge,9,sign_accuracy,0.6222826086956522,0.5733695652173914,0.6711956521739131,2000,2000,patient within fold,percentile,843716035
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T1→T2,single_output_ridge,9,shrinkage_accuracy,0.6222826086956522,0.5733695652173914,0.6711956521739131,2000,2000,patient within fold,percentile,843716035
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T1→T2,single_output_ridge,9,shrinkage_balanced_accuracy,0.5189712371565691,0.4803341767824214,0.5562140538837207,2000,2000,patient within fold,percentile,843716035
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T1→T2,single_output_ridge,9,rmse_gain_over_b0,0.06787156428342989,0.03257084505063354,0.10408582629132901,2000,2000,patient within fold,percentile,843716035
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T1→T2,single_output_ridge,9,rmse_gain_over_zero_change,0.11467507597297093,0.06814332043993941,0.15732002530828096,2000,2000,patient within fold,percentile,843716035
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T2→T3,single_output_ridge,9,mae,0.0798184847392856,0.07152935900313226,0.08832111134381991,2000,2000,patient within fold,percentile,1916955467
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T2→T3,single_output_ridge,9,rmse,0.11567877116920548,0.10322227267021324,0.12788115368984293,2000,2000,patient within fold,percentile,1916955467
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T2→T3,single_output_ridge,9,r2,0.17366301984509447,0.10295928161419952,0.2350659827485076,2000,2000,patient within fold,percentile,1916955467
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T2→T3,single_output_ridge,9,spearman,0.4030595438640088,0.30382349348874893,0.4958380078281395,2000,2000,patient within fold,percentile,1916955467
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T2→T3,single_output_ridge,9,pearson,0.42368053704422926,0.3245083754784914,0.5150082765568523,2000,2000,patient within fold,percentile,1916955467
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T2→T3,single_output_ridge,9,predicted_to_target_variance_ratio,0.12069935600758404,0.09193161743659178,0.15905753256044378,2000,2000,patient within fold,percentile,1916955467
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T2→T3,single_output_ridge,9,fold_centered_variance_ratio,0.1421768665151751,0.10979364521330869,0.1834525880091721,2000,2000,patient within fold,percentile,1916955467
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T2→T3,single_output_ridge,9,sign_accuracy,0.6820652173913043,0.6331521739130435,0.7282608695652174,2000,2000,patient within fold,percentile,1916955467
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T2→T3,single_output_ridge,9,shrinkage_accuracy,0.6820652173913043,0.6331521739130435,0.7282608695652174,2000,2000,patient within fold,percentile,1916955467
