task_type,model,run_name,encoder_stream,representation,representation_role,input_variant,target_name,timepoint,transition,probe_type,feature_dim,comparison_type,comparison_dimension,left_method,right_method,pair_scope,fold,n,mae_reduction,rmse_reduction,r2_gain,spearman_gain,pearson_gain,sign_accuracy_gain,rmse_gain_over_b0_difference
static,,,online,online_roi_mean,roi_mean,current,sphericity,T1,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,82,-0.0049408403325888195,-0.0057870148973195035,-0.12522763825664351,-0.07834046211948059,-0.1292185615474138,,-0.061113940593680076
static,,,online,online_roi_mean,roi_mean,current,sphericity,T2,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,80,0.0019306467528860255,0.002192990302123221,0.036172569258670295,-0.08891233005157057,-0.006412283414957164,,0.01757281408273514
static,,,online,online_roi_mean,roi_mean,current,sphericity,T3,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,82,0.0009945838883365227,0.0019522701299922451,0.02688815525188948,0.10581077698327185,0.08070199804923783,,0.013592033394988347
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,1,67,-0.0483432379883274,-0.07579507516387562,-0.18640349802096923,-0.21825365152845405,-0.27142077312720253,0.014925373134328401,-0.10001462675774156
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,1,67,-0.06735963524936373,-0.062490402318265525,-0.1110130754833345,-0.2253970787772368,-0.24479399961263076,0.0,-0.05460127693452492
change,,,online,online_global_pool,global_pool,observed_difference,ftv,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,1,67,-0.03459053751966268,-0.08136521594943136,-0.1397644317882868,-0.2694947721286615,-0.2546187938089332,0.0,-0.07204338843092807
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,1,67,-0.003967281677798751,0.006742109398174767,0.027234840458568277,-0.04549220350026237,0.03953287023831825,-0.014925373134328401,0.013323415038723314
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,1,67,-0.01722656519313759,-0.015788093793073443,-0.026997900152323284,-0.021594436214741643,-0.11038109216554612,0.014925373134328401,-0.013204236620589583
change,,,online,online_global_pool,global_pool,observed_difference,ld,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,1,67,-0.0070496805288278175,0.01978294068649178,0.030875270448561754,0.11905734065101858,0.11539411191344202,-0.014925373134328401,0.015266895693516858
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,1,67,-0.0009244855027109589,-0.001441173908046836,-0.032437872059123185,-0.18098012610743078,-0.2516292776129474,-0.11940298507462682,-0.0157462049828024
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,1,67,-0.002385550733078959,-0.0031091347552060222,-0.044227218360277654,-0.31435070636124196,-0.33510227204213366,0.0,-0.02168076562682012
