task_type,model,run_name,encoder_stream,representation,representation_role,input_variant,target_name,timepoint,transition,probe_type,feature_dim,comparison_type,comparison_dimension,left_method,right_method,pair_scope,n,n_patients,metric,estimate,ci_low,ci_high,bootstrap_replicates,valid_replicates,bootstrap_unit,ci_method,seed,positive_definition
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,spearman_gain,0.05125201956991695,-0.03226524012208524,0.1337889541251199,2000,2000,paired patient within fold,percentile,1665644872,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,pearson_gain,0.10961949241609928,0.008511130690979236,0.22006745306540082,2000,2000,paired patient within fold,percentile,1665644872,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,sign_accuracy_gain,0.03466666666666662,0.008000000000000007,0.06133333333333335,2000,2000,paired patient within fold,percentile,1665644872,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_global_pool,global_pool,observed_difference,sphericity,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_gain_over_b0_difference,0.02813675861342943,0.008963845372519616,0.050701372752311395,2000,2000,paired patient within fold,percentile,1665644872,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_preprojector,preprojector,observed_difference,ftv,,T0→T1,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,mae_reduction,-0.028837777841812184,-0.05392139517657914,-0.004455184311983012,2000,2000,paired patient within fold,percentile,2548448524,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_preprojector,preprojector,observed_difference,ftv,,T0→T1,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_reduction,-0.035819632110651534,-0.06297665331378532,-0.00821864358441473,2000,2000,paired patient within fold,percentile,2548448524,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_preprojector,preprojector,observed_difference,ftv,,T0→T1,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,r2_gain,-0.0839629571100653,-0.15031053542521866,-0.020486453408001374,2000,2000,paired patient within fold,percentile,2548448524,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_preprojector,preprojector,observed_difference,ftv,,T0→T1,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,spearman_gain,-0.1282480373193765,-0.21944486231427723,-0.04670328739487099,2000,2000,paired patient within fold,percentile,2548448524,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_preprojector,preprojector,observed_difference,ftv,,T0→T1,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,pearson_gain,-0.133471521449332,-0.22208157700393497,-0.04915892467576742,2000,2000,paired patient within fold,percentile,2548448524,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_preprojector,preprojector,observed_difference,ftv,,T0→T1,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,sign_accuracy_gain,-0.005333333333333301,-0.021333333333333315,0.008000000000000007,2000,2000,paired patient within fold,percentile,2548448524,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_preprojector,preprojector,observed_difference,ftv,,T0→T1,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_gain_over_b0_difference,-0.043415159534201594,-0.07802771459639501,-0.01036357970383204,2000,2000,paired patient within fold,percentile,2548448524,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_preprojector,preprojector,observed_difference,ftv,,T1→T2,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,mae_reduction,-0.034931853207754604,-0.05925582290140958,-0.012989252001334923,2000,2000,paired patient within fold,percentile,764238971,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_preprojector,preprojector,observed_difference,ftv,,T1→T2,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,rmse_reduction,-0.03757261394118094,-0.06522655909152772,-0.010570134124902148,2000,2000,paired patient within fold,percentile,764238971,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
change,,,online,online_preprojector,preprojector,observed_difference,ftv,,T1→T2,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,375,375,r2_gain,-0.0663430290746958,-0.115318531955735,-0.018513613449445427,2000,2000,paired patient within fold,percentile,764238971,"left method better; RMSE/MAE use right-left reduction, correlation/R2 use left-right gain"
