scope,visit,status,error_code,file_count,slice_count,timepoint_count,decoded_cell_count,verified_cell_count,pixel_order_verified,finite_fraction,nonconstant,cell_recomparison_max_abs_error,center_corner_error_mm,footprint_corner_error_mm,qform_code,sform_code,elapsed_seconds
FORMAL_72,T3,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,4.972014936770235e-07,4.972014936770235e-07,1,1,5.743013143539429
BASE_ONLY_EXTENSION_74,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,6.907678951300142e-06,6.907700998830643e-06,1,1,10.894510984420776
BASE_ONLY_EXTENSION_74,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,1.1420191685728314e-05,1.1420213802385468e-05,1,1,12.252782583236694
BASE_ONLY_EXTENSION_74,T0,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,1.3237135423240054e-05,1.3237135459172263e-05,1,1,12.130141258239746
BASE_ONLY_EXTENSION_74,T1,PASS,,1056,176,6,1056,1056,True,1.0,True,0.0,4.410002738614895e-06,4.4100027629819845e-06,1,1,11.216463804244995
BASE_ONLY_EXTENSION_74,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,1.9428123696734252e-06,1.9428123696734252e-06,1,1,5.862224102020264
FORMAL_72,T3,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,4.922379504629129e-06,4.922397477556868e-06,1,1,11.865341186523438
FORMAL_72,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,1.169667763453884e-05,1.169670130788468e-05,1,1,11.093993902206421
BASE_ONLY_EXTENSION_74,T2,PASS,,576,72,8,576,576,True,1.0,True,0.0,5.593949325200152e-06,5.600134393245387e-06,1,1,6.1033313274383545
BASE_ONLY_EXTENSION_74,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,1.183506986630614e-05,1.183506988001056e-05,1,1,11.420494556427002
FORMAL_72,T0,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,2.7418629442106285e-06,2.741862944210268e-06,1,1,6.0924012660980225
BASE_ONLY_EXTENSION_74,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,7.502446946771614e-06,7.502468879093664e-06,1,1,11.766026973724365
BASE_ONLY_EXTENSION_74,T3,PASS,,1232,176,7,1232,1232,True,1.0,True,0.0,6.048259839347491e-06,6.048259857418061e-06,1,1,11.272424221038818
FORMAL_72,T0,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,8.541538241859679e-06,8.541552272896655e-06,1,1,12.26346206665039
BASE_ONLY_EXTENSION_74,T3,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,6.381772785844545e-06,6.381794249281713e-06,1,1,11.347496747970581
FORMAL_72,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,4.291544868561375e-06,4.2915448810845195e-06,1,1,5.873304843902588
FORMAL_72,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,9.577582718744282e-06,9.577592768820313e-06,1,1,5.923706769943237
FORMAL_72,T3,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,2.3831348512148253e-06,2.383134839852655e-06,1,1,5.847109317779541
FORMAL_72,T3,PASS,,960,160,6,960,960,True,1.0,True,0.0,9.512929008680612e-06,9.515892765911568e-06,1,1,10.460374593734741
BASE_ONLY_EXTENSION_74,T0,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,3.847609892244929e-06,3.84763001041127e-06,1,1,11.34238314628601
FORMAL_72,T1,PASS,,1232,176,7,1232,1232,True,1.0,True,0.0,6.031105670876147e-06,6.031109629440981e-06,1,1,12.142006397247314
FORMAL_72,T0,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,8.371780438165975e-06,8.371787761476414e-06,1,1,5.854328155517578
BASE_ONLY_EXTENSION_74,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,1.6968484915923475e-06,1.6968484915923475e-06,1,1,5.7055747509002686
FORMAL_72,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,5.3231734809214385e-06,5.323191604728898e-06,1,1,11.93465781211853
BASE_ONLY_EXTENSION_74,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,7.0925028447629065e-06,7.092523345940213e-06,1,1,12.025390148162842
BASE_ONLY_EXTENSION_74,T2,PASS,,480,60,8,480,480,True,1.0,True,0.0,7.25450269674884e-06,7.260766469547432e-06,1,1,2.583998441696167
BASE_ONLY_EXTENSION_74,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,6.671887268797537e-06,6.6719072501008785e-06,1,1,11.140787839889526
FORMAL_72,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,7.381826029005838e-06,7.381850217436923e-06,1,1,11.979029893875122
BASE_ONLY_EXTENSION_74,T3,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,8.176941424603991e-06,8.1769414002849e-06,1,1,12.109693765640259
BASE_ONLY_EXTENSION_74,T3,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,6.019970158758253e-06,6.019988502759501e-06,1,1,11.579329013824463
FORMAL_72,T3,PASS,,720,80,9,720,720,True,1.0,True,0.0,1.6370473560420994e-05,1.637627898100975e-05,1,1,6.598464012145996
BASE_ONLY_EXTENSION_74,T0,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,6.02740258720515e-06,6.0274195267308674e-06,1,1,11.874903678894043
FORMAL_72,T1,PASS,,1232,176,7,1232,1232,True,1.0,True,0.0,4.273398946710251e-06,4.273430575691463e-06,1,1,12.724905729293823
BASE_ONLY_EXTENSION_74,T1,PASS,,960,160,6,960,960,True,1.0,True,0.0,6.159147693910806e-06,6.1591477204548765e-06,1,1,10.595577955245972
