model,task,target,timepoint,transition,representation,fold_count,spearman_mean,spearman_sd_ddof1,pearson_mean,pearson_sd_ddof1,r2_mean,r2_sd_ddof1,mae_mean,mae_sd_ddof1,rmse_mean,rmse_sd_ddof1,rmse_gain_over_b0_mean,rmse_gain_over_b0_sd_ddof1,prediction_target_variance_ratio_mean,prediction_target_variance_ratio_sd_ddof1
G3,static,ftv,T2,,response_state,5,0.6009519203711825,0.09129983719016938,0.4511684016651607,0.34453643948817286,-0.047706179574178886,0.8817688862154321,8.034704743645097,6.41727949018607,28.69059785650584,30.238469263242216,0.08311804206026578,0.4051708947496058,0.5620306944717546,0.6672515223339757
G3,static,ftv,T3,,response_state,5,0.4007268799361484,0.0746713816090942,0.4861917994869532,0.28569802366014746,0.05615935378422723,0.1592140295475429,3.067454229967885,1.733305986060594,9.61367771556191,7.17822155964587,0.06851666123467362,0.07562496170066171,0.17137275653928177,0.1931293926061758
G3,static,ld,T0,,response_state,5,0.3649169323172182,0.07878220803764972,0.3544696054186942,0.09913445324877194,0.08249735539594019,0.0658203513751985,1.4360067231441964,0.11535973048898239,2.0393395383793615,0.25279188323659285,0.06245799044474555,0.03124819114712441,0.14960464848978955,0.12573176249267198
G3,static,ld,T1,,response_state,5,0.31404483952286466,0.08715527200474836,0.27892101519559437,0.0719206928629871,-0.005048127279756542,0.08731552963172291,1.3694101737743387,0.16636787062176323,2.030641928586083,0.33400669265599664,0.03815567967973289,0.022266787278764487,0.0990996836366349,0.045734177159596386
G3,static,ld,T2,,response_state,5,0.3637796749433597,0.12269373660482098,0.40941227884596154,0.10473177970286604,-0.07786622119038196,0.20120139993772682,1.5140572542686164,0.20413450445807815,2.147625313956584,0.393180784317472,0.09086786022094541,0.05954691711766054,0.2937018144404865,0.3222766431244759
G3,static,ld,T3,,response_state,5,0.24209875162295075,0.10854772760572733,0.28496453966017804,0.09263206909016553,-0.27468552849889777,0.09057342474827093,1.3833519942269186,0.13145312837300982,1.9819635311160682,0.28765139742765655,0.022075173530907998,0.040144507032723396,0.24154304359335593,0.3967791086414115
G3,static,sphericity,T0,,response_state,5,0.48239282605922107,0.10617618748398522,0.43806211678456936,0.09849856623598587,0.1670849844167404,0.1219273942013813,0.06722584233643422,0.0075625063380556955,0.08529577641702416,0.010330914682968866,0.09737910413188193,0.06608667384807242,0.23576025244716328,0.06876545816733512
G3,static,sphericity,T1,,response_state,5,0.2909986900489769,0.1183020306697532,0.28549920262456124,0.11649168289921857,0.06013450655492989,0.09066695456263896,0.07168781466851215,0.008565174555145534,0.08798057398077795,0.01134608522701159,0.0357935178001475,0.04399391014588675,0.15095410042279164,0.0571272538605474
G3,static,sphericity,T2,,response_state,5,0.31063463115023715,0.020631915316995406,0.29282708677876823,0.04746415625024225,0.03173416876963682,0.08723184763415892,0.08814409015653904,0.0051469655889187105,0.11644910901041053,0.012637317322076583,0.03883944583027987,0.014301511215474095,0.058691812538025245,0.015017168648562795
G3,static,sphericity,T3,,response_state,5,0.2106880158846809,0.07744499464778921,0.16411947500461935,0.0650705471000536,-0.0031349006216371267,0.04119629681196793,0.11361448679793991,0.007894649637215477,0.1406983678340697,0.008054386927158584,0.003059134247574724,0.02034089537644163,0.06488397936515136,0.058949030670908474
G4,change,ftv,,T0→T1,response_state,5,0.4113777292513343,0.059947803277955576,0.3807355889463767,0.09863460487117993,0.11624625842856909,0.06758855183009653,0.5555680605877461,0.0426852673610525,0.7500461570489252,0.11581104216860215,0.07409588035433105,0.03562798217714276,0.1221787382742989,0.05464761835538487
G4,change,ftv,,T1→T2,response_state,5,0.2654411749475903,0.05036511846744888,0.26257486019014287,0.05478376424327877,0.03964977271331012,0.05630834087357901,0.8491256434366182,0.06600336387477562,1.086201863312613,0.09812521077700626,0.028631860564400802,0.019348594217964196,0.11277809731123374,0.04131805941358007
