model,task,target,timepoint,transition,representation,metric,estimate,ci_low,ci_high,bootstrap_replicates,finite_replicates,bootstrap_unit
G0,static,ftv,T3,,response_state,pearson,0.4726171396344915,0.18808504522862124,0.7218754123030058,2000,2000,patient_within_outer_fold
G0,static,ftv,T3,,response_state,r2,0.026900661681822147,-0.03696657284553876,0.09716450474494637,2000,2000,patient_within_outer_fold
G0,static,ftv,T3,,response_state,mae,3.1439291360955517,2.0862967490431075,4.394184286279345,2000,2000,patient_within_outer_fold
G0,static,ftv,T3,,response_state,rmse,12.240578650381178,6.600680686676473,17.32159807214953,2000,2000,patient_within_outer_fold
G0,static,ftv,T3,,response_state,prediction_target_variance_ratio,0.006580867499812104,0.0028225134311444956,0.017138793988981684,2000,2000,patient_within_outer_fold
G0,static,ftv,T3,,response_state,rmse_gain_over_b0,0.036951998116242966,0.015834799265859678,0.07326341095821788,2000,2000,patient_within_outer_fold
G0,static,ld,T0,,response_state,spearman,0.40348495256781647,0.315671298877793,0.4841823039000261,2000,2000,patient_within_outer_fold
G0,static,ld,T0,,response_state,pearson,0.41547119081267603,0.3213869265056934,0.49969701343554057,2000,2000,patient_within_outer_fold
G0,static,ld,T0,,response_state,r2,0.130088780208658,0.061095080691396825,0.1912819142065089,2000,2000,patient_within_outer_fold
G0,static,ld,T0,,response_state,mae,1.4062765316777004,1.2710304095599614,1.5503026140166303,2000,2000,patient_within_outer_fold
G0,static,ld,T0,,response_state,rmse,2.0067045248505253,1.783736855986022,2.232958237104533,2000,2000,patient_within_outer_fold
G0,static,ld,T0,,response_state,prediction_target_variance_ratio,0.09114980481332426,0.07158303797215851,0.11550128607987525,2000,2000,patient_within_outer_fold
G0,static,ld,T0,,response_state,rmse_gain_over_b0,0.08659392101949082,0.055257937817288924,0.11724483302461489,2000,2000,patient_within_outer_fold
G0,static,ld,T1,,response_state,spearman,0.1984283265299763,0.1003159803685277,0.2950659425608323,2000,2000,patient_within_outer_fold
G0,static,ld,T1,,response_state,pearson,0.15154503595004964,0.05864360861143091,0.24424330803406571,2000,2000,patient_within_outer_fold
G0,static,ld,T1,,response_state,r2,-0.06003974600477191,-0.1269826890953806,0.0011423571081012667,2000,2000,patient_within_outer_fold
G0,static,ld,T1,,response_state,mae,1.4326267417945897,1.2871713008248606,1.5913543943978519,2000,2000,patient_within_outer_fold
G0,static,ld,T1,,response_state,rmse,2.1158188247300047,1.8633645168524322,2.3620683814708587,2000,2000,patient_within_outer_fold
G0,static,ld,T1,,response_state,prediction_target_variance_ratio,0.05879446707034525,0.04522776983188498,0.07706975885052188,2000,2000,patient_within_outer_fold
G0,static,ld,T1,,response_state,rmse_gain_over_b0,0.011524584455184913,-0.009046377311764133,0.033685857742188366,2000,2000,patient_within_outer_fold
G0,static,ld,T2,,response_state,spearman,0.26646619340665667,0.15975594117536218,0.3586508839763767,2000,2000,patient_within_outer_fold
G0,static,ld,T2,,response_state,pearson,0.3290423046540529,0.22469844507691733,0.4234245792419917,2000,2000,patient_within_outer_fold
G0,static,ld,T2,,response_state,r2,-0.11142206961314627,-0.2242646884323977,-0.022827602305055567,2000,2000,patient_within_outer_fold
