model,task,target,timepoint,transition,representation,n,n_patients,n_folds,spearman,pearson,r2,mae,rmse,b0_rmse,rmse_gain_over_b0,target_variance,prediction_variance,prediction_target_variance_ratio
G1,change,ftv,,T1→T2,response_state,375,375,5,0.24782569120491527,0.2684119226425085,0.07183158025545788,0.8574392622889785,1.0776434658151528,1.1219912655742514,0.03952597593208606,1.2545358537735374,0.0819260764384471,0.06530389401946578
G1,change,ftv,,T2→T3,response_state,375,375,5,0.23818159062464445,0.29057955596590884,0.08402938144805927,0.8728998806064201,1.1860064818992266,1.2415461637217322,0.0447342865254535,1.5397572143942888,0.1129375829288162,0.07334765628829587
G1,change,ld,,T0→T1,response_state,375,375,5,0.10754143011013408,0.07406363631676686,-0.0019222161356018397,0.29086271067664266,0.5807097716842848,0.5822633677113744,0.002668201561771116,0.33747680359088883,0.008652970799289905,0.025640194251038344
G1,change,ld,,T1→T2,response_state,375,375,5,0.034609958867565974,0.04731318132701575,-0.013128847379378694,0.9635220359288957,1.3542330305252035,1.351418655859226,-0.0020825335315414017,1.8150215617650214,0.05137328640546578,0.028304504744014018
G1,change,ld,,T2→T3,response_state,375,375,5,0.18614042708198178,0.07773525637081018,-0.0027709786928939995,0.9936133961775113,1.3298772790024835,1.328475342683335,-0.0010552972073361398,1.7684021788052813,0.05173511739101646,0.029255289329019205
G1,change,sphericity,,T0→T1,response_state,375,375,5,0.0061253840027306865,0.009388124763794,-0.08364534460785666,0.0544493027545768,0.07306946883535233,0.07090939853803443,-0.030462397677217253,0.004940198467491306,0.00042652625530987664,0.08633787855216918
G1,change,sphericity,,T1→T2,response_state,375,375,5,-0.029241096825577427,-0.010156770200971468,-0.022892840147268778,0.07679472775304041,0.1078230525948332,0.10717154951027219,-0.006079067509409886,0.011396008720189683,0.00022797125611011314,0.02000448242078202
G1,change,sphericity,,T2→T3,response_state,375,375,5,0.04894618272841052,0.06143493511183943,-0.012981266035159589,0.0893557132551623,0.1281544133497902,0.1276291601039124,-0.004115464251665888,0.016256437762729836,0.0005912309598362036,0.03636903536097456
G1,static,ftv,T0,,response_state,375,375,5,0.6445568324041416,0.4189828693181455,0.12490856464961753,16.998606458512143,39.91333638392638,44.60035130440287,0.1050891928739987,1825.333804041963,261.8237293559401,0.14343882131375954
G1,static,ftv,T1,,response_state,375,375,5,0.6020441460917055,0.22044571287579653,-0.015740509461953378,12.514825734343635,37.97462450632467,39.040935299528144,0.02731263441878551,1423.5209688874065,203.41314626535714,0.14289437999943233
G1,static,ftv,T2,,response_state,375,375,5,0.5256422801228808,0.09553335087401744,-0.18973788172438177,8.372387624956582,33.92556512127607,31.89590142522411,-0.06363399701401294,969.9795028937233,254.69091737638033,0.26257350450866773
G1,static,ftv,T3,,response_state,375,375,5,0.350733209166755,0.28979117758285516,0.015648122980900014,3.1657281681982896,12.31114785100903,12.7102476994274,0.03139984820566081,154.38545631958928,2.214729107381403,0.014345451703667932
G1,static,ld,T0,,response_state,375,375,5,0.3426886035196005,0.31674989107382495,0.06668903302848517,1.452409106024556,2.0785436458005933,2.1969467589818237,0.05389439352463162,4.641427736185383,0.3798163805187574,0.08183179877123636
G1,static,ld,T1,,response_state,375,375,5,0.2595133125436781,0.1948375037056897,-0.04153709279290352,1.4014170857963981,2.0972720676092775,2.140487048495622,0.020189321358761236,4.234425240641712,0.25261853451797245,0.0596582818592138
G1,static,ld,T2,,response_state,375,375,5,0.2869169703938147,0.3023309638415793,-0.1621409601281696,1.612362278651277,2.3024245700155506,2.4119305880851725,0.0454018115656299,4.573742174688057,0.2610650693620876,0.057079096151696186
G1,static,ld,T3,,response_state,375,375,5,0.23049453343928097,0.06304792418671308,-1.6031447194812927,1.522995869814521,2.8730037682420413,2.0507854155826677,-0.40092851568566745,3.179316352228164,4.986509254347414,1.5684218561178138
G1,static,sphericity,T0,,response_state,375,375,5,0.46457549209238824,0.4190409234730431,0.17442451503972622,0.06704099223569693,0.08566677458790366,0.09462372746632344,0.09465863497723193,0.00891307803133714,0.0013332750231633697,0.14958637391883706
