comparison,kind,task,target,timepoint,transition,representation,metric,estimate,ci_low,ci_high,bootstrap_replicates,finite_replicates,bootstrap_unit,n_patients,decision_point
G3-G1,probe,static,ld,T3,,response_state,rmse,-0.8616498776628605,-2.040244434440602,0.05554699155274106,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T3,,response_state,rmse_gain_over_b0,0.42015603929875284,-0.02812451204906268,1.0117482965979934,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T3,,response_state,prediction_target_variance_ratio,-1.2914935635155413,-4.12623836477567,0.22420858257536233,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T0,,response_state,spearman,0.02506610535897147,-0.031614526571689026,0.0780659120827463,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T0,,response_state,pearson,0.008741786929220174,-0.05020980002111425,0.07039804183549869,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T0,,response_state,r2,0.004883172379920198,-0.05153871896938099,0.05670792607432363,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T0,,response_state,mae,-0.00018254125531230736,-0.002689338839389135,0.0023576978051222264,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T0,,response_state,rmse,-0.00025372970546645723,-0.003028855194634078,0.0025991602669789234,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T0,,response_state,rmse_gain_over_b0,0.0026814596323819495,-0.028182652598908856,0.031052227234474337,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T0,,response_state,prediction_target_variance_ratio,0.08702847241879652,0.05309301639000241,0.12824968431886521,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T1,,response_state,spearman,0.018619183069746303,-0.045462863146625086,0.08179339336271839,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T1,,response_state,pearson,0.014651634184867812,-0.04629574457200287,0.07591067629031671,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T1,,response_state,r2,0.001958187138958012,-0.04427118250672343,0.04812007372818672,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T1,,response_state,mae,0.00031910991102759856,-0.001786936605625334,0.002551394808590487,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T1,,response_state,rmse,-9.236262262130035e-05,-0.0022167272713755496,0.002046325084783126,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T1,,response_state,rmse_gain_over_b0,0.0010097475270991543,-0.022671897039689557,0.024732941226443653,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T1,,response_state,prediction_target_variance_ratio,0.03121650276031862,0.009970952792868111,0.054932530960943624,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T2,,response_state,spearman,0.085115485265673,0.030660820235700846,0.1379394157118877,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T2,,response_state,pearson,0.08511567180384058,0.04366243096910048,0.1250937723081674,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T2,,response_state,r2,0.03780446496925127,0.01762955647309556,0.05784932052095011,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T2,,response_state,mae,-0.002313317998091244,-0.003758853102331044,-0.0008313824700146779,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T2,,response_state,rmse,-0.0023569276974331754,-0.003622597921580684,-0.0010580861441898248,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T2,,response_state,rmse_gain_over_b0,0.01930631473854726,0.008887433636804765,0.029772389771856853,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T2,,response_state,prediction_target_variance_ratio,0.029733309148678343,0.021487928018738257,0.04110070493969595,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T3,,response_state,spearman,0.0933434975537604,0.03495662951527018,0.1516116218489663,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T3,,response_state,pearson,0.060811499926871446,0.005801827639152781,0.11796289456689557,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T3,,response_state,r2,0.014770296452268239,-0.011699835948570847,0.04021780977351704,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T3,,response_state,mae,-0.001329069132214214,-0.0030093035127427355,0.00044106136079759565,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T3,,response_state,rmse,-0.001043668814002252,-0.002862654258381668,0.000812112728055722,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T3,,response_state,rmse_gain_over_b0,0.007369909886219801,-0.005817871252898865,0.020128958250431265,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,sphericity,T3,,response_state,prediction_target_variance_ratio,0.022954902452576545,0.014993670124042617,0.032655733314935494,2000,2000,patient_within_outer_fold,375,
G3-G1,pcr,,,,,,auroc,-0.00115299334811525,-0.040813838229245454,0.03699664461515238,2000,2000,patient_within_outer_fold,808,T0
G3-G1,pcr,,,,,,auprc,0.0010702630668552593,-0.035903298940173634,0.03532538237330588,2000,2000,patient_within_outer_fold,808,T0
G3-G1,pcr,,,,,,accuracy,-0.03960396039603964,-0.0767326732673268,-0.003712871287128716,2000,2000,patient_within_outer_fold,808,T0
G3-G1,pcr,,,,,,sensitivity,0.1709090909090909,0.1118341567207983,0.2346173469387755,2000,2000,patient_within_outer_fold,808,T0
G3-G1,pcr,,,,,,specificity,-0.1482176360225141,-0.19343205526190674,-0.10458369563288553,2000,2000,patient_within_outer_fold,808,T0
G3-G1,pcr,,,,,,auroc,0.0065086133378816635,-0.03113973954731647,0.04792102493630494,2000,2000,patient_within_outer_fold,808,T0-T1
G3-G1,pcr,,,,,,auprc,0.004156750614643656,-0.03321118591030532,0.04184405303863794,2000,2000,patient_within_outer_fold,808,T0-T1
G3-G1,pcr,,,,,,accuracy,0.022277227722772297,-0.013613861386138626,0.05940594059405935,2000,2000,patient_within_outer_fold,808,T0-T1
G3-G1,pcr,,,,,,sensitivity,0.043636363636363584,-0.015418060200668842,0.10624046771733593,2000,2000,patient_within_outer_fold,808,T0-T1
G3-G1,pcr,,,,,,specificity,0.011257035647279534,-0.03301292605840383,0.05512110986126739,2000,2000,patient_within_outer_fold,808,T0-T1
G3-G1,pcr,,,,,,auroc,-0.0014804707487633406,-0.038358169498253006,0.03551405200523301,2000,2000,patient_within_outer_fold,808,T0-T2
G3-G1,pcr,,,,,,auprc,0.0033213551539093,-0.02690427661118093,0.03569625622744478,2000,2000,patient_within_outer_fold,808,T0-T2
G3-G1,pcr,,,,,,accuracy,0.03712871287128716,0.0012376237623762387,0.07549504950495045,2000,2000,patient_within_outer_fold,808,T0-T2
G3-G1,pcr,,,,,,sensitivity,-0.08727272727272728,-0.14893617021276595,-0.02387945285836175,2000,2000,patient_within_outer_fold,808,T0-T2
G3-G1,pcr,,,,,,specificity,0.10131332082551597,0.057967634652822876,0.14583433301343568,2000,2000,patient_within_outer_fold,808,T0-T2
G4-G2,probe,change,ftv,,T0→T1,response_state,spearman,0.07828785982478093,0.039932568661492036,0.11851858212306246,2000,2000,patient_within_outer_fold,375,
G4-G2,probe,change,ftv,,T0→T1,response_state,pearson,0.08190993781721956,0.046060803879822525,0.11990634105463666,2000,2000,patient_within_outer_fold,375,
G4-G2,probe,change,ftv,,T0→T1,response_state,r2,0.05250850010235408,0.029959340854922994,0.07766166732590547,2000,2000,patient_within_outer_fold,375,
G4-G2,probe,change,ftv,,T0→T1,response_state,mae,-0.021682215723726306,-0.032025688770248445,-0.011086272231941717,2000,2000,patient_within_outer_fold,375,
G4-G2,probe,change,ftv,,T0→T1,response_state,rmse,-0.022745753740447183,-0.03335521173826353,-0.012905850166228208,2000,2000,patient_within_outer_fold,375,
G4-G2,probe,change,ftv,,T0→T1,response_state,rmse_gain_over_b0,0.027568974590038722,0.01547072056446461,0.04095375749014715,2000,2000,patient_within_outer_fold,375,
G4-G2,probe,change,ftv,,T0→T1,response_state,prediction_target_variance_ratio,0.027548382591073797,0.015981454710114466,0.04024728921787844,2000,2000,patient_within_outer_fold,375,
G4-G2,probe,change,ftv,,T1→T2,response_state,spearman,0.03411309591534872,-0.010401210762846308,0.07373687705318632,2000,2000,patient_within_outer_fold,375,
G4-G2,probe,change,ftv,,T1→T2,response_state,pearson,0.04935116985997717,0.005017374586493774,0.09226099052698668,2000,2000,patient_within_outer_fold,375,
G4-G2,probe,change,ftv,,T1→T2,response_state,r2,0.028460141161524732,-0.0007363490106741781,0.05684210355300778,2000,2000,patient_within_outer_fold,375,
G4-G2,probe,change,ftv,,T1→T2,response_state,mae,-0.01219169903612738,-0.025619424545819232,0.0025834339651675934,2000,2000,patient_within_outer_fold,375,
G4-G2,probe,change,ftv,,T1→T2,response_state,rmse,-0.01624900148226094,-0.032554202393512637,0.0004122066709700029,2000,2000,patient_within_outer_fold,375,
