model,task,target,timepoint,transition,representation,fold,n,n_patients,n_folds,spearman,pearson,r2,mae,rmse,b0_rmse,rmse_gain_over_b0,target_variance,prediction_variance,prediction_target_variance_ratio
G2,change,ftv,,T2→T3,response_state,2,83,83,1,0.22003694219386252,0.2565304956699147,0.04707309864343079,0.9812475804659474,1.2955465894345948,1.3446595880675725,0.03652448476090414,1.7828332427576514,0.1272769619670981,0.07139027863886394
G2,change,ld,,T0→T1,response_state,2,83,83,1,-0.0169923130871239,0.1104087052903734,-0.1095785569354275,0.27617573671275697,0.36728866647755326,0.3595757852842013,-0.02144994604477008,0.1230612266099327,0.01780363392406727,0.14467297632664972
G2,change,ld,,T1→T2,response_state,2,83,83,1,0.11660247064479787,0.053003655287269684,-0.1462803638970731,0.9172465849416005,1.2492161796713797,1.1824065273057922,-0.05650311531839949,1.377998002829351,0.25174591926651374,0.1826896111239789
G2,change,ld,,T2→T3,response_state,2,83,83,1,0.18006437882507867,0.21032838537236037,0.02209998184780193,0.7919064048287537,1.0304696654344376,1.0515416062858507,0.02003909376999475,1.099107595776249,0.07233268244450108,0.06581037445511952
G2,change,sphericity,,T0→T1,response_state,2,83,83,1,0.05220183871373997,-0.0015926680502922298,-0.05215496342372461,0.04654591954535604,0.0628057519500816,0.06154377411795904,-0.020505369555395954,0.003794751759271841,0.00018317715971574125,0.04827118381806623
G2,change,sphericity,,T1→T2,response_state,2,83,83,1,0.11928550438688551,0.16787989298996056,-0.08071128742126632,0.07711184342983186,0.10940659774819068,0.10568482436889971,-0.0352157786277799,0.011210928382875112,0.0026785986101223905,0.23892745708856694
G2,change,sphericity,,T2→T3,response_state,2,83,83,1,0.2011670374879308,0.15143127823895433,0.022721733367499386,0.09381714542325854,0.13586334843776385,0.13743371011027342,0.011426320887717785,0.01911835963896818,0.0005140233806093713,0.026886374684659573
G2,static,ftv,T0,,response_state,2,83,83,1,0.7162797531589773,0.6797454239688098,0.15063187950848478,18.701398078090968,38.40468234577864,44.382000757426226,0.134678885801412,1757.6671584101086,2691.5996219036747,1.5313477349934395
G2,static,ftv,T1,,response_state,2,83,83,1,0.45436799462658994,0.3863164894344639,0.06653918918625401,18.5533811123,48.601741969523964,53.08702422778185,0.0844892386322649,2561.3670653618387,142.30865396593845,0.0555596485526899
G2,static,ftv,T2,,response_state,2,83,83,1,0.6779102472608203,0.14728362999587633,-0.04931163961658602,14.041594316256377,48.11717655070447,48.971605967989944,0.017447445318496745,2233.366620034884,14.512284185108106,0.006497940846309162
G2,static,ftv,T3,,response_state,2,83,83,1,0.4748331304311321,0.45684770482440157,-0.03803024792032983,6.011773568132855,21.57538889810482,21.92283072852445,0.015848401820097207,453.9118245194413,0.46876058388420333,0.0010327128718897827
