model,decision_point,metric,estimate,ci_low,ci_high,bootstrap_replicates,finite_replicates,bootstrap_unit
G3,T0-T1,auprc,0.3859222749909879,0.339816504103836,0.44663104697802625,2000,2000,patient_within_outer_fold
G3,T0-T1,accuracy,0.5297029702970297,0.4975247524752475,0.5631188118811881,2000,2000,patient_within_outer_fold
G3,T0-T1,sensitivity,0.5490909090909091,0.4906916261369147,0.6063858591289654,2000,2000,patient_within_outer_fold
G3,T0-T1,specificity,0.5196998123827392,0.47808315565031984,0.5592681623931623,2000,2000,patient_within_outer_fold
G3,T0-T2,auroc,0.5397646256182842,0.49769415188746546,0.5819741045223031,2000,2000,patient_within_outer_fold
G3,T0-T2,auprc,0.37079234877266887,0.3275671088627722,0.42679087946904926,2000,2000,patient_within_outer_fold
G3,T0-T2,accuracy,0.5445544554455446,0.5099009900990099,0.5792079207920792,2000,2000,patient_within_outer_fold
G3,T0-T2,sensitivity,0.5163636363636364,0.4594515721947629,0.5745474898236093,2000,2000,patient_within_outer_fold
G3,T0-T2,specificity,0.5590994371482176,0.5196154043294777,0.5973863489603513,2000,2000,patient_within_outer_fold
G4,T0,auroc,0.49486610950025584,0.45101759125304336,0.5367428862207223,2000,2000,patient_within_outer_fold
G4,T0,auprc,0.33739871335434746,0.2971132289922568,0.3905427120108526,2000,2000,patient_within_outer_fold
G4,T0,accuracy,0.4752475247524752,0.4405631188118812,0.508694306930693,2000,2000,patient_within_outer_fold
G4,T0,sensitivity,0.5527272727272727,0.4941808680601784,0.6100403523688722,2000,2000,patient_within_outer_fold
G4,T0,specificity,0.4352720450281426,0.3931111347259331,0.4748603351955307,2000,2000,patient_within_outer_fold
G4,T0-T1,auroc,0.5547330718062425,0.5127172821421252,0.5955247873578252,2000,2000,patient_within_outer_fold
G4,T0-T1,auprc,0.3914823334624792,0.34257608445598015,0.45011634240733367,2000,2000,patient_within_outer_fold
G4,T0-T1,accuracy,0.5643564356435643,0.5296720297029703,0.6002475247524752,2000,2000,patient_within_outer_fold
G4,T0-T1,sensitivity,0.36727272727272725,0.3082133184020001,0.42425144300144296,2000,2000,patient_within_outer_fold
G4,T0-T1,specificity,0.6660412757973734,0.6261570129334314,0.7070543575592233,2000,2000,patient_within_outer_fold
G4,T0-T2,auroc,0.5783182670987549,0.5370473997733793,0.6218406539763165,2000,2000,patient_within_outer_fold
G4,T0-T2,auprc,0.40174792540988985,0.35478249966412706,0.4636288560255163,2000,2000,patient_within_outer_fold
G4,T0-T2,accuracy,0.5346534653465347,0.5012376237623762,0.5693069306930693,2000,2000,patient_within_outer_fold
G4,T0-T2,sensitivity,0.5890909090909091,0.5312321087786259,0.6428571428571429,2000,2000,patient_within_outer_fold
G4,T0-T2,specificity,0.5065666041275797,0.46614847479282384,0.54930124435936,2000,2000,patient_within_outer_fold
