target,model,spatial,timing,analysis_population,split_seed,fold_manifest_sha256,aggregation,n,positive,n_folds,ece_bin_contract,auroc,auprc,brier,calibration_slope,calibration_intercept,ece_10bin
pCR,LOCAL0_mri_clinical_paired,LOCAL,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.6389365351629502,0.4432097004780435,0.24739920025295592,3.363336028718651,0.9788810116525513,0.21089420295147676
pCR,LOCAL0_mri_clinical_paired,LOCAL,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.653270923860948,0.5020077515244067,0.24593011248415703,0.9641642570304919,-1.6366963630484144,0.21917964457727196
pCR,LOCAL0_mri_clinical_paired,LOCAL,T0-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.606861063464837,0.40085243449341046,0.2777260958408237,2.2164746165039277,-4.831996009538955,0.24071833213380694
pCR,LOCAL0_mri_clinical_paired,LOCAL,T0-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.6157916258319611,0.42233573702362825,0.27817389870693393,1.1778416125924216,-1.9675743527198644,0.24908378231752387
pCR,LOCAL0_mri_ftv,LOCAL,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.49777015437392796,0.30318022032112085,0.2964075027341451,2.7116847364492345,3.1382152545475477,0.2542885089920191
pCR,LOCAL0_mri_ftv,LOCAL,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.5040375521449281,0.32836366029595504,0.2916323955623707,0.8333271168814878,-1.4992019407203698,0.25409177308703434
pCR,LOCAL0_mri_ftv,LOCAL,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.5191595197255575,0.3237451654798514,0.27715167021768455,1.2931654914491837,1.9385616433015276,0.23662352648045762
pCR,LOCAL0_mri_ftv,LOCAL,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.5208727463766516,0.35511706995524517,0.2788899230632051,0.39609610428057007,0.6347695256581913,0.2534024572948515
pCR,LOCAL0_mri_ftv,LOCAL,T0-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.5445969125214408,0.3114871839821648,0.3513944424097705,1.0,-0.8792494601938063,0.3285415509908184
pCR,LOCAL0_mri_ftv,LOCAL,T0-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.5681353075179398,0.35774111126541885,0.35103099454570386,1.9813990458805528,-1.1654433836346911,0.33762153855872057
pCR,LOCAL0_mri_only,LOCAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,275,5,"10_equal_width_bins_[0,1]",0.5096912843254306,0.35796719812789596,0.28899231245282836,0.04083693151652798,-0.6577274253629979,0.213335458959677
pCR,LOCAL0_mri_only,LOCAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,275,5,"10_equal_width_bins_[0,1]",0.5149821259678429,0.3685098072031478,0.28898065157531,0.3637413941338439,0.25100243010591095,0.2198832029108894
pCR,LOCAL0_mri_only,LOCAL,T0-T1,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,275,5,"10_equal_width_bins_[0,1]",0.5601228040252431,0.39551764185779326,0.2646201012031796,0.13631959078690875,-0.6470115124419903,0.18130069387492542
pCR,LOCAL0_mri_only,LOCAL,T0-T1,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,275,5,"10_equal_width_bins_[0,1]",0.5595155576217118,0.40291125852205506,0.26458874574184327,0.938455163552368,-0.7933553046784843,0.18561628574648104
pCR,LOCAL0_mri_only,LOCAL,T0-T2,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,275,5,"10_equal_width_bins_[0,1]",0.5469827733242367,0.3716478189876023,0.2721140626243735,0.09408562593411553,-0.6424789952786432,0.1863096439477219
pCR,LOCAL0_mri_only,LOCAL,T0-T2,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,275,5,"10_equal_width_bins_[0,1]",0.5522473188951764,0.3980767356650153,0.2721479819271539,0.9490331834295045,-0.6480049770034819,0.18847449596945987
pCR,LOCAL0_mri_only_paired,LOCAL,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.5024356775300172,0.3044507774010945,0.2960296858018034,2.697693123350435,2.9967787134478177,0.2571970539871559
