target,model,spatial,task,endpoint,analysis_population,split_seed,fold_manifest_sha256,aggregation,n,n_folds,spearman,pearson,r2,rmse,mae,b0_rmse,rmse_gain_over_b0,calibration_slope,calibration_intercept,calibration_mean_bias
FTV,dino_vitb16_imagenet1k,LOCAL,static,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.8342562293776311,0.7928176835664668,0.623394590936003,26.183915591937346,10.54884078265556,42.77656700591202,0.3878911417010499,0.6202619284153386,7.8233006069158435,-3.033778029696835
FTV,dino_vitb16_imagenet1k,LOCAL,static,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.818514372170896,0.8021060359456025,0.6611087685152119,23.131971016794132,10.563537908638057,41.82120336681659,0.45994451036863915,0.6690251331395799,6.726958758583135,-3.028142760858143
FTV,dino_vitb16_imagenet1k,LOCAL,static,T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.7255551257253384,0.6296511616694976,0.32290972459684186,31.004546962015667,9.618428846824417,37.95576601319648,0.1831400016736327,0.24946417132792167,7.981266665560563,-5.200380743796484
FTV,dino_vitb16_imagenet1k,LOCAL,static,T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.7171449780754368,0.6900368174454485,0.42961256347502735,26.111432031234944,9.518841539912811,33.934864367476976,0.2873250819479647,0.4277994188385941,5.827081047652959,-5.083832554568689
FTV,dino_vitb16_imagenet1k,LOCAL,static,T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.576347693905938,0.5999426578291318,0.15460241159357946,28.59775545382094,6.954511236305242,31.345565059981617,0.08766183033876011,0.1046388307066277,3.1937274716439683,-4.843952704273681
FTV,dino_vitb16_imagenet1k,LOCAL,static,T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.5745371962690847,0.5898378191821149,0.22566854318646695,22.79997848879863,6.841334587194467,25.99578169892136,0.1897029983196177,0.18278611137306194,2.852467840962084,-4.7182747172151425
FTV,dino_vitb16_imagenet1k,LOCAL,static,T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.37324665639088256,0.47900437632578746,0.11293631335016052,11.686938553894745,3.1685339288877175,12.477635535818399,0.06336913589548862,0.08025343601845064,1.5457714994078195,-1.7327768755569524
FTV,dino_vitb16_imagenet1k,LOCAL,static,T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.3746752742076784,0.5509654072626055,0.18377624408314727,9.202018241205582,3.0766882628792347,10.294290046637563,0.15221570943145518,0.15278548164876474,1.3966368585837259,-1.660513946888822
FTV,medicalnet_resnet50_3dseg8,GLOBAL,delta,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.23731368756400048,0.02212345516970119,-8.559987315116764,78.32231397929476,25.155600838771253,25.477864188497076,-2.074131858142813,0.06513528035106259,-14.075689267298008,-3.7660154516886664
FTV,medicalnet_resnet50_3dseg8,GLOBAL,delta,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.2153828501770791,0.0628331253327434,-11.00448955700455,64.07652038909694,25.017275790638138,24.445499639427307,-1.8030020700604599,0.05455547978854118,-14.435846152819641,-3.82722962465595
FTV,medicalnet_resnet50_3dseg8,GLOBAL,delta,T1-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.32708795084765047,0.028945402474610436,-10.683688416527753,58.769175276063216,16.914674649608987,17.219808801872187,-2.4128819868007865,0.09521385296639669,-11.755356443924082,-3.986901879569369
FTV,medicalnet_resnet50_3dseg8,GLOBAL,delta,T1-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.3489588461432451,0.13998839941643945,-12.032495891508685,46.66510188720439,16.726165683340582,16.60517378340784,-1.894100089902966,-0.03645649834529793,-12.083918910081048,-3.5903150841855918
FTV,medicalnet_resnet50_3dseg8,GLOBAL,delta,T2-T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.20730003413357606,0.07740915557189153,-5.920406073810228,72.05303719576354,22.548396258448676,27.537956917151757,-1.6164990167039581,0.194397495782856,-5.751721795997682,-1.3914754637173643
FTV,medicalnet_resnet50_3dseg8,GLOBAL,delta,T2-T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.198101492192909,0.08476985503606012,-10.57473362388598,54.319073887164336,22.024780979998447,22.944585785259125,-1.7199010954304181,0.18431345373302363,-5.851365645057184,-1.5211551163237196
FTV,medicalnet_resnet50_3dseg8,GLOBAL,static,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.5151529563521703,0.1484242260234331,-1.1156688230646745,62.06048406763006,23.63931686135527,42.77656700591202,-0.45080562587111916,0.1803302032976555,22.847221732991144,-0.5879302961875505
FTV,medicalnet_resnet50_3dseg8,GLOBAL,static,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.5251982525376527,0.3316836692678967,-0.8067708130653741,54.493274285333555,23.613023789739117,41.82120336681659,-0.23746676169049322,0.23238393777666247,21.87782603035211,-0.40173728773605183
FTV,medicalnet_resnet50_3dseg8,GLOBAL,static,T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.4968336549854845,0.06938351875607023,-1.0867082901546805,54.42932799175836,16.43385181188212,37.95576601319648,-0.4340200108946384,0.07706283050713973,13.00664211091693,-3.2028869808119373
FTV,medicalnet_resnet50_3dseg8,GLOBAL,static,T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.48692719173177884,0.2837458416834654,-3.192439877079301,47.48346715810253,16.19018889699672,33.934864367476976,-0.5425193815065762,0.25579746656020436,11.010787622522695,-3.067262022015345
FTV,medicalnet_resnet50_3dseg8,GLOBAL,static,T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.2531299158843584,0.01614948418536921,-0.9736352069018364,43.69531632062147,12.04004202243932,31.345565059981617,-0.39398719522228637,0.016179207465555154,7.337154632958991,-1.4946298491070353
FTV,medicalnet_resnet50_3dseg8,GLOBAL,static,T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.21885279211806882,0.024733516667447004,-1.2459298064062465,34.36137881916141,11.628660099915823,25.99578169892136,-0.3159435909834805,0.005510222808460051,7.115742242128412,-1.7009433535300509
FTV,medicalnet_resnet50_3dseg8,GLOBAL,static,T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.13527573213034325,0.010579227083286864,-1.7356635496046051,20.523654832121416,5.22451113268749,12.477635535818399,-0.6448352553018599,0.014049774333347297,3.437735684939902,-0.07680368573438696
FTV,medicalnet_resnet50_3dseg8,GLOBAL,static,T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.11669921151761779,0.10645341894708708,-13.070029734586303,19.2102377988298,5.182503349347149,10.294290046637563,-1.542653141162734,0.011108080570842843,3.4344845814769274,0.033388333056863305
FTV,medicalnet_resnet50_3dseg8,LOCAL,delta,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.1402207304585277,0.00928687670684921,-516.7919771439731,576.4139866844362,90.31904796776179,25.477864188497076,-21.624109400217293,0.21120118480259845,-5.068170569995916,3.6306906875752976
