kind,seed_base,model,fold,cells,test_once,source_feature_sha256,source_checkpoint_sha256
pcr_selection,4026,G3,4,3,True,7b9576db8c1f81bde654ceb560e79bd49b725212c6de0b7b345d09829aa4bf2c,30be1dbf094ad9f5b94d3892160362ec6ba9f54618d617559374be12d34862b9
probe_selection,5026,G1,0,7,True,568b7359736b41ec805e44f31755d68a9fc56f696dc116c00835671e01c0d1ba,3cffbfab5a7088976e149a4e3400538514b8788f78eb8d820de79f41a5532380
pcr_selection,5026,G1,0,3,True,568b7359736b41ec805e44f31755d68a9fc56f696dc116c00835671e01c0d1ba,3cffbfab5a7088976e149a4e3400538514b8788f78eb8d820de79f41a5532380
probe_selection,5026,G1,1,7,True,69cf22dbc79f2905048e54c97adbdd0c35eab64708bd0a8da12f602e3a177ca7,bfb98bc8d7d69ff5b5485d1eb4e1edd0280f33abcac0139dd65f87c6e38554f2
pcr_selection,5026,G1,1,3,True,69cf22dbc79f2905048e54c97adbdd0c35eab64708bd0a8da12f602e3a177ca7,bfb98bc8d7d69ff5b5485d1eb4e1edd0280f33abcac0139dd65f87c6e38554f2
probe_selection,5026,G1,2,7,True,519b48ca563414469daa7ba5c622cdd5f35c8a7862a7b00101609a18553c15f7,71054e28d6fb416f44cae8e7dfdae48bab974b89606a4eb9d4a9a052db661148
pcr_selection,5026,G1,2,3,True,519b48ca563414469daa7ba5c622cdd5f35c8a7862a7b00101609a18553c15f7,71054e28d6fb416f44cae8e7dfdae48bab974b89606a4eb9d4a9a052db661148
probe_selection,5026,G1,3,7,True,4e03682860c72bf2423420d73862e17d2a5991bb5ee0398b634290f6e2a391bb,11236b31bd42ae623cc7521d99d5ffd96761e76cfa012651fcc5ca90c1b13543
pcr_selection,5026,G1,3,3,True,4e03682860c72bf2423420d73862e17d2a5991bb5ee0398b634290f6e2a391bb,11236b31bd42ae623cc7521d99d5ffd96761e76cfa012651fcc5ca90c1b13543
probe_selection,5026,G1,4,7,True,27bafd5830704aa90b1ebe075a09a4a422ea4de3d41d0c7bf9573e5ad3ed3d1a,b356d42b13ef8557bfd83bd3fefd251b7040f8b00549537db833f703828d3b7c
pcr_selection,5026,G1,4,3,True,27bafd5830704aa90b1ebe075a09a4a422ea4de3d41d0c7bf9573e5ad3ed3d1a,b356d42b13ef8557bfd83bd3fefd251b7040f8b00549537db833f703828d3b7c
probe_selection,5026,G3,0,7,True,0a5dd70ae5fa3c00603607904e399f613e7c7d59ee5e6d5a0b19fbb3fbd58d24,fbe2aba856d5a89e8e99f11f1ce7944631bb5751f3486dfb682f57f73b3e0eb4
pcr_selection,5026,G3,0,3,True,0a5dd70ae5fa3c00603607904e399f613e7c7d59ee5e6d5a0b19fbb3fbd58d24,fbe2aba856d5a89e8e99f11f1ce7944631bb5751f3486dfb682f57f73b3e0eb4
probe_selection,5026,G3,1,7,True,7c2d818431a88654ede530164aa8d892dd294c3693da384fb23ee485eae91ce6,c0b6f3858562934de6f7621fa2224fd1a571dfe9009c5ebe3a0819b87a92f002
pcr_selection,5026,G3,1,3,True,7c2d818431a88654ede530164aa8d892dd294c3693da384fb23ee485eae91ce6,c0b6f3858562934de6f7621fa2224fd1a571dfe9009c5ebe3a0819b87a92f002
probe_selection,5026,G3,2,7,True,794488b6cee6f76c0a891ad8c17123fc72e0a427f9de7a71a15c9b381150ee4f,d724160ceb32a8eb51087e9968e33c90513ae716cacd8af51ba896ec7082e4de
pcr_selection,5026,G3,2,3,True,794488b6cee6f76c0a891ad8c17123fc72e0a427f9de7a71a15c9b381150ee4f,d724160ceb32a8eb51087e9968e33c90513ae716cacd8af51ba896ec7082e4de
probe_selection,5026,G3,3,7,True,a4ef2a914ed0800b3acbdc35ebaf933d1fd4304163701e7f88e3a0a0d4221691,5d567e15c783e2b21996f8ebf46d83986bb8ed30f7459b3326c122ae1997fddd
pcr_selection,5026,G3,3,3,True,a4ef2a914ed0800b3acbdc35ebaf933d1fd4304163701e7f88e3a0a0d4221691,5d567e15c783e2b21996f8ebf46d83986bb8ed30f7459b3326c122ae1997fddd
probe_selection,5026,G3,4,7,True,926ae686581065774578cf66a6f7c476fea812fb4de5fec6e981d2e1bfc76cb0,ef98004005f7e4b6bbd2e88a2114a2cad925be4e6c66d5c656f1267142b71fb1
