protocol,population,scenario,view,timing,timing_label,model_type,model,fold,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,F,0,69,20,49,0.6663265306122449,0.44286527697848693,0.5821428571428572,0.19178356280733713
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,F,1,67,20,47,0.7840425531914894,0.5448510415164115,0.7303191489361702,0.17222395883532368
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,F,2,83,24,59,0.7492937853107344,0.5735816335386554,0.6716101694915254,0.18558665135523184
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,F,3,72,23,49,0.6450754214729371,0.42209828990991455,0.6206743566992015,0.2188683222747313
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,F,4,84,23,61,0.7619387027797576,0.5214597407324139,0.7002851033499644,0.1702369405816121
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,FULL,0,69,20,49,0.6744897959183673,0.41752881423983096,0.6219387755102042,0.20696360787595788
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,FULL,1,67,20,47,0.851063829787234,0.6409799188674207,0.8398936170212765,0.1589157454526798
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,FULL,2,83,24,59,0.8262711864406779,0.7101255236182131,0.6867937853107344,0.16260060645742988
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,FULL,3,72,23,49,0.7728482697426796,0.6632438587593676,0.7062999112688553,0.18268519626360025
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,FULL,4,84,23,61,0.83464005702067,0.6962266426045062,0.7280826799714897,0.15745609097966196
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,N,0,69,20,49,0.6561224489795919,0.44447371176429423,0.5683673469387756,0.19588349841571612
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,N,1,67,20,47,0.7978723404255319,0.5936994273967082,0.7686170212765957,0.1691447706371064
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,N,2,83,24,59,0.8107344632768362,0.7186042742286579,0.7108050847457628,0.20433950158440617
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,N,3,72,23,49,0.7604259094942325,0.61724653526096,0.6818988464951198,0.21821466092078973
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T2,T2,logistic,N,4,84,23,61,0.7704918032786885,0.661474710922809,0.6981468282252317,0.15646220611429107
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C,0,69,20,49,0.6724489795918368,0.5103028691021548,0.5438775510204081,0.1906445230215775
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C,1,67,20,47,0.7574468085106383,0.537995652556363,0.5898936170212765,0.19814563353685835
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C,2,83,24,59,0.6483050847457626,0.48743554652994403,0.6345338983050848,0.1921075681020469
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C,3,72,23,49,0.7400177462289264,0.6132980714082653,0.7138420585625554,0.18563086424984737
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C,4,84,23,61,0.7997148966500357,0.5624589646442884,0.7736992159657876,0.16263980352194368
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+F,0,69,20,49,0.7326530612244898,0.5393583228169909,0.6525510204081633,0.18337347053716105
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+F,1,67,20,47,0.8244680851063829,0.686407503321539,0.7654255319148936,0.17507225908765758
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+F,2,83,24,59,0.8015536723163842,0.6090027026563496,0.7655367231638418,0.16116553262513303
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+F,3,72,23,49,0.7249334516415262,0.6032480204007679,0.6153504880212954,0.19503299205816602
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+F,4,84,23,61,0.8717034925160371,0.7131076198553128,0.8253741981468282,0.13710620487970285
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+FULL,0,69,20,49,0.7469387755102042,0.5962732762645289,0.6867346938775509,0.17223938341760747
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+FULL,1,67,20,47,0.8936170212765956,0.752716419969535,0.8579787234042553,0.13624397704223595
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+FULL,2,83,24,59,0.807909604519774,0.7606699489116014,0.625,0.14358507487513428
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+FULL,3,72,23,49,0.8349600709849156,0.7336492466440037,0.7457852706299911,0.1642758570798788
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+FULL,4,84,23,61,0.8018531717747683,0.6515681121503193,0.7469707769066287,0.19715182076605528
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+N,0,69,20,49,0.7581632653061224,0.6601850280688608,0.7683673469387755,0.16037265441387602
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+N,1,67,20,47,0.8723404255319148,0.7007234821179329,0.7973404255319149,0.14556573299246825
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+N,2,83,24,59,0.7916666666666666,0.7208909643229428,0.6860875706214689,0.15245390691431196
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+N,3,72,23,49,0.8278615794143744,0.7509511959912922,0.7151730257320319,0.16567028368554934
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+N,4,84,23,61,0.7804704205274412,0.6196686367365362,0.7441197434069851,0.19772910260059873
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,F,0,69,20,49,0.6326530612244898,0.3629341413579718,0.6061224489795918,0.20455454521807376
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,F,1,67,20,47,0.7340425531914894,0.5367807172769348,0.6398936170212766,0.2088254776339518
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,F,2,83,24,59,0.7344632768361582,0.5644595887597488,0.6430084745762712,0.17863809634234884
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,F,3,72,23,49,0.6583850931677019,0.41979210982014936,0.5989352262644188,0.21545836935610818
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,F,4,84,23,61,0.7683535281539559,0.4963860068451651,0.7166785459729152,0.17159897827772572
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,FULL,0,69,20,49,0.6846938775510204,0.4507981516904986,0.661734693877551,0.18973653413284644
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,FULL,1,67,20,47,0.8702127659574468,0.6694021283998731,0.7622340425531915,0.18817894669083982
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,FULL,2,83,24,59,0.806497175141243,0.7026088437727538,0.682909604519774,0.1593536244798176
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,FULL,3,72,23,49,0.8154392191659272,0.7025560768658814,0.6960958296362023,0.17144048253905173
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,FULL,4,84,23,61,0.7811831789023521,0.6298826925073439,0.7195295794725588,0.19733656113693768
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,N,0,69,20,49,0.7091836734693878,0.47016045638003606,0.7173469387755103,0.1978512443757063
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,N,1,67,20,47,0.8680851063829786,0.6613790488414643,0.7867021276595745,0.1524344742329896
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,N,2,83,24,59,0.713276836158192,0.47130696095113783,0.623587570621469,0.1961232750692911
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,N,3,72,23,49,0.813664596273292,0.685830819835384,0.6641526175687666,0.21747750380012823
locked_mri_manifest_375,mri_matched_375,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,N,4,84,23,61,0.7526728439059158,0.6148911100041622,0.7523164647184604,0.18767309206455854
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C,0,77,23,54,0.7415458937198068,0.5273242826612885,0.6662640901771336,0.18412422990708646
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C,1,77,22,55,0.7644628099173554,0.6562173728190801,0.6545454545454545,0.1607975099648119
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C,2,77,23,54,0.7302737520128825,0.6414738273502397,0.6469404186795491,0.17373344652707662
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C,3,77,22,55,0.7545454545454545,0.5823571039930615,0.6545454545454545,0.19062791954412686
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C,4,76,23,53,0.7284659557013946,0.6153820094946155,0.6337161607875308,0.20940011417921478
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+F,0,77,23,54,0.7238325281803543,0.5268438150942184,0.6380837359098228,0.18738494358816016
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+F,1,77,22,55,0.7636363636363637,0.6542056708759749,0.6681818181818182,0.1612557760113894
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+F,2,77,23,54,0.7310789049919485,0.6475010328752001,0.6252012882447665,0.17430209454231152
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+F,3,77,22,55,0.7396694214876032,0.5511183751235615,0.6681818181818182,0.2024479922674946
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+F,4,76,23,53,0.7473338802296965,0.6466428984545325,0.6874487284659556,0.19730921001067284
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T0,T0,logistic,C+F+B,0,77,23,54,0.7101449275362319,0.5092627896901832,0.6163446054750403,0.18439368290963762
