protocol,population,view,timing,timing_label,feature_set,model_type,target,n,n_positive,auroc,auprc,balanced_accuracy,brier
primary_stratified_384,clinical_radiomics_complete_384,static,T0,T0,FULL,rbf_svm,subtype,384,,0.511736254591716,0.26723132552485757,0.2556116722783389,0.6731997609713675
primary_stratified_384,clinical_radiomics_complete_384,static,T0,T0,N,logistic,HER2,384,90.0,0.4825774754346183,0.23486566512901255,0.5307256235827664,0.1832820059053303
primary_stratified_384,clinical_radiomics_complete_384,static,T0,T0,N,logistic,HR,384,222.0,0.48615281948615285,0.5742198639133356,0.49324324324324326,0.24548005896476346
primary_stratified_384,clinical_radiomics_complete_384,static,T0,T0,N,logistic,subtype,384,,0.4678874040750217,0.2604693689843023,0.2521324354657688,0.6765180824767715
primary_stratified_384,clinical_radiomics_complete_384,static,T0,T0,N,rbf_svm,HER2,384,90.0,0.5117913832199547,0.2327406459124417,0.4937641723356009,0.17991661768948575
primary_stratified_384,clinical_radiomics_complete_384,static,T0,T0,N,rbf_svm,HR,384,222.0,0.4769908797686575,0.5544710139423071,0.4665498832165499,0.24762779910618193
primary_stratified_384,clinical_radiomics_complete_384,static,T0,T0,N,rbf_svm,subtype,384,,0.48324258449023044,0.262992920827478,0.2588383838383838,0.6758416422026966
primary_stratified_384,clinical_radiomics_complete_384,static,T1,T1,FULL,logistic,HER2,384,90.0,0.617233560090703,0.35192458964578827,0.5892290249433106,0.17230457518084666
primary_stratified_384,clinical_radiomics_complete_384,static,T1,T1,FULL,logistic,HR,384,222.0,0.581081081081081,0.6485433964878019,0.5403737070403737,0.23795241466737527
primary_stratified_384,clinical_radiomics_complete_384,static,T1,T1,FULL,logistic,subtype,384,,0.5975901840249769,0.33001024714577587,0.27048260381593714,0.6606052743226409
primary_stratified_384,clinical_radiomics_complete_384,static,T1,T1,FULL,rbf_svm,HER2,384,90.0,0.4920634920634921,0.24445200841618225,0.5054421768707483,0.17963642708006536
primary_stratified_384,clinical_radiomics_complete_384,static,T1,T1,FULL,rbf_svm,HR,384,222.0,0.581081081081081,0.6724744382495186,0.5585585585585585,0.23992931237308354
