protocol,population,scenario,view,timing,timing_label,model_type,model,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+F,384,113,271,0.7576658067465629,0.5846979296182974,0.7082584985141887,0.17405145292951496
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+FULL,384,113,271,0.8016523528067138,0.6505370142074276,0.7108219312281618,0.15845745462318742
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,C+N,384,113,271,0.7582536002351173,0.5631327205584251,0.7144956405316265,0.17890332774028953
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,F,384,113,271,0.6717499918362015,0.42254115374821166,0.6499363223720733,0.19762211566081747
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,FULL,384,113,271,0.7675276752767528,0.5671229651785307,0.6912614701368253,0.18041069537473234
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),logistic,N,384,113,271,0.7499918362015479,0.5455709262393652,0.685334552460569,0.18520939791507196
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),rbf_svm,C,384,113,271,0.7080625673513372,0.5262909378074971,0.6263919276360905,0.18321838917943892
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),rbf_svm,C+F,384,113,271,0.7978970055187277,0.6500087737193355,0.7285373738693139,0.15439081696261095
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),rbf_svm,C+FULL,384,113,271,0.8058322176142115,0.6560268692305838,0.723720732782549,0.15428363372260878
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),rbf_svm,C+N,384,113,271,0.7840838585377005,0.6763448190739769,0.6831466544753944,0.15689820599170745
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),rbf_svm,F,384,113,271,0.6185546811220325,0.4043232711364943,0.6108317277863045,0.2021492620367701
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),rbf_svm,FULL,384,113,271,0.7394768637951865,0.5159268833549724,0.6713418019135944,0.18157098694760465
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),rbf_svm,N,384,113,271,0.7483917317049277,0.553526671491406,0.6942167651765013,0.17318124980649516
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T0,T0,logistic,C,384,113,271,0.7019887013029422,0.537629741038823,0.6510139437677562,0.18366981207093533
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T0,T0,logistic,C+F,384,113,271,0.6999640792868106,0.5362409397334289,0.6569408614440126,0.1845067501414889
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T0,T0,logistic,C+FULL,384,113,271,0.7024132188224538,0.5402656797391855,0.6857264147862717,0.18220693934018295
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T0,T0,logistic,C+N,384,113,271,0.690396107500898,0.515380785824076,0.6776115991248408,0.18928515475905214
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T0,T0,logistic,F,384,113,271,0.47301048231721254,0.2751905489048604,0.4657610292917088,0.2077187639709939
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T0,T0,logistic,FULL,384,113,271,0.6029781536753421,0.38159308091399924,0.5459458576886653,0.20392576492858305
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T0,T0,logistic,N,384,113,271,0.6065049146066681,0.38754465702467034,0.5868628155308102,0.20338862595207527
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T0,T0,rbf_svm,C,384,113,271,0.7080625673513372,0.5262909378074971,0.6263919276360905,0.18321838917943892
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T0,T0,rbf_svm,C+F,384,113,271,0.7244228194494333,0.5129597553918616,0.6753910459458576,0.18174338653638814
