protocol,population,scenario,view,timing,timing_label,model,logistic_auroc,svm_auroc,logistic_auprc,svm_auprc,logistic_balanced_accuracy,svm_balanced_accuracy,logistic_brier,svm_brier,delta_svm_minus_lr,delta_svm_minus_lr_auprc,delta_svm_minus_lr_balanced_accuracy,delta_svm_minus_lr_brier
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T2,T2,N,0.702315253241028,0.7107566208405447,0.5204148603433539,0.48966242196303694,0.6938249028507985,0.6495607876432746,0.18968692671321705,0.1864444330536185,0.008441367599516747,-0.030752438380316993,-0.044264115207523824,-0.0032424936595985554
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),C,0.7019887013029422,0.7080625673513372,0.537629741038823,0.5262909378074971,0.6510139437677562,0.6263919276360905,0.18366981207093533,0.18321838917943892,0.0060738660483949936,-0.011338803231325856,-0.024622016131665703,-0.00045142289149641135
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),C+F,0.7576658067465629,0.7978970055187277,0.5846979296182974,0.6500087737193355,0.7082584985141887,0.7285373738693139,0.17405145292951496,0.15439081696261095,0.040231198772164745,0.06531084410103816,0.020278875355125292,-0.01966063596690401
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),C+FULL,0.8016523528067138,0.8058322176142115,0.6505370142074276,0.6560268692305838,0.7108219312281618,0.723720732782549,0.15845745462318742,0.15428363372260878,0.0041798648074977685,0.005489855023156243,0.012898801554387163,-0.004173820900578634
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),C+N,0.7582536002351173,0.7840838585377005,0.5631327205584251,0.6763448190739769,0.7144956405316265,0.6831466544753944,0.17890332774028953,0.15689820599170745,0.02583025830258312,0.1132120985155518,-0.03134898605623215,-0.022005121748582074
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),F,0.6717499918362015,0.6185546811220325,0.42254115374821166,0.4043232711364943,0.6499363223720733,0.6108317277863045,0.19762211566081747,0.2021492620367701,-0.05319531071416905,-0.018217882611717362,-0.03910459458576887,0.00452714637595264
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),FULL,0.7675276752767528,0.7394768637951865,0.5671229651785307,0.5159268833549724,0.6912614701368253,0.6713418019135944,0.18041069537473234,0.18157098694760465,-0.028050811481566296,-0.05119608182355828,-0.01991966822323088,0.0011602915728723129
primary_stratified_384,clinical_radiomics_complete_384,complete_case,longitudinal,T3,T3 (late/pre-surgery),N,0.7499918362015479,0.7483917317049277,0.5455709262393652,0.553526671491406,0.685334552460569,0.6942167651765013,0.18520939791507196,0.17318124980649516,-0.0016001044966201805,0.007955745252040791,0.00888221271593237,-0.012028148108576803
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,C,0.7019887013029422,0.7080625673513372,0.537629741038823,0.5262909378074971,0.6510139437677562,0.6263919276360905,0.18366981207093533,0.18321838917943892,0.0060738660483949936,-0.011338803231325856,-0.024622016131665703,-0.00045142289149641135
primary_stratified_384,clinical_radiomics_complete_384,complete_case,static,T0,T0,C+F,0.6999640792868106,0.7244228194494333,0.5362409397334289,0.5129597553918616,0.6569408614440126,0.6753910459458576,0.18450675014148835,0.18174338653638814,0.024458740162622727,-0.02328118434156734,0.01845018450184499,-0.002763363605100211
