stage,analysis_role,seed_base,arm,pooling,endpoint,analysis_scope,availability,status_reason,feature_dim,aggregation,n_test,spearman,pearson,natural_r2,rmse,mae,b0_rmse,rmse_gain_over_b0,prediction_target_variance_ratio,calibration_slope,calibration_intercept,calibration_mean_bias,transformed_scale,transformed_fold_count,transformed_spearman_fold_mean,transformed_spearman_fold_sd,transformed_r2_fold_mean,transformed_r2_fold_sd,transformed_rmse_fold_mean,transformed_mae_fold_mean
final,primary,2026,L3,PLOCAL,T0→T1,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.3827211286835818,0.22122763150274688,0.04530628665490788,24.750779622152116,12.851655818085248,25.477864188497076,0.028537893167404082,0.07919346861321251,0.0622564069500418,-10.249883086628362,0.09153890077219361,standardized_outer_train,5.0,0.4196325361023023,0.11358429306248861,0.030745933026804062,0.07025675912717956,0.9136182051673929,0.48399493651945047
final,primary,2026,L3,PLOCAL,T1→T2,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.3192843326885881,0.26841557182254416,0.06675641580505653,16.609521432187226,9.331592576036707,17.219808801872187,0.03544100731354283,0.1157878966578403,0.09133543252471932,-7.995171728927616,-0.19341721509708884,standardized_outer_train,5.0,0.3224584114967663,0.08950945259246472,0.05598917760203979,0.022389994481513444,0.8873632636986185,0.5105157245888388
final,primary,2026,L3,PLOCAL,T2→T3,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.20423552167482079,0.05413625551064483,-0.007895226500243213,27.4975624387278,8.74364343495821,27.537956917151757,0.0014668654811786812,0.02486731606646572,0.008536948675098074,-5.64255987999834,-0.276361152336966,standardized_outer_train,5.0,0.20521415872533932,0.1982154935034823,-0.10424267766224145,0.12814004823338468,0.8608824673048676,0.3119059327142634
final,primary,2026,L3,PLOCAL,macro,primary_measurement_valid,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,1125.0,0.30208032768233023,0.18125981961197865,0.034722491986573734,22.952621164355715,10.30896394302672,23.41187663584034,0.02181525532070853,0.07328289377917284,0.0540429293832864,-7.96253823185144,-0.12607982222062042,standardized_outer_train,5.0,0.31576836877480263,0.07753304306653015,-0.0058358556777992395,0.04180730972373926,0.8872879787236263,0.43547219794085096
final,primary,2026,L3,PLOCAL+GLOBAL,T0→T1,primary_measurement_valid,AVAILABLE,,384.0,pooled_outer_test_folds,375.0,0.3914445329389009,0.22934487912450824,0.04355424446791256,24.77348037540412,12.877962732741722,25.477864188497076,0.027646894099191275,0.10511295466333749,0.07435619702899597,-10.037690766715155,0.17029492094119103,standardized_outer_train,5.0,0.416086914110177,0.09861850110057518,0.02169399728781982,0.09631686117045167,0.9157415530539337,0.4854753428370149
final,primary,2026,L3,PLOCAL+GLOBAL,T1→T2,primary_measurement_valid,AVAILABLE,,384.0,pooled_outer_test_folds,375.0,0.33129070428945273,0.2806789924853565,0.06628899916198139,16.613680365089003,9.365777790462966,17.219808801872187,0.03519948704176575,0.15383375849484374,0.11008692333362098,-7.763646956229539,-0.1228919281232979,standardized_outer_train,5.0,0.33027137259751693,0.1052912342832419,0.04323576333401989,0.050241268978330283,0.8895918425898544,0.5123542012736026
final,primary,2026,L3,PLOCAL+GLOBAL,T2→T3,primary_measurement_valid,AVAILABLE,,384.0,pooled_outer_test_folds,375.0,0.16942291500739562,0.06729339246306894,-0.010262228693024289,27.529831974411515,8.953666026264727,27.537956917151757,0.0002950452266551898,0.03556279884421228,0.012690256186710783,-5.588611356175838,-0.24489200730182453,standardized_outer_train,5.0,0.14975184063352734,0.19781450264365608,-0.16359959112384811,0.23320163301533392,0.8656781839608927,0.31963592767598414
final,primary,2026,L3,PLOCAL+GLOBAL,macro,primary_measurement_valid,AVAILABLE,,384.0,mean_of_pooled_endpoint_metrics,1125.0,0.29738605074524976,0.19243908802431123,0.03319367164562322,22.972330904968214,10.399135516489805,23.41187663584034,0.021047142122537405,0.09816983733413116,0.06571112551644258,-7.796649693040178,-0.0658296714946438,standardized_outer_train,5.0,0.29870337578040707,0.06499451959071245,-0.03288994350066946,0.07745964318715909,0.8903371932015602,0.43915515726220056
final,primary,2026,L3,PORACLE,T0→T1,primary_measurement_valid,NA,NA_incomplete_source_authoritative_support_1488_of_1500,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L3,PORACLE,T1→T2,primary_measurement_valid,NA,NA_incomplete_source_authoritative_support_1488_of_1500,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L3,PORACLE,T2→T3,primary_measurement_valid,NA,NA_incomplete_source_authoritative_support_1488_of_1500,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L3,PORACLE,macro,primary_measurement_valid,NA,NA_incomplete_source_authoritative_support_1488_of_1500,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L3,PVALID,T0→T1,primary_measurement_valid,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L3,PVALID,T1→T2,primary_measurement_valid,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L3,PVALID,T2→T3,primary_measurement_valid,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,L3,PVALID,macro,primary_measurement_valid,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,,,,,,,,,,
final,primary,2026,N1,P0,T0→T1,primary_measurement_valid,AVAILABLE,,192.0,pooled_outer_test_folds,375.0,0.029997724428262602,-0.02290751356590582,-0.021229307557090182,25.598733956400544,13.86255004515034,25.477864188497076,-0.004744109121911363,0.015494711741287163,-0.0028514758844527767,-11.20192678425342,-0.1424960617487997,standardized_outer_train,5.0,0.033418006384565074,0.18502833626817294,-0.04754501372363022,0.07709191290355494,0.947382242652662,0.5224730942449272
