stage,seed_base,arm,pooling,target_name,endpoint,availability,status_reason,feature_dim,aggregation,n_test,spearman,pearson,natural_r2,rmse,mae,standardized_scale,standardized_fold_count,standardized_spearman_fold_mean,standardized_r2_fold_mean,standardized_r2_fold_sd
final,3026,L1,P0,valid_source_fraction,T0,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.2781385365754522,0.2670172052354468,0.05600851068698309,0.08884572994276985,0.06906525258155087,standardized_outer_train,5.0,0.2861233101734657,0.049326914058205426,0.06277154597604345
final,3026,L1,P0,valid_source_fraction,T1,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.22762153762726317,0.23877454455838232,0.04317266635141215,0.10486702734796775,0.08169015568603534,standardized_outer_train,5.0,0.22812933323685053,0.039002758418125144,0.06548679803540443
final,3026,L1,P0,valid_source_fraction,T2,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.17995581551022294,0.1748639403303296,0.018205763306595513,0.10704700299182578,0.08282134569908745,standardized_outer_train,5.0,0.18794679350483307,0.0164407461708502,0.014474390214226135
final,3026,L1,P0,valid_source_fraction,T3,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.18788519834578812,0.213186371163965,0.03420136076626812,0.10686145597778804,0.08321214234721451,standardized_outer_train,5.0,0.18880791596640636,0.03275046678908912,0.051067134588778915
final,3026,L1,P0,valid_source_fraction,macro,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,3232.0,0.2184002720146816,0.22346051532203093,0.03789707527781472,0.10190530406508785,0.07919722407847204,standardized_outer_train,5.0,0.22275183822038888,0.03438022135906746,0.031069358744023994
final,3026,L1,PLOCAL,acquisition_fov_x_mm,T0,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.6819956871107239,0.792719952820058,0.6252488833185881,39.7333468385938,29.33763328279652,standardized_outer_train,5.0,0.6775922021590578,0.6253399147284368,0.0963437086268275
final,3026,L1,PLOCAL,acquisition_fov_x_mm,T1,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.6536537800072265,0.7107334691941897,0.4996700737852613,46.24139452999181,32.96838429063114,standardized_outer_train,5.0,0.6487785777254969,0.496971339157826,0.11031209087643833
final,3026,L1,PLOCAL,acquisition_fov_x_mm,T2,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.6764157047383687,0.7598880703664562,0.5746990969662673,43.14211437727528,31.34371361726384,standardized_outer_train,5.0,0.6659641216191853,0.5736765446069416,0.09678207656905423
final,3026,L1,PLOCAL,acquisition_fov_x_mm,T3,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.6758149941603062,0.73970993003996,0.541430363094455,44.08251032128606,32.18292661545986,standardized_outer_train,5.0,0.6760998698491166,0.5447906532111737,0.0818288499796418
final,3026,L1,PLOCAL,acquisition_fov_x_mm,macro,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,3232.0,0.6719700415041563,0.750762855605166,0.5602621042911429,43.29984151678674,31.458164451537844,standardized_outer_train,5.0,0.6671086928382141,0.5601946129260945,0.08133908979978435
final,3026,L1,PLOCAL,acquisition_fov_y_mm,T0,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.6819756234190044,0.7927198368973277,0.6252486762742694,39.73335770369142,29.337635756137317,standardized_outer_train,5.0,0.6775571064348639,0.6253397167661578,0.09634407844645887
final,3026,L1,PLOCAL,acquisition_fov_y_mm,T1,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.6536157223386756,0.7107334733043708,0.4996700805292371,46.241394229047664,32.96838456832617,standardized_outer_train,5.0,0.6487384393464666,0.49697134623588574,0.11031208528410151
final,3026,L1,PLOCAL,acquisition_fov_y_mm,T2,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.676498720117443,0.7598881033394569,0.5746991484234801,43.14211172461273,31.343710939066625,standardized_outer_train,5.0,0.6661278300112665,0.5736766013847279,0.0967820697950651
final,3026,L1,PLOCAL,acquisition_fov_y_mm,T3,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.6757857625636362,0.7397099052881378,0.5414303257535354,44.082512058651076,32.18292889543267,standardized_outer_train,5.0,0.6760210264467658,0.5447906169541548,0.08182887397969572
final,3026,L1,PLOCAL,acquisition_fov_y_mm,macro,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,3232.0,0.6719689571096897,0.7507628297073233,0.5602620577451305,43.29984392900072,31.458165039740695,standardized_outer_train,5.0,0.6671111005598407,0.5601945703352316,0.08133916162514108
final,3026,L1,PLOCAL,acquisition_fov_z_mm,T0,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.2877154183221856,0.3969554724785092,0.14897797280762914,10.066675621158799,6.169940851838201,standardized_outer_train,5.0,0.2920839974791755,0.14790024418039294,0.0748439515427244
final,3026,L1,PLOCAL,acquisition_fov_z_mm,T1,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.33448785532260344,0.33232161700220225,0.07614499612934889,11.140142960774053,6.89645468561798,standardized_outer_train,5.0,0.3334439167125952,0.08300372514228851,0.08531571714343361
final,3026,L1,PLOCAL,acquisition_fov_z_mm,T2,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.31187105558738415,0.37023142206823606,0.13411582885218287,11.210356346238141,6.74400632466485,standardized_outer_train,5.0,0.3130319968788816,0.14890675191290786,0.09434796603981713
final,3026,L1,PLOCAL,acquisition_fov_z_mm,T3,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.29120095563154175,0.3391433946969108,0.09010926563550936,11.032328463801944,6.5906407655510195,standardized_outer_train,5.0,0.28911113520015663,0.10376632341071108,0.09261262507924382
final,3026,L1,PLOCAL,acquisition_fov_z_mm,macro,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,3232.0,0.30631882121592874,0.3596629765614646,0.11233701585616757,10.862375847993235,6.600260656918013,standardized_outer_train,5.0,0.30691776156770223,0.12089426116157509,0.0671657154367239
final,3026,L1,PLOCAL,max_resample_factor,T0,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.7063480722209962,0.6729919414115113,0.44171172480545084,0.22440037668693016,0.17089123103390239,standardized_outer_train,5.0,0.7099145897214864,0.4396152675012102,0.08217855063722274
final,3026,L1,PLOCAL,max_resample_factor,T1,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.6648302126811686,0.6141394116153858,0.3330191886384968,0.2441015984680895,0.1825251147798605,standardized_outer_train,5.0,0.6630294266029285,0.3293851804745108,0.12328251442436645
final,3026,L1,PLOCAL,max_resample_factor,T2,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.718620832792111,0.6694960684101362,0.4398272463674914,0.22352934039472322,0.16695329468310902,standardized_outer_train,5.0,0.7196523302099631,0.4367610064866373,0.08200669126215168
final,3026,L1,PLOCAL,max_resample_factor,T3,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.7158251317427644,0.6793917074947715,0.4604754207821069,0.21739133481599557,0.16535544043471376,standardized_outer_train,5.0,0.7166221962567738,0.4614862330389805,0.050081116720578536
