population,seed,arm,timing,model,clinical_contract,fold,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,2026,LOCAL0,T1,C+F+M_residual,C2_full_with_treatment,3,72,23,49,0.7364685004436557,0.6419893340959996,0.7431233362910381,0.20057107421714618
ftv_complete_375,2026,LOCAL0,T1,C+F+M_residual,C2_full_with_treatment,4,84,23,61,0.7312900926585887,0.5347367883163578,0.6432644333570919,0.2019136543854062
ftv_complete_375,2026,LOCAL0,T1,C+M,C2_full_with_treatment,0,69,20,49,0.5173469387755102,0.33353958481779317,0.4627551020408163,0.2985933711278032
ftv_complete_375,2026,LOCAL0,T1,C+M,C2_full_with_treatment,1,67,20,47,0.652127659574468,0.49967375877382153,0.6398936170212766,0.20854480226687944
ftv_complete_375,2026,LOCAL0,T1,C+M,C2_full_with_treatment,2,83,24,59,0.5141242937853108,0.3939433336295994,0.5480225988700564,0.23385471461764074
ftv_complete_375,2026,LOCAL0,T1,C+M,C2_full_with_treatment,3,72,23,49,0.7444543034605147,0.6424014051911543,0.712511091393079,0.19833796774220908
ftv_complete_375,2026,LOCAL0,T1,C+M,C2_full_with_treatment,4,84,23,61,0.7512473271560941,0.5576709980143805,0.6079828937990022,0.18564490883780294
ftv_complete_375,2026,LOCAL0,T1,C+M_error_correction,C2_full_with_treatment,0,69,20,49,0.4122448979591837,0.2693479544790448,0.5,0.21938281916085395
ftv_complete_375,2026,LOCAL0,T1,C+M_error_correction,C2_full_with_treatment,1,67,20,47,0.5117021276595745,0.3229088218731122,0.5,0.21188036159446905
ftv_complete_375,2026,LOCAL0,T1,C+M_error_correction,C2_full_with_treatment,2,83,24,59,0.4696327683615819,0.3271376356616453,0.5,0.2172257559641919
ftv_complete_375,2026,LOCAL0,T1,C+M_error_correction,C2_full_with_treatment,3,72,23,49,0.6237799467613132,0.5550286609829599,0.5,0.2075991196123644
ftv_complete_375,2026,LOCAL0,T1,C+M_error_correction,C2_full_with_treatment,4,84,23,61,0.6564504632929437,0.43763757052928287,0.5352815395580898,0.1869487951683465
