task,fold,seed,arm,view,target,selected_C,validation_auroc,validation_threshold,train_rows,validation_rows,feature_dim,population,clinical_contract,timing,model,selected_alpha,validation_mse,subgroup
profile_binary,2,2026.0,LOCAL3,T3,HR,10.0,0.5224750277469479,0.3383790237402097,525,121,192,,,,,,,
profile_binary,2,2026.0,LOCAL3,T3,HER2,1.0,0.6054945054945055,0.6860997824364212,525,121,192,,,,,,,
profile_multiclass,2,2026.0,LOCAL3,T3,subtype_4class,0.0001,0.5356505513198676,,525,121,192,,,,,,,
profile_binary,2,2026.0,LOCAL3,long_T0_T1,HR,0.001,0.5332963374028857,0.4993840527247028,525,121,384,,,,,,,
profile_binary,2,2026.0,LOCAL3,long_T0_T1,HER2,0.001,0.5567765567765568,0.458510176545629,525,121,384,,,,,,,
profile_multiclass,2,2026.0,LOCAL3,long_T0_T1,subtype_4class,0.0001,0.5557294086030398,,525,121,384,,,,,,,
profile_binary,2,2026.0,LOCAL3,long_T0_T2,HR,0.01,0.5652053274139844,0.3956574849243053,525,121,576,,,,,,,
profile_binary,2,2026.0,LOCAL3,long_T0_T2,HER2,0.001,0.5575091575091575,0.4320790586479015,525,121,576,,,,,,,
profile_multiclass,2,2026.0,LOCAL3,long_T0_T2,subtype_4class,0.001,0.5792318869367158,,525,121,576,,,,,,,
profile_binary,2,2026.0,LOCAL3,long_T0_T3,HR,0.001,0.5413429522752496,0.3987347217820157,525,121,768,,,,,,,
profile_binary,2,2026.0,LOCAL3,long_T0_T3,HER2,0.1,0.5802197802197803,0.4474051807764924,525,121,768,,,,,,,
profile_multiclass,2,2026.0,LOCAL3,long_T0_T3,subtype_4class,0.001,0.5648309463874446,,525,121,768,,,,,,,
profile_binary,3,2026.0,LOCAL3,T0,HR,0.001,0.5030521642619312,0.4900123437082326,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL3,T0,HER2,100.0,0.5200716845878137,0.3841890748360432,526,121,192,,,,,,,
profile_multiclass,3,2026.0,LOCAL3,T0,subtype_4class,100.0,0.5346314490579546,,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL3,T1,HR,100.0,0.49778024417314093,0.642266258524762,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL3,T1,HER2,0.001,0.6114695340501792,0.4810140173575669,526,121,192,,,,,,,
profile_multiclass,3,2026.0,LOCAL3,T1,subtype_4class,100.0,0.5254636895602325,,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL3,T2,HR,1.0,0.6082130965593784,0.4223937499139483,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL3,T2,HER2,0.01,0.535483870967742,0.44311182017871,526,121,192,,,,,,,
profile_multiclass,3,2026.0,LOCAL3,T2,subtype_4class,10.0,0.600708072589539,,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL3,T3,HR,100.0,0.5507769145394007,0.4387112908645032,526,121,192,,,,,,,
profile_binary,3,2026.0,LOCAL3,T3,HER2,0.0001,0.5354838709677419,0.48434757040308424,526,121,192,,,,,,,
profile_multiclass,3,2026.0,LOCAL3,T3,subtype_4class,0.001,0.5934187026653692,,526,121,192,,,,,,,
