seed,arm,view,target,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
3026,LOCAL0,long_T0_T1,subtype_4class,808,,,0.5353988292514058,0.27293859106076834,0.27481904186578354,
3026,LOCAL0,long_T0_T2,HER2,808,201.0,607.0,0.5551648675895645,0.2981980917920666,0.5526936979025794,0.25816439007864456
3026,LOCAL0,long_T0_T2,HR,808,453.0,355.0,0.5259459627522308,0.5800959036408438,0.5373068432671082,0.3052641131989918
3026,LOCAL0,long_T0_T2,subtype_4class,808,,,0.5339477697352291,0.2742400987431052,0.3078481741701815,
3026,LOCAL0,long_T0_T3,HER2,808,201.0,607.0,0.577245567877253,0.3260794308792728,0.5470095978099617,0.24690682127713756
3026,LOCAL0,long_T0_T3,HR,808,453.0,355.0,0.5362590554363711,0.5897504592056354,0.535668314522899,0.3141800536242279
3026,LOCAL0,long_T0_T3,subtype_4class,808,,,0.5347377541011291,0.2732143039656587,0.2811657742365239,
3026,LOCAL3,T0,HER2,808,201.0,607.0,0.5139541173867073,0.2746654103625209,0.49541009942052505,0.2713175528768025
3026,LOCAL3,T0,HR,808,453.0,355.0,0.5263377172527439,0.5787427957479542,0.5106675372322234,0.2639982527414414
3026,LOCAL3,T0,subtype_4class,808,,,0.5249304844849374,0.2690723422337956,0.2587912937158175,
3026,LOCAL3,T1,HER2,808,201.0,607.0,0.5538616636750351,0.30071432575529317,0.5344406468481316,0.24782226750829137
3026,LOCAL3,T1,HR,808,453.0,355.0,0.52216522090601,0.5810746462185723,0.5140813978795511,0.28198815082976475
3026,LOCAL3,T1,subtype_4class,808,,,0.5207848998447032,0.27095657092136194,0.2758334170478204,
3026,LOCAL3,T2,HER2,808,201.0,607.0,0.5380920766841246,0.2854136889036568,0.5412107502028572,0.25568787061037207
3026,LOCAL3,T2,HR,808,453.0,355.0,0.5452849547616827,0.6107832768632353,0.5171625781177129,0.2748309115921058
3026,LOCAL3,T2,subtype_4class,808,,,0.5437101965536452,0.28679408338251067,0.30149377265347727,
3026,LOCAL3,T3,HER2,808,201.0,607.0,0.5556566426516512,0.27995848616687313,0.5648651306892227,0.26901185687978335
3026,LOCAL3,T3,HR,808,453.0,355.0,0.5403476043901377,0.6061495474305657,0.5177315548922675,0.2685867008779176
3026,LOCAL3,T3,subtype_4class,808,,,0.5439675200804763,0.2785070748441078,0.29347642217991177,
3026,LOCAL3,long_T0_T1,HER2,808,201.0,607.0,0.5754997664068455,0.31762045633718594,0.5376043997475555,0.2480975578421506
3026,LOCAL3,long_T0_T1,HR,808,453.0,355.0,0.5133351988309548,0.5727424427047982,0.5056835494201412,0.3009019986110056
3026,LOCAL3,long_T0_T1,subtype_4class,808,,,0.5415357012426045,0.2723850643829709,0.26661386473716575,
3026,LOCAL3,long_T0_T2,HER2,808,201.0,607.0,0.561057972083569,0.315049222270965,0.5682460842410682,0.24723036875705331
3026,LOCAL3,long_T0_T2,HR,808,453.0,355.0,0.5263252806019338,0.5862293839609719,0.5453378105276249,0.33783795410032313
3026,LOCAL3,long_T0_T2,subtype_4class,808,,,0.5357487272250461,0.27643977956595733,0.30307659167646517,
3026,LOCAL3,long_T0_T3,HER2,808,201.0,607.0,0.5784504167793652,0.32660133765640603,0.539678051259354,0.24673440622623774
3026,LOCAL3,long_T0_T3,HR,808,453.0,355.0,0.5251811087274196,0.5782431803736284,0.5300345117059976,0.3205845115688209
3026,LOCAL3,long_T0_T3,subtype_4class,808,,,0.5408935524770391,0.2774420845391822,0.29489376463037076,
