seed,arm,timing,subgroup,model,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
2026,LOCAL3,T0,HR-/HER2-,remaining_clinical,287,124,163,0.5522461903819513,0.48319100996234143,0.5346576291312092,0.25134402011028373
2026,LOCAL3,T0,HR-/HER2-,remaining_clinical+M,287,124,163,0.4901543637443103,0.42803377355457506,0.48364832772610333,0.26984621154701594
2026,LOCAL3,T1,HER2+,M,201,94,107,0.5172996619606284,0.4679052916909478,0.5277888248160668,0.3355165371925011
2026,LOCAL3,T1,HER2+,remaining_clinical,201,94,107,0.6488864585404652,0.6220341513624427,0.6343209385563731,0.24218554980550253
2026,LOCAL3,T1,HER2+,remaining_clinical+M,201,94,107,0.6207993636905946,0.5896786761083432,0.5630841121495327,0.2689683112808616
2026,LOCAL3,T1,HR+/HER2-,M,320,57,263,0.5396571276098993,0.20099493050227019,0.49339603762257356,0.20105709049550358
2026,LOCAL3,T1,HR+/HER2-,remaining_clinical,320,57,263,0.6100326862784337,0.291631127552526,0.5412247348409045,0.1626373292879201
2026,LOCAL3,T1,HR+/HER2-,remaining_clinical+M,320,57,263,0.5783470082049229,0.26134029852670715,0.5410579681142018,0.2027522820437361
2026,LOCAL3,T1,HR-/HER2-,M,287,124,163,0.4784781318028894,0.47809364092478357,0.48802691470413617,0.3417681791021734
2026,LOCAL3,T1,HR-/HER2-,remaining_clinical,287,124,163,0.5522461903819513,0.48319100996234143,0.5346576291312092,0.25134402011028373
2026,LOCAL3,T1,HR-/HER2-,remaining_clinical+M,287,124,163,0.5148426677221453,0.4546066827075994,0.5118741341777162,0.29563646652004394
2026,LOCAL3,T2,HER2+,M,201,94,107,0.533406243786041,0.49327186371286547,0.5490654205607477,0.3334462280746066
2026,LOCAL3,T2,HER2+,remaining_clinical,201,94,107,0.6488864585404652,0.6220341513624427,0.6343209385563731,0.24218554980550253
2026,LOCAL3,T2,HER2+,remaining_clinical+M,201,94,107,0.605687015311195,0.5552190332238567,0.5916186120501093,0.3054382358353432
2026,LOCAL3,T2,HR+/HER2-,M,320,57,263,0.4962977786672004,0.1835999046176537,0.4887265692748982,0.1927064162212878
2026,LOCAL3,T2,HR+/HER2-,remaining_clinical,320,57,263,0.6100326862784337,0.291631127552526,0.5412247348409045,0.1626373292879201
2026,LOCAL3,T2,HR+/HER2-,remaining_clinical+M,320,57,263,0.5900206790741112,0.28932603481525354,0.5612367420452271,0.20679123138708264
2026,LOCAL3,T2,HR-/HER2-,M,287,124,163,0.4627449040174154,0.42778860454697276,0.4675192954680388,0.3939695152326603
