population,seed,arm,timing,model,clinical_contract,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,3026,LOCAL0,T0,F,C2_full_with_treatment,375,110,265,0.5020926243567754,0.2921751272631997,0.5,0.24948439956033697
ftv_complete_375,3026,LOCAL0,T0,M,C2_full_with_treatment,375,110,265,0.4770497427101201,0.293370504941492,0.46912521440823324,0.2786728978217708
ftv_complete_375,3026,LOCAL0,T0,M_residual,C2_full_with_treatment,375,110,265,0.4806861063464837,0.29868633515320187,0.4891938250428816,0.27747996904006095
ftv_complete_375,3026,LOCAL0,T1,C,C2_full_with_treatment,375,110,265,0.6966723842195541,0.5362125873999827,0.6563464837049743,0.2430950945429407
ftv_complete_375,3026,LOCAL0,T1,C+F,C2_full_with_treatment,375,110,265,0.6971526586620925,0.5259975356624463,0.6684391080617496,0.19795462758831528
ftv_complete_375,3026,LOCAL0,T1,C+F+M,C2_full_with_treatment,375,110,265,0.6482332761578045,0.45992823654230697,0.6272727272727273,0.23782837571301865
ftv_complete_375,3026,LOCAL0,T1,C+F+M_residual,C2_full_with_treatment,375,110,265,0.6614408233276159,0.47584696600629384,0.6374785591766724,0.22585164442894765
ftv_complete_375,3026,LOCAL0,T1,C+M,C2_full_with_treatment,375,110,265,0.6296740994854203,0.41952698141709294,0.6018867924528302,0.24007249699227792
ftv_complete_375,3026,LOCAL0,T1,C+M_error_correction,C2_full_with_treatment,375,110,265,0.5308061749571183,0.3455620882475574,0.5068610634648371,0.21095121657304117
ftv_complete_375,3026,LOCAL0,T1,F,C2_full_with_treatment,375,110,265,0.6593481989708404,0.4223046318898934,0.5106346483704974,0.19643059789657363
ftv_complete_375,3026,LOCAL0,T1,M,C2_full_with_treatment,375,110,265,0.5394511149228131,0.3084478135164356,0.5156946826758148,0.3059455382645371
ftv_complete_375,3026,LOCAL0,T1,M_residual,C2_full_with_treatment,375,110,265,0.5481646655231562,0.3246318374355227,0.5282161234991424,0.3010497345530666
ftv_complete_375,3026,LOCAL0,T2,C,C2_full_with_treatment,375,110,265,0.6966723842195541,0.5362125873999827,0.6563464837049743,0.2430950945429407
ftv_complete_375,3026,LOCAL0,T2,C+F,C2_full_with_treatment,375,110,265,0.726106346483705,0.5400010651611841,0.6673241852487135,0.1887354938947084
ftv_complete_375,3026,LOCAL0,T2,C+F+M,C2_full_with_treatment,375,110,265,0.6646998284734134,0.45647681471997587,0.615180102915952,0.23529230666184514
