seed_base,fold,task,endpoint,target_semantics,metric,L3_minus_L1,N3_minus_N1,N1_minus_L1,difference_in_differences
3026,1,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.08093223720967346,0.04134408173038551,-0.6126586319738208,-0.039588155479287956
3026,1,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.14598132332987468,-0.039508340649692796,-0.1689280868385345,-0.18548966397956748
3026,1,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.10080612977891296,0.008839492377683805,-0.3723760874770533,-0.09196663740122915
3026,2,delta,T0→T1,literal_ftv_end_minus_ftv_start,spearman,0.2102766466563116,-0.010117123546450599,-0.07986650434490579,-0.22039377020276218
3026,2,delta,T1→T2,literal_ftv_end_minus_ftv_start,spearman,0.19978170521808492,0.00919356869988669,0.25072415095923767,-0.19058813651819823
3026,2,delta,T2→T3,literal_ftv_end_minus_ftv_start,spearman,0.11708156668485789,0.0018051299273749988,-0.1124218126862852,-0.11527643675748289
3026,2,delta,macro,literal_ftv_end_minus_ftv_start,spearman,0.17571330618641817,0.0002938583602704048,0.0194786113093489,-0.17541944782614777
3026,2,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.10190588136518208,-0.0031274925485915706,-0.04006968641114972,-0.10503337391377365
3026,2,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.06546744469165866,0.04315519919398847,-0.2768565551404223,-0.02231224549767019
3026,2,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.1625456529952562,0.08037026153394061,-0.19249821585995552,-0.08217539146131558
3026,2,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.1638470257335964,0.03893623273582139,-0.1263171151504975,-0.12491079299777502
3026,2,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.12344150119642322,0.039833550228789705,-0.1589353931405063,-0.08360795096763352
3026,3,delta,T0→T1,literal_ftv_end_minus_ftv_start,spearman,0.06923274808669372,0.08727249340793619,-0.36741912663193776,0.018039745321242473
3026,3,delta,T1→T2,literal_ftv_end_minus_ftv_start,spearman,0.199530516431925,-0.1431603318541385,0.15300019293845263,-0.3426908482860635
3026,3,delta,T2→T3,literal_ftv_end_minus_ftv_start,spearman,0.09193517267991502,-0.0791690783973245,-0.2564473599588399,-0.17110425107723953
3026,3,delta,macro,literal_ftv_end_minus_ftv_start,spearman,0.12023281239951117,-0.0450189722811756,-0.1569554312174417,-0.16525178468068677
3026,3,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.07900829635346329,-0.040131198147790814,-0.24815100649559463,-0.1191394945012541
3026,3,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.00794263296675024,-0.1265033121101034,-0.24509614766222926,-0.13444594507685365
3026,3,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.0008360666280790019,0.1450575599717023,-0.484661393015628,0.1442214933436233
3026,3,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.06714258151649619,-0.026207473149398586,-0.015242137758055302,-0.09335005466589477
3026,3,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.03873239436619719,-0.011946105858897604,-0.24828767123287682,-0.05067850022509479
3026,4,delta,T0→T1,literal_ftv_end_minus_ftv_start,spearman,0.028632175761870993,0.0776956565758833,-0.3512807532651615,0.04906348081401231
3026,4,delta,T1→T2,literal_ftv_end_minus_ftv_start,spearman,0.23164928622051228,0.0172319530221727,-0.1284600587222841,-0.21441733319833958
3026,4,delta,T2→T3,literal_ftv_end_minus_ftv_start,spearman,0.3310316897843474,-0.018710134656272193,0.2498126961628024,-0.3497418244406196
3026,4,delta,macro,literal_ftv_end_minus_ftv_start,spearman,0.1971043839222436,0.0254058249805946,-0.076642705274881,-0.171698558941649
