comparison,left_arm,right_arm,task,endpoint,analysis_scope,metric,independent_unit,seed_result,n_seeds,mean,median,sample_sd,min,max,direction_count,negative_direction_count,zero_direction_count,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_resamples,bootstrap_seed,bootstrap_interval,bootstrap_statistic
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,natural_spearman,training_seed,five_fold_pooled_oof,5,0.020173717146433033,0.0337417226078052,0.027213717584017725,-0.022431220844237116,0.04397041756741381,4,1,0,-0.003599863465695764,0.03898982819433382,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,transformed_b0_rmse,training_seed,five_fold_pooled_oof,5,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,0.0,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,transformed_calibration_intercept,training_seed,five_fold_pooled_oof,5,0.0010041592614819313,-0.0019773133096797997,0.008467371320527066,-0.007106551567426829,0.01495628442335698,2,3,0,-0.004442284892714988,0.008182845330142269,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,transformed_calibration_mean_bias,training_seed,five_fold_pooled_oof,5,0.0033522114599191465,0.0011550832838696035,0.006096230886102575,-0.0016789588325343465,0.013927902522267123,4,1,0,-0.00029448329415449433,0.008818774826908116,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,transformed_calibration_slope,training_seed,five_fold_pooled_oof,5,0.02236663911148438,0.01700773573310716,0.03217597828480257,-0.007029075970260649,0.06918966338989033,3,2,0,-0.0017456129937379965,0.04804677251487121,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,transformed_mae,training_seed,five_fold_pooled_oof,5,-0.0038569460764278805,-0.004609373979638287,0.00313479010066045,-0.007129380079687719,-0.0005410390699072676,0,5,0,-0.006333445277092597,-0.0013804468757631638,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,transformed_pearson,training_seed,five_fold_pooled_oof,5,0.03411194204686098,0.0363610501657312,0.05027487675675615,-0.016729475035118326,0.10920501734446776,3,2,0,-0.0021392394608087074,0.07279536681318309,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,transformed_prediction_target_variance_ratio,training_seed,five_fold_pooled_oof,5,-0.01485580212157902,-0.028696003302110917,0.026510991605140404,-0.03658234755026829,0.02091974289790749,2,3,0,-0.034688448430553506,0.006567765208059817,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,transformed_r2,training_seed,five_fold_pooled_oof,5,0.06994546051683301,0.02058075590501085,0.09361514782793473,-0.02195576725593601,0.20126009487645968,4,1,0,0.0018426606071457296,0.1507245007376019,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,transformed_rmse,training_seed,five_fold_pooled_oof,5,-0.005224011672829066,-0.0017585722696925599,0.007318061734278049,-0.01649801285544661,0.0008043526793189981,1,4,0,-0.011632372896932997,-3.8939851694475004e-05,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,transformed_rmse_gain_over_b0,training_seed,five_fold_pooled_oof,5,0.01831507033473653,0.007683259246418356,0.02411911444727246,-0.00658815043398818,0.05252397921159968,4,1,0,0.0006782335664423878,0.03910564025689037,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,T2_to_T3,primary_measurement_valid,transformed_spearman,training_seed,five_fold_pooled_oof,5,0.019901397482311723,0.026926888859644775,0.03273599264305826,-0.027110126356669553,0.057355443268354706,4,1,0,-0.007799119485955996,0.043843647130473826,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,macro,primary_measurement_valid,natural_b0_rmse,training_seed,five_fold_pooled_oof,5,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,0.0,10000,20260811,percentile_2.5_97.5,mean
