seed_base,arm,analysis_scope,task,endpoint,target_semantics,scale,aggregation,n_folds,n_test,spearman,pearson,r2,rmse,mae,b0_rmse,rmse_gain_over_b0,prediction_target_variance_ratio,calibration_slope,calibration_intercept,calibration_mean_bias
6026,GAP0,primary_measurement_valid,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.1898403545359895,0.20180823525250094,-0.010214284977397542,0.6111517531125904,0.4909087238968345,0.6147106558945465,0.0048271535728508595,0.17321121755537824,0.08801671459483343,-0.5867641483368009,0.00305326653618094
6026,GAP0,primary_measurement_valid,delta,T0_to_T1,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.10624762768819414,0.04282789676488937,-0.03614418241771804,0.9445947000321355,0.5160119577395348,0.9399665324822373,-0.0056736591167733785,0.030545905538833944,0.00994459666886538,0.00521156814666768,0.023852777563834363
6026,GAP0,primary_measurement_valid,delta,T1_to_T2,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.3068387316773701,0.2954345108270778,0.0622096062300845,0.8768044300037132,0.5187769942906622,0.9195192108402048,0.03905612705063054,0.0661961391691013,0.07095778884313768,0.02319128227256944,0.003836144518205381
6026,GAP0,primary_measurement_valid,delta,T2_to_T3,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.06505121617238874,0.021650564225422126,-0.4897189417101986,0.895249106508691,0.3435095028395424,0.8647480762588101,-0.10686689944227375,0.2383450256451201,-0.027501964905248078,0.0143693195735733,0.007959327443872746
6026,GAP0,observable_only,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,374,0.4527249845347045,0.47874657027525247,0.19666985514556676,0.35746522432099365,0.2855645676273944,0.4027899113489097,0.11119073272102735,0.30826754969323095,0.25778309589689063,0.3748472693498465,0.018208631414821642
6026,GAP0,observable_only,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,367,0.3290909639109248,0.3164466220525749,0.09596775043723954,0.45386796176039856,0.3579359711842788,0.48473008493804703,0.059463407910380704,0.2390529322308866,0.174642413753332,0.16626148165582094,0.01183083362467688
6026,GAP0,observable_only,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,372,0.20231455928640832,0.2398245369269675,0.044062297396746594,0.6159383708942688,0.49126138613002457,0.6398859725431689,0.03501067183954728,0.1001612811774881,0.08033796015750842,-0.2709395663628314,0.026414239231554865
6026,GAP0,observable_only,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,373,0.18472987449833916,0.1989197164365478,-0.014543620653492878,0.6095214619420591,0.48955761593462366,0.6113123593073811,0.0022523508003950616,0.17656763284761465,0.08718089101449182,-0.5880538729580284,0.0067228075395318635
6026,GAP0,observable_only,delta,T0_to_T1,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,366,0.11921204287834257,0.06889336116366906,-0.03491551224937077,0.9467251278815842,0.5238777480871523,0.9441401833567087,-0.0031911915313431183,0.0344184006371821,0.01572588215399668,-0.00011384896402888006,0.02488724763329746
6026,GAP0,observable_only,delta,T1_to_T2,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,365,0.28096804688999233,0.28367954637302206,0.06943866248103409,0.8684010109937621,0.5299782281338237,0.9210851354082482,0.043271323939969776,0.10002313168998567,0.08968550303052518,0.0223962990997724,0.0023426756023647217
