audit_condition,decision_point,metric,mean,sample_std,n_valid_folds,error_bar_definition
simplified_baseline_f4_timepoint_only,T0-T1,specificity,0.0,0.0,5,fold metric sample SD (ddof=1)
simplified_baseline_f4_timepoint_only,T0-T2,auroc,0.5,0.0,5,fold metric sample SD (ddof=1)
simplified_baseline_f4_timepoint_only,T0-T2,auprc,0.3403496664366229,0.0011550011756300785,5,fold metric sample SD (ddof=1)
simplified_baseline_f4_timepoint_only,T0-T2,accuracy,0.3403496664366229,0.0011550011756300785,5,fold metric sample SD (ddof=1)
simplified_baseline_f4_timepoint_only,T0-T2,sensitivity,1.0,0.0,5,fold metric sample SD (ddof=1)
simplified_baseline_f4_timepoint_only,T0-T2,specificity,0.0,0.0,5,fold metric sample SD (ddof=1)
simplified_baseline_f5_static_t0_imaging,T0,auroc,0.5057774001699235,0.04166393738202378,5,fold metric sample SD (ddof=1)
simplified_baseline_f5_static_t0_imaging,T0,auprc,0.3472290052762679,0.037457245638159255,5,fold metric sample SD (ddof=1)
simplified_baseline_f5_static_t0_imaging,T0,accuracy,0.4664212867111418,0.09473723655395551,5,fold metric sample SD (ddof=1)
simplified_baseline_f5_static_t0_imaging,T0,sensitivity,0.5709090909090909,0.2735140167438808,5,fold metric sample SD (ddof=1)
simplified_baseline_f5_static_t0_imaging,T0,specificity,0.4121142655616293,0.2779851926008842,5,fold metric sample SD (ddof=1)
simplified_baseline_f5_static_t0_imaging,T0-T1,auroc,0.5057774001699235,0.04166393738202378,5,fold metric sample SD (ddof=1)
simplified_baseline_f5_static_t0_imaging,T0-T1,auprc,0.3472290052762679,0.037457245638159255,5,fold metric sample SD (ddof=1)
simplified_baseline_f5_static_t0_imaging,T0-T1,accuracy,0.4664212867111418,0.09473723655395551,5,fold metric sample SD (ddof=1)
simplified_baseline_f5_static_t0_imaging,T0-T1,sensitivity,0.5709090909090909,0.2735140167438808,5,fold metric sample SD (ddof=1)
simplified_baseline_f5_static_t0_imaging,T0-T1,specificity,0.4121142655616293,0.2779851926008842,5,fold metric sample SD (ddof=1)
simplified_baseline_f5_static_t0_imaging,T0-T2,auroc,0.5057774001699235,0.04166393738202378,5,fold metric sample SD (ddof=1)
simplified_baseline_f5_static_t0_imaging,T0-T2,auprc,0.3472290052762679,0.037457245638159255,5,fold metric sample SD (ddof=1)
simplified_baseline_f5_static_t0_imaging,T0-T2,accuracy,0.4664212867111418,0.09473723655395551,5,fold metric sample SD (ddof=1)
simplified_baseline_f5_static_t0_imaging,T0-T2,sensitivity,0.5709090909090909,0.2735140167438808,5,fold metric sample SD (ddof=1)
simplified_baseline_f5_static_t0_imaging,T0-T2,specificity,0.4121142655616293,0.2779851926008842,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0,auroc,0.7273842997066415,0.03382236636140098,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0,auprc,0.5965985811925087,0.05137932924950052,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0,accuracy,0.6820489226286327,0.05630123224125553,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0,sensitivity,0.5672727272727273,0.15608855295516186,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0,specificity,0.741297831070358,0.13823153941212696,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0-T1,auroc,0.7473506356102019,0.03366125881074138,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0-T1,auprc,0.611540516299262,0.05012091254003794,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0-T1,accuracy,0.6064488919561384,0.027902470068174964,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0-T1,sensitivity,0.8327272727272726,0.062191386823589316,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0-T1,specificity,0.4896314582965967,0.0552593005849905,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0-T2,auroc,0.757104246485308,0.031748612152373644,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0-T2,auprc,0.6324254836075432,0.04545824010478132,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0-T2,accuracy,0.6882064258875853,0.05370502728315671,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0-T2,sensitivity,0.6981818181818182,0.1017207325869045,5,fold metric sample SD (ddof=1)
temporal_t1_t2_swap,T0-T2,specificity,0.6831246693704814,0.11317803386570535,5,fold metric sample SD (ddof=1)
