audit_condition,decision_point,fold,metric,native,comparison,absolute_difference,relative_difference,relative_percentage_difference,relative_defined,difference_direction,n_paired_patients
matched_followup_swap,T0-T2,4,auprc,0.6627013396897778,0.7351443308781008,0.07244299118832298,0.10931468951343122,10.931468951343122,True,comparison - native,161
matched_followup_swap,T0-T2,4,accuracy,0.7267080745341615,0.7204968944099379,-0.006211180124223614,-0.008547008547008563,-0.8547008547008563,True,comparison - native,161
matched_followup_swap,T0-T2,4,sensitivity,0.7454545454545455,0.7272727272727273,-0.018181818181818188,-0.024390243902439032,-2.4390243902439033,True,comparison - native,161
matched_followup_swap,T0-T2,4,specificity,0.7169811320754716,0.7169811320754716,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0,0,auroc,0.7364485981308412,0.7364485981308412,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0,0,auprc,0.646462538438846,0.646462538438846,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0,0,accuracy,0.5925925925925926,0.5925925925925926,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0,0,sensitivity,0.7636363636363637,0.7636363636363637,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0,0,specificity,0.5046728971962616,0.5046728971962616,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0,1,auroc,0.6853016142735769,0.6853016142735769,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0,1,auprc,0.5649473293218674,0.5649473293218674,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0,1,accuracy,0.6851851851851852,0.6851851851851852,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0,1,sensitivity,0.38181818181818183,0.38181818181818183,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0,1,specificity,0.8411214953271028,0.8411214953271028,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0,2,auroc,0.7191163976210706,0.7191163976210706,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0,2,auprc,0.5334129103583285,0.5334129103583285,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0,2,accuracy,0.6728395061728395,0.6728395061728395,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0,2,sensitivity,0.4909090909090909,0.4909090909090909,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0,2,specificity,0.7663551401869159,0.7663551401869159,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0,3,auroc,0.7180102915951972,0.7180102915951972,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0,3,auprc,0.5869337567209492,0.5869337567209492,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0,3,accuracy,0.7267080745341615,0.7267080745341615,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0,3,sensitivity,0.509090909090909,0.509090909090909,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0,3,specificity,0.839622641509434,0.839622641509434,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0,4,auroc,0.7780445969125215,0.7780445969125215,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0,4,auprc,0.6512363711225522,0.6512363711225522,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0,4,accuracy,0.7329192546583851,0.7329192546583851,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0,4,sensitivity,0.6909090909090909,0.6909090909090909,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0,4,specificity,0.7547169811320755,0.7547169811320755,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0-T1,0,auroc,0.7767204757858963,0.7767204757858963,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T1,0,auprc,0.660889083213823,0.660889083213823,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T1,0,accuracy,0.7530864197530864,0.7530864197530864,0.0,0.0,0.0,True,comparison - native,162
