audit_condition,decision_point,repetition_id,aggregation_scope,fold,n,n_positive,n_negative,auroc,auprc,accuracy,sensitivity,specificity
matched_followup_swap,T0-T2,8,fold,3,138,46,92,0.6965973534971645,0.5219229455781597,0.7101449275362319,0.4782608695652174,0.8260869565217391
matched_followup_swap,T0-T2,8,fold,4,138,44,94,0.7074468085106383,0.6649635920768965,0.6666666666666666,0.6136363636363636,0.6914893617021277
matched_followup_swap,T0-T2,9,fold,0,126,44,82,0.6796008869179601,0.6002884776102709,0.5952380952380952,0.7045454545454546,0.5365853658536586
matched_followup_swap,T0-T2,9,fold,1,134,45,89,0.6147315855181024,0.49383539941993737,0.5149253731343284,0.5555555555555556,0.4943820224719101
matched_followup_swap,T0-T2,9,fold,2,130,40,90,0.6552777777777778,0.4414278502128146,0.6384615384615384,0.475,0.7111111111111111
matched_followup_swap,T0-T2,9,fold,3,129,39,90,0.6176638176638177,0.40731958257476164,0.6744186046511628,0.3333333333333333,0.8222222222222222
matched_followup_swap,T0-T2,9,fold,4,120,37,83,0.810159557147509,0.6648777702651405,0.775,0.7567567567567568,0.7831325301204819
matched_followup_swap,T0-T2,10,fold,0,126,44,82,0.705931263858093,0.6316873334767106,0.6428571428571429,0.7272727272727273,0.5975609756097561
matched_followup_swap,T0-T2,10,fold,1,134,45,89,0.6903870162297128,0.5915094740329626,0.5671641791044776,0.7111111111111111,0.4943820224719101
matched_followup_swap,T0-T2,10,fold,2,130,40,90,0.678888888888889,0.4312463495354657,0.6307692307692307,0.375,0.7444444444444445
matched_followup_swap,T0-T2,10,fold,3,129,39,90,0.6196581196581198,0.46324119733056435,0.6356589147286822,0.5384615384615384,0.6777777777777778
matched_followup_swap,T0-T2,10,fold,4,120,37,83,0.7648974275480299,0.6816769628793433,0.7,0.7027027027027027,0.6987951807228916
matched_followup_swap,T0,1,pooled_oof,,807,275,532,0.7237662337662337,0.5863027435468541,0.6815365551425031,0.5672727272727273,0.7406015037593985
matched_followup_swap,T0,2,pooled_oof,,807,275,532,0.7237662337662337,0.5863027435468541,0.6815365551425031,0.5672727272727273,0.7406015037593985
matched_followup_swap,T0,3,pooled_oof,,792,269,523,0.7195192164165845,0.581936724344005,0.678030303030303,0.5613382899628253,0.7380497131931166
matched_followup_swap,T0,4,pooled_oof,,764,257,507,0.7165826291836469,0.583451537196491,0.6767015706806283,0.556420233463035,0.73767258382643
matched_followup_swap,T0,5,pooled_oof,,739,251,488,0.713702566782052,0.5840787342993679,0.6779431664411367,0.5617529880478087,0.7377049180327869
matched_followup_swap,T0,6,pooled_oof,,721,240,481,0.7085932085932087,0.5711778307661066,0.6754507628294036,0.55,0.738045738045738
matched_followup_swap,T0,7,pooled_oof,,707,230,477,0.7026342174824537,0.5582556409905888,0.6746817538896747,0.5304347826086957,0.7442348008385744
matched_followup_swap,T0,8,pooled_oof,,675,220,455,0.7030369630369631,0.5606557852267102,0.6814814814814815,0.5181818181818182,0.7604395604395604
matched_followup_swap,T0,9,pooled_oof,,639,205,434,0.7051478026301,0.5610012573828158,0.6885758998435054,0.5317073170731708,0.7626728110599078
matched_followup_swap,T0,10,pooled_oof,,639,205,434,0.7051478026301,0.5610012573828158,0.6885758998435054,0.5317073170731708,0.7626728110599078
matched_followup_swap,T0-T1,1,pooled_oof,,807,275,532,0.7079015721120985,0.5789445868085215,0.6530359355638166,0.610909090909091,0.674812030075188
matched_followup_swap,T0-T1,2,pooled_oof,,807,275,532,0.7013533834586465,0.5441886065503762,0.6567534076827757,0.6254545454545455,0.6729323308270677
matched_followup_swap,T0-T1,3,pooled_oof,,792,269,523,0.692132179945553,0.5351500867186295,0.6578282828282829,0.6356877323420075,0.6692160611854685
matched_followup_swap,T0-T1,4,pooled_oof,,764,257,507,0.7195757450172295,0.5660391550078364,0.6675392670157068,0.6342412451361867,0.6844181459566075
matched_followup_swap,T0-T1,5,pooled_oof,,739,251,488,0.695578342368232,0.5336212924818644,0.6400541271989174,0.6533864541832669,0.6331967213114754
matched_followup_swap,T0-T1,6,pooled_oof,,721,240,481,0.6715609840609841,0.5253652995443405,0.6352288488210819,0.6166666666666667,0.6444906444906445
matched_followup_swap,T0-T1,7,pooled_oof,,707,230,477,0.6814146385926534,0.5254958164925297,0.6463932107496464,0.6217391304347826,0.6582809224318659
matched_followup_swap,T0-T1,8,pooled_oof,,675,220,455,0.691048951048951,0.5316210694648,0.642962962962963,0.6090909090909091,0.6593406593406593
matched_followup_swap,T0-T1,9,pooled_oof,,639,205,434,0.682106327975722,0.5126617729104438,0.6541471048513302,0.6097560975609756,0.6751152073732719
matched_followup_swap,T0-T1,10,pooled_oof,,639,205,434,0.6783859727998202,0.5349032041632655,0.6322378716744914,0.6097560975609756,0.6428571428571429
matched_followup_swap,T0-T2,1,pooled_oof,,807,275,532,0.711948051948052,0.5751053403251618,0.6530359355638166,0.6509090909090909,0.6541353383458647
matched_followup_swap,T0-T2,2,pooled_oof,,807,275,532,0.6927136021872864,0.5389229348707408,0.6406443618339529,0.64,0.6409774436090225
matched_followup_swap,T0-T2,3,pooled_oof,,792,269,523,0.6712986985293595,0.5134932259690688,0.6338383838383839,0.5799256505576208,0.6615678776290631
matched_followup_swap,T0-T2,4,pooled_oof,,764,257,507,0.703359196923998,0.5547006379682589,0.650523560209424,0.6186770428015564,0.6666666666666666
matched_followup_swap,T0-T2,5,pooled_oof,,739,251,488,0.6919290052903142,0.5346892721362239,0.6305818673883626,0.6414342629482072,0.625
matched_followup_swap,T0-T2,6,pooled_oof,,721,240,481,0.6633056133056134,0.49885996086931916,0.6158113730929264,0.5916666666666667,0.6278586278586279
matched_followup_swap,T0-T2,7,pooled_oof,,707,230,477,0.651681706316653,0.4916082138999004,0.611032531824611,0.5826086956521739,0.6247379454926625
matched_followup_swap,T0-T2,8,pooled_oof,,675,220,455,0.6741558441558442,0.509370817007121,0.6325925925925926,0.5909090909090909,0.6527472527472528
matched_followup_swap,T0-T2,9,pooled_oof,,639,205,434,0.6641002585141059,0.4938727155153768,0.6369327073552425,0.5658536585365853,0.6705069124423964
matched_followup_swap,T0-T2,10,pooled_oof,,639,205,434,0.6840283241542093,0.5415509029349981,0.6338028169014085,0.6146341463414634,0.6428571428571429
