audit_condition,decision_point,fold,n,n_positive,n_negative,auroc,auprc,accuracy,sensitivity,specificity
simplified_baseline_f4_timepoint_only,T0-T2,3,161,55,106,0.5,0.3416149068322981,0.3416149068322981,1.0,0.0
simplified_baseline_f4_timepoint_only,T0-T2,4,161,55,106,0.5,0.3416149068322981,0.3416149068322981,1.0,0.0
simplified_baseline_f5_static_t0_imaging,T0,0,162,55,107,0.5690739167374681,0.4096238775388046,0.5432098765432098,0.4909090909090909,0.5700934579439252
simplified_baseline_f5_static_t0_imaging,T0,1,162,55,107,0.4912489379779099,0.3243215574418654,0.41358024691358025,0.6545454545454545,0.2897196261682243
simplified_baseline_f5_static_t0_imaging,T0,2,162,55,107,0.514018691588785,0.3474546635766586,0.5740740740740741,0.2909090909090909,0.719626168224299
simplified_baseline_f5_static_t0_imaging,T0,3,161,55,106,0.45454545454545453,0.3131300209917127,0.45962732919254656,0.41818181818181815,0.4811320754716981
simplified_baseline_f5_static_t0_imaging,T0,4,161,55,106,0.5,0.3416149068322981,0.3416149068322981,1.0,0.0
simplified_baseline_f5_static_t0_imaging,T0-T1,0,162,55,107,0.5690739167374681,0.4096238775388046,0.5432098765432098,0.4909090909090909,0.5700934579439252
simplified_baseline_f5_static_t0_imaging,T0-T1,1,162,55,107,0.4912489379779099,0.3243215574418654,0.41358024691358025,0.6545454545454545,0.2897196261682243
simplified_baseline_f5_static_t0_imaging,T0-T1,2,162,55,107,0.514018691588785,0.3474546635766586,0.5740740740740741,0.2909090909090909,0.719626168224299
simplified_baseline_f5_static_t0_imaging,T0-T1,3,161,55,106,0.45454545454545453,0.3131300209917127,0.45962732919254656,0.41818181818181815,0.4811320754716981
simplified_baseline_f5_static_t0_imaging,T0-T1,4,161,55,106,0.5,0.3416149068322981,0.3416149068322981,1.0,0.0
simplified_baseline_f5_static_t0_imaging,T0-T2,0,162,55,107,0.5690739167374681,0.4096238775388046,0.5432098765432098,0.4909090909090909,0.5700934579439252
simplified_baseline_f5_static_t0_imaging,T0-T2,1,162,55,107,0.4912489379779099,0.3243215574418654,0.41358024691358025,0.6545454545454545,0.2897196261682243
simplified_baseline_f5_static_t0_imaging,T0-T2,2,162,55,107,0.514018691588785,0.3474546635766586,0.5740740740740741,0.2909090909090909,0.719626168224299
simplified_baseline_f5_static_t0_imaging,T0-T2,3,161,55,106,0.45454545454545453,0.3131300209917127,0.45962732919254656,0.41818181818181815,0.4811320754716981
simplified_baseline_f5_static_t0_imaging,T0-T2,4,161,55,106,0.5,0.3416149068322981,0.3416149068322981,1.0,0.0
temporal_t1_t2_swap,T0,0,162,55,107,0.7364485981308412,0.646462538438846,0.5925925925925926,0.7636363636363637,0.5046728971962616
temporal_t1_t2_swap,T0,1,162,55,107,0.6853016142735769,0.5649473293218674,0.6851851851851852,0.38181818181818183,0.8411214953271028
temporal_t1_t2_swap,T0,2,162,55,107,0.7191163976210706,0.5334129103583285,0.6728395061728395,0.4909090909090909,0.7663551401869159
temporal_t1_t2_swap,T0,3,161,55,106,0.7180102915951972,0.5869337567209492,0.7267080745341615,0.509090909090909,0.839622641509434
temporal_t1_t2_swap,T0,4,161,55,106,0.7780445969125215,0.6512363711225522,0.7329192546583851,0.6909090909090909,0.7547169811320755
temporal_t1_t2_swap,T0-T1,0,162,55,107,0.7265930331350892,0.6207035601779916,0.6111111111111112,0.7272727272727273,0.5514018691588785
temporal_t1_t2_swap,T0-T1,1,162,55,107,0.7288020390824129,0.5713383735770479,0.5617283950617284,0.8545454545454545,0.411214953271028
temporal_t1_t2_swap,T0-T1,2,162,55,107,0.739677145284622,0.5927229363998455,0.6358024691358025,0.8363636363636363,0.5327102803738317
temporal_t1_t2_swap,T0-T1,3,161,55,106,0.734819897084048,0.5783684928409659,0.6024844720496895,0.8545454545454545,0.4716981132075472
temporal_t1_t2_swap,T0-T1,4,161,55,106,0.8068610634648371,0.694569218500459,0.6211180124223602,0.8909090909090909,0.4811320754716981
temporal_t1_t2_swap,T0-T2,0,162,55,107,0.7452846219201359,0.6523935560622643,0.6296296296296297,0.6909090909090909,0.5981308411214953
temporal_t1_t2_swap,T0-T2,1,162,55,107,0.718266779949023,0.560738774961018,0.6296296296296297,0.7818181818181819,0.5514018691588785
temporal_t1_t2_swap,T0-T2,2,162,55,107,0.7802888700084961,0.6595873873008556,0.7345679012345679,0.6181818181818182,0.794392523364486
temporal_t1_t2_swap,T0-T2,3,161,55,106,0.7437392795883361,0.6156451791041465,0.7267080745341615,0.5818181818181818,0.8018867924528302
temporal_t1_t2_swap,T0-T2,4,161,55,106,0.7979416809605488,0.6737625206094319,0.7204968944099379,0.8181818181818182,0.6698113207547169
