population,seed,arm,fold,timing,raw_input_dim,train_rows,fit_scope,validation_rows_in_fit,test_rows_in_fit,fitted_transform_sha256,dimension,input_dim,max_components,component_explained_variance_ratio,incremental_explained_variance_ratio,cumulative_explained_variance_ratio
full_808,2026,LOCAL0,1,T2,576,525,outer_train_timing_prefix,0,0,003f8364f4805370f752944b1f3acded010615c37b6828e90ec608e633ee2be5,64,576,64,0.00022565463228040717,0.014535193706232664,0.9910920701801798
full_808,2026,LOCAL0,1,T3,768,525,outer_train_timing_prefix,0,0,faefd52c4e9c3b02fe80ab4e6653fa87f90226884954466fbd8100ce7226cfd2,8,768,64,0.02413242056504986,0.8276407947320998,0.8276407947320997
full_808,2026,LOCAL0,1,T3,768,525,outer_train_timing_prefix,0,0,faefd52c4e9c3b02fe80ab4e6653fa87f90226884954466fbd8100ce7226cfd2,16,768,64,0.00609298571312959,0.09692101991005811,0.9245618146421577
full_808,2026,LOCAL0,1,T3,768,525,outer_train_timing_prefix,0,0,faefd52c4e9c3b02fe80ab4e6653fa87f90226884954466fbd8100ce7226cfd2,32,768,64,0.0010921211132116483,0.044301046035078985,0.9688628606772368
full_808,2026,LOCAL0,1,T3,768,525,outer_train_timing_prefix,0,0,faefd52c4e9c3b02fe80ab4e6653fa87f90226884954466fbd8100ce7226cfd2,64,768,64,0.0002931256177754026,0.01841607679258625,0.9872789374698229
ftv_complete_375,2026,LOCAL0,1,T0,192,239,outer_train_timing_prefix,0,0,4d7423996f1e66ca5237142c7d5dee3323fbcb0eece65b127a752cf079d2efb9,8,192,64,0.0073370071414931995,0.9583455163222382,0.9583455163222383
ftv_complete_375,2026,LOCAL0,1,T0,192,239,outer_train_timing_prefix,0,0,4d7423996f1e66ca5237142c7d5dee3323fbcb0eece65b127a752cf079d2efb9,16,192,64,0.0016471432726602763,0.024874512276810954,0.9832200285990491
ftv_complete_375,2026,LOCAL0,1,T0,192,239,outer_train_timing_prefix,0,0,4d7423996f1e66ca5237142c7d5dee3323fbcb0eece65b127a752cf079d2efb9,32,192,64,0.00032944717008340934,0.011661121503948284,0.9948811501029974
ftv_complete_375,2026,LOCAL0,1,T0,192,239,outer_train_timing_prefix,0,0,4d7423996f1e66ca5237142c7d5dee3323fbcb0eece65b127a752cf079d2efb9,64,192,64,4.9836479289490666e-05,0.004299594691311615,0.999180744794309
ftv_complete_375,2026,LOCAL0,1,T1,384,239,outer_train_timing_prefix,0,0,a7ab47c7924eb90c6dd457d3c976d3fcaacb2b6350a972b2af2c1ff856114997,8,384,64,0.013724301850705022,0.9237823754705676,0.9237823754705677
ftv_complete_375,2026,LOCAL0,1,T1,384,239,outer_train_timing_prefix,0,0,a7ab47c7924eb90c6dd457d3c976d3fcaacb2b6350a972b2af2c1ff856114997,16,384,64,0.0027717896974214537,0.044143134082658284,0.967925509553226
ftv_complete_375,2026,LOCAL0,1,T1,384,239,outer_train_timing_prefix,0,0,a7ab47c7924eb90c6dd457d3c976d3fcaacb2b6350a972b2af2c1ff856114997,32,384,64,0.0006363047956401227,0.019363909618122413,0.9872894191713488
ftv_complete_375,2026,LOCAL0,1,T1,384,239,outer_train_timing_prefix,0,0,a7ab47c7924eb90c6dd457d3c976d3fcaacb2b6350a972b2af2c1ff856114997,64,384,64,0.0001281770287587963,0.009172963776487807,0.9964623829478367
ftv_complete_375,2026,LOCAL0,1,T2,576,239,outer_train_timing_prefix,0,0,602ea047e4509085d40d07c9e81a0943c89eec347a46c7274e420488bfdeffae,8,576,64,0.024195992340000933,0.8844760904625075,0.8844760904625076
ftv_complete_375,2026,LOCAL0,1,T2,576,239,outer_train_timing_prefix,0,0,602ea047e4509085d40d07c9e81a0943c89eec347a46c7274e420488bfdeffae,16,576,64,0.0048122325560727396,0.0663139561426261,0.9507900466051336
ftv_complete_375,2026,LOCAL0,1,T2,576,239,outer_train_timing_prefix,0,0,602ea047e4509085d40d07c9e81a0943c89eec347a46c7274e420488bfdeffae,32,576,64,0.0008162851548865619,0.029846955757001102,0.9806370023621348
ftv_complete_375,2026,LOCAL0,1,T2,576,239,outer_train_timing_prefix,0,0,602ea047e4509085d40d07c9e81a0943c89eec347a46c7274e420488bfdeffae,64,576,64,0.00019862559542369797,0.012975909121864058,0.9936129114839989
ftv_complete_375,2026,LOCAL0,1,T3,768,239,outer_train_timing_prefix,0,0,2336f1d8fd7890bf2e9c5b9af9e93dd99a30e7dd45d775a54e2851f8dd276301,8,768,64,0.02618899829923078,0.8375719690649389,0.8375719690649389
ftv_complete_375,2026,LOCAL0,1,T3,768,239,outer_train_timing_prefix,0,0,2336f1d8fd7890bf2e9c5b9af9e93dd99a30e7dd45d775a54e2851f8dd276301,16,768,64,0.005803153041674867,0.09380181231067378,0.9313737813756128
ftv_complete_375,2026,LOCAL0,1,T3,768,239,outer_train_timing_prefix,0,0,2336f1d8fd7890bf2e9c5b9af9e93dd99a30e7dd45d775a54e2851f8dd276301,32,768,64,0.0010957908365823062,0.042415510945780895,0.9737892923213939
ftv_complete_375,2026,LOCAL0,1,T3,768,239,outer_train_timing_prefix,0,0,2336f1d8fd7890bf2e9c5b9af9e93dd99a30e7dd45d775a54e2851f8dd276301,64,768,64,0.0002540939916951348,0.01694970413706257,0.9907389964584564
full_808,2026,LOCAL0,2,T0,192,525,outer_train_timing_prefix,0,0,bd71e5b79552499adf43dbe3283fd8a9d2afe7b6cb30bcf13157af193956054d,8,192,64,0.007251524167212513,0.9546453580101909,0.9546453580101907
full_808,2026,LOCAL0,2,T0,192,525,outer_train_timing_prefix,0,0,bd71e5b79552499adf43dbe3283fd8a9d2afe7b6cb30bcf13157af193956054d,16,192,64,0.0016035096691301908,0.027323597028329538,0.9819689550385202
full_808,2026,LOCAL0,2,T0,192,525,outer_train_timing_prefix,0,0,bd71e5b79552499adf43dbe3283fd8a9d2afe7b6cb30bcf13157af193956054d,32,192,64,0.0003534539486378547,0.011852766875227438,0.9938217219137476
full_808,2026,LOCAL0,2,T0,192,525,outer_train_timing_prefix,0,0,bd71e5b79552499adf43dbe3283fd8a9d2afe7b6cb30bcf13157af193956054d,64,192,64,6.081745889948922e-05,0.0050155914479477525,0.9988373133616953
