comparison_name,population,seed,arm,timing,reference_selector,comparison_selector,n,reference_auroc,comparison_auroc,delta_auroc,reference_auprc,comparison_auprc,delta_auprc,reference_brier,comparison_brier,delta_brier,brier_improvement
delta1_C_plus_Mk_vs_C,ftv_complete_375,3026,LOCAL0,T2,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",375,0.6966723842195541,0.6221269296740994,-0.07454545454545469,0.5362125873999827,0.4186912903116265,-0.11752129708835618,0.2430950945429407,0.22703375869231202,-0.01606133585062869,0.01606133585062869
delta1_C_plus_Mk_vs_C,ftv_complete_375,3026,LOCAL0,T3,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",375,0.6966723842195541,0.6339279588336193,-0.06274442538593483,0.5362125873999827,0.448372466765527,-0.08784012063445568,0.2430950945429407,0.22820120253026432,-0.01489389201267638,0.01489389201267638
delta1_C_plus_Mk_vs_C,ftv_complete_375,3026,LOCAL3,T0,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",375,0.6966723842195541,0.6544082332761577,-0.04226415094339642,0.5362125873999827,0.4873491956826775,-0.048863391717305193,0.2430950945429407,0.2245513811142996,-0.018543713428641112,0.018543713428641112
delta1_C_plus_Mk_vs_C,ftv_complete_375,3026,LOCAL3,T1,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",375,0.6966723842195541,0.6380102915951973,-0.05866209262435684,0.5362125873999827,0.4389630937315868,-0.09724949366839586,0.2430950945429407,0.22677087378471644,-0.01632422075822426,0.01632422075822426
delta1_C_plus_Mk_vs_C,ftv_complete_375,3026,LOCAL3,T2,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",375,0.6966723842195541,0.6393138936535163,-0.05735849056603781,0.5362125873999827,0.417945790141208,-0.1182667972587747,0.2430950945429407,0.23208275864162534,-0.011012335901315368,0.011012335901315368
delta1_C_plus_Mk_vs_C,ftv_complete_375,3026,LOCAL3,T3,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",375,0.6966723842195541,0.6286106346483704,-0.06806174957118372,0.5362125873999827,0.44262439641281315,-0.09358819098716953,0.2430950945429407,0.22855471138097538,-0.01454038316196532,0.01454038316196532
delta1_C_plus_Mk_vs_C,full_808,2026,LOCAL0,T0,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6796145318096538,0.6640695889476378,-0.01554494286201602,0.5424197284072237,0.5182865863682665,-0.024133142038957223,0.22583847913185245,0.22804033880909327,0.0022018596772408194,-0.0022018596772408194
delta1_C_plus_Mk_vs_C,full_808,2026,LOCAL0,T1,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6796145318096538,0.6673648302916596,-0.012249701517994205,0.5424197284072237,0.5271138331394585,-0.015305895267765268,0.22583847913185245,0.2216320190502964,-0.004206460081556063,0.004206460081556063
delta1_C_plus_Mk_vs_C,full_808,2026,LOCAL0,T2,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6796145318096538,0.6828790721473649,0.0032645403377110638,0.5424197284072237,0.5391807491775237,-0.0032389792297000675,0.22583847913185245,0.228895062557263,0.0030565834254105417,-0.0030565834254105417
delta1_C_plus_Mk_vs_C,full_808,2026,LOCAL0,T3,"{""model_key"":""C""}","{""model_key"":""C+M|PCA_SELECTED""}",808,0.6796145318096538,0.656394337369947,-0.0232201944397068,0.5424197284072237,0.49522673972552345,-0.0471929886817003,0.22583847913185245,0.22730764665075856,0.001469167518906106,-0.001469167518906106
