population,seed,arm,timing,model_key,model_family,representation,dimension,dimension_values,n_folds,fold_sizes,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,2026,LOCAL0,T1,M|PCA_SELECTED,M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5014408233276157,0.3011069570922324,0.49313893653516294,0.22387826036766445
ftv_complete_375,2026,LOCAL0,T1,M|R16,M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5124871355060034,0.3319833476008717,0.5108919382504289,0.22597151825935127
ftv_complete_375,2026,LOCAL0,T1,M|R32,M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.4807547169811321,0.28222510711630766,0.48001715265866207,0.23768727846674953
ftv_complete_375,2026,LOCAL0,T1,M|RAW,M,raw,384,[384],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.5129331046312179,0.3114418269349859,0.5062607204116638,0.2823936303150286
ftv_complete_375,2026,LOCAL0,T2,C,C,none,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407
ftv_complete_375,2026,LOCAL0,T2,C+F,C+F,none,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.726106346483705,0.5400010651611841,0.6954545454545455,0.1887354938947084
ftv_complete_375,2026,LOCAL0,T2,C+F+M_residual|PCA16,C+F+M_residual,pca,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6947512864493997,0.4956836190408518,0.6471698113207547,0.20727598275885156
ftv_complete_375,2026,LOCAL0,T2,C+F+M_residual|PCA32,C+F+M_residual,pca,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6630531732418524,0.45770899859762487,0.6433962264150943,0.22891964781969693
ftv_complete_375,2026,LOCAL0,T2,C+F+M_residual|PCA64,C+F+M_residual,pca,64,[64],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6592795883361922,0.43784539399714134,0.6312178387650085,0.2358667664182739
ftv_complete_375,2026,LOCAL0,T2,C+F+M_residual|PCA8,C+F+M_residual,pca,8,[8],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7320754716981133,0.5437046369734462,0.6743567753001716,0.18359629056466498
ftv_complete_375,2026,LOCAL0,T2,C+F+M_residual|PCA_SELECTED,C+F+M_residual,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6966037735849058,0.4921749777785167,0.6592624356775301,0.2062052205448084
ftv_complete_375,2026,LOCAL0,T2,C+F+M|PCA16,C+F+M,pca,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6956775300171527,0.5154151305698957,0.6452830188679245,0.20506820931062497
ftv_complete_375,2026,LOCAL0,T2,C+F+M|PCA32,C+F+M,pca,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6682332761578045,0.45174142230230596,0.6736706689536878,0.22713772403629082
ftv_complete_375,2026,LOCAL0,T2,C+F+M|PCA64,C+F+M,pca,64,[64],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.66926243567753,0.43763397902561885,0.6346483704974271,0.2430583350712519
ftv_complete_375,2026,LOCAL0,T2,C+F+M|PCA8,C+F+M,pca,8,[8],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7142024013722126,0.5204370183370861,0.6631217838765009,0.19692668786283365
ftv_complete_375,2026,LOCAL0,T2,C+F+M|PCA_SELECTED,C+F+M,pca_selected,-1,[-1],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.6841509433962264,0.47903616704618485,0.6510291595197255,0.21536850428950446
ftv_complete_375,2026,LOCAL0,T2,C+F+M|R16,C+F+M,random_projection,16,[16],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7244596912521442,0.5338515539239431,0.6714408233276158,0.1883924925757222
ftv_complete_375,2026,LOCAL0,T2,C+F+M|R32,C+F+M,random_projection,32,[32],5,"{""0"":69,""1"":67,""2"":83,""3"":72,""4"":84}",375,110,265,0.7133790737564322,0.5112487293383317,0.6597770154373928,0.19509910883196402
