population,seed,arm,fold,timing,raw_input_dim,train_rows,fit_scope,validation_rows_in_fit,test_rows_in_fit,fitted_transform_sha256,component,explained_variance,explained_variance_ratio,cumulative_explained_variance_ratio
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,9,3.415165074098141,0.011188390590675501,0.9209641976743386
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,10,2.44149270085008,0.007998551568874754,0.9289627492432133
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,11,1.8864611444634642,0.006180217840264617,0.9351429670834779
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,12,1.8031221725658004,0.0059071918082030115,0.9410501588916809
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,13,1.4900463079264323,0.004881526874854597,0.9459316857665354
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,14,1.275235830184371,0.004177788263161731,0.9501094740296971
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,15,1.1925896031934304,0.003907031726257156,0.9540165057559543
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,16,1.134539513747057,0.0037168543671960604,0.9577333601231504
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,17,0.8539232653404097,0.002797530081211819,0.9605308902043622
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,18,0.7968703215159224,0.0026106194616644465,0.9631415096660266
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,19,0.7016679891685819,0.002298727984580684,0.9654402376506073
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,20,0.6304177223201619,0.0020653056468916352,0.9675055432974989
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,21,0.598409939406054,0.00196044524646746,0.9694659885439664
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,22,0.5044612874501824,0.001652660940074218,0.9711186494840406
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,23,0.4841880613056281,0.0015862440121316452,0.9727048934961723
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,24,0.44116133604924473,0.0014452845570068515,0.9741501780531792
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,25,0.3973659919894494,0.0013018070369565486,0.9754519850901358
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,26,0.39131889362009775,0.0012819961941338456,0.9767339812842696
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,27,0.3533805393490322,0.00115770670395036,0.9778916879882199
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,28,0.310158949960751,0.001016108856252299,0.9789077968444722
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,29,0.3039380302484393,0.0009957285589417932,0.979903525403414
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,30,0.28748927311904526,0.0009418409384309698,0.9808453663418449
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,31,0.2715867712772542,0.0008897428997960789,0.981735109241641
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,32,0.236605438892621,0.0007751408815598514,0.9825102501232008
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,33,0.22466364484813398,0.0007360184809659632,0.9832462686041668
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,34,0.208998886187138,0.0006846993105583153,0.9839309679147251
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,35,0.20595663687890065,0.0006747326258457878,0.984605700540571
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,36,0.19273698989365373,0.0006314238630970803,0.9852371244036681
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,37,0.18961820116858388,0.0006212064283117087,0.9858583308319798
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,38,0.17017583873593337,0.0005575114852614336,0.9864158423172412
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,39,0.15994157849557872,0.0005239831203094272,0.9869398254375507
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,40,0.14641345154810037,0.00047966374922057866,0.9874194891867712
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,41,0.13784216961663584,0.00045158345206617267,0.9878710726388374
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,42,0.1353522778735054,0.0004434263408442509,0.9883144989796817
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,43,0.1284295834369695,0.00042074696587543963,0.9887352459455572
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,44,0.12293128897149737,0.00040273405442678976,0.989137979999984
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,45,0.11720612909064385,0.00038397791129717257,0.9895219579112812
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,46,0.11160487125033111,0.00036562768249218526,0.9898875855937733
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,47,0.1054215790786524,0.00034537065641818896,0.9902329562501915
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,48,0.1006942723946722,0.000329883570882141,0.9905628398210736
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,49,0.09229978452905126,0.000302382467125376,0.990865222288199
