comparison_name,population,seed,arm,timing,reference_selector,comparison_selector,n,reference_auroc,comparison_auroc,delta_auroc,reference_auprc,comparison_auprc,delta_auprc,reference_brier,comparison_brier,delta_brier,brier_improvement
raw_vs_compact_M,ftv_complete_375,2026,LOCAL3,T1,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",375,0.5239451114922813,0.4874785591766724,-0.03646655231560891,0.3268956615625282,0.29809648986910936,-0.028799171693418835,0.28004981894835856,0.25407770810827546,-0.025972110840083107,0.025972110840083107
raw_vs_compact_M,ftv_complete_375,2026,LOCAL3,T2,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",375,0.5556432246998285,0.5065523156089193,-0.049090909090909185,0.3475310363097695,0.3095487079427682,-0.03798232836700133,0.27462162051144934,0.2651326031262439,-0.009489017385205412,0.009489017385205412
raw_vs_compact_M,ftv_complete_375,2026,LOCAL3,T3,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",375,0.5772898799313894,0.5065180102915952,-0.0707718696397942,0.36047864594455925,0.31210204888356335,-0.048376597060995896,0.2711178269082221,0.26710441866859197,-0.004013408239630145,0.004013408239630145
raw_vs_compact_M,ftv_complete_375,3026,LOCAL0,T0,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",375,0.4770497427101201,0.46734133790737564,-0.00970840480274443,0.293370504941492,0.2851648245887295,-0.008205680352762534,0.2786728978217708,0.25673759035131444,-0.021935307470456356,0.021935307470456356
raw_vs_compact_M,ftv_complete_375,3026,LOCAL0,T1,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",375,0.5394511149228131,0.5243910806174957,-0.015060034305317327,0.3084478135164356,0.30656660028118643,-0.0018812132352491462,0.3059455382645371,0.2560377767931547,-0.04990776147138237,0.04990776147138237
raw_vs_compact_M,ftv_complete_375,3026,LOCAL0,T2,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",375,0.47879931389365354,0.5326929674099485,0.05389365351629499,0.27164480715782446,0.3259261853263371,0.05428137816851264,0.3268544807420908,0.2571839506909977,-0.06967053005109308,0.06967053005109308
raw_vs_compact_M,ftv_complete_375,3026,LOCAL0,T3,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",375,0.5312521440823328,0.5735506003430532,0.042298456260720374,0.33333265649549265,0.34472402361194476,0.011391367116452111,0.2668996662295793,0.2448521156783743,-0.02204755055120497,0.02204755055120497
raw_vs_compact_M,ftv_complete_375,3026,LOCAL3,T0,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",375,0.5489879931389365,0.49636363636363634,-0.052624356775300196,0.3219058609924963,0.2874578244915529,-0.03444803650094341,0.25948521298914706,0.27643261925692003,0.01694740626777297,-0.01694740626777297
raw_vs_compact_M,ftv_complete_375,3026,LOCAL3,T1,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",375,0.5093310463121784,0.5322813036020584,0.022950257289879983,0.29889198005421985,0.3216056422406183,0.02271366218639842,0.2839318435311871,0.2586045036599887,-0.025327339871198395,0.025327339871198395
raw_vs_compact_M,ftv_complete_375,3026,LOCAL3,T2,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",375,0.5672384219554032,0.526106346483705,-0.04113207547169817,0.33739488071636703,0.3211067054239275,-0.016288175292439533,0.26749421060197254,0.2645986425606163,-0.0028955680413562113,0.0028955680413562113
raw_vs_compact_M,ftv_complete_375,3026,LOCAL3,T3,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",375,0.5625042881646656,0.5763979416809606,0.013893653516295013,0.34598356611223746,0.365174214273127,0.019190648160889556,0.2818583157905828,0.2356487963954814,-0.0462095193951014,0.0462095193951014
raw_vs_compact_M,full_808,2026,LOCAL0,T0,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",808,0.5062118369435442,0.5226743987719598,0.016462561828415545,0.35452849617507326,0.354320263365289,-0.00020823280978427006,0.2780097106951712,0.24760825319554175,-0.03040145749962947,0.03040145749962947
raw_vs_compact_M,full_808,2026,LOCAL0,T1,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",808,0.5410131332082552,0.5462391267269315,0.005225993518676364,0.3874599093620804,0.3764228748880854,-0.011037034473995011,0.25445453013438124,0.23021489813573282,-0.024239631998648425,0.024239631998648425
raw_vs_compact_M,full_808,2026,LOCAL0,T2,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",808,0.5307453522087668,0.5487429643527205,0.01799761214395368,0.3729294131836608,0.38731534449240823,0.014385931308747435,0.2859429657682377,0.2449674375361229,-0.04097552823211478,0.04097552823211478
