population,seed,arm,fold,timing,raw_input_dim,train_rows,fit_scope,validation_rows_in_fit,test_rows_in_fit,fitted_transform_sha256,artifact_path,artifact_sha256
full_808,2026,LOCAL3,0,T3,768,525,outer_train_timing_prefix,0,0,392f4c0dfefade9931ffd41b485ec9a3d3618a29186f470ae4ab5bfc91d501d7,features/pca/seed_2026/LOCAL3/fold_0/full_808/T3.private.npz,cd7a914f27a653eed6bfc5d0eb16fb3c55e55be86bc3c9ba166154175f854625
ftv_complete_375,2026,LOCAL3,0,T0,192,247,outer_train_timing_prefix,0,0,089ac4c8ff5ead3a366051f8ae06332ff3a1429786c7699ca52f1670f2bdc20c,features/pca/seed_2026/LOCAL3/fold_0/ftv_complete_375/T0.private.npz,ffaaf148f7242cefd7f4935a6534cb6d3a35dd4dea7e0efd3e8da313f5e60f56
ftv_complete_375,2026,LOCAL3,0,T1,384,247,outer_train_timing_prefix,0,0,de0a7d2e2b0224e90ed51411244a967e1e9b4f2ffb6ef6b10fc60b60a6a504de,features/pca/seed_2026/LOCAL3/fold_0/ftv_complete_375/T1.private.npz,67a6171f3e3ac187d7a4a885d12b2b4f1a204e30f87cd3fb3768f664bf80979c
ftv_complete_375,2026,LOCAL3,0,T2,576,247,outer_train_timing_prefix,0,0,94a8a3c75964a97badddb58585808593d7a26ae2844fab7874905c33edd85ae6,features/pca/seed_2026/LOCAL3/fold_0/ftv_complete_375/T2.private.npz,886f3f6de6a15d8a774eef7b62ea74a955bd4abe7711fcb08697633f8e658e04
ftv_complete_375,2026,LOCAL3,0,T3,768,247,outer_train_timing_prefix,0,0,9ebc59488262a91580d4fa7f0f4d16e42abf4e2f1b58dd8478fd61142cf55b2d,features/pca/seed_2026/LOCAL3/fold_0/ftv_complete_375/T3.private.npz,d02fd1426e1e62d4b7e5f539528fcc9d8780da8f6d1e0cf97590bc2a9bcf9923
full_808,2026,LOCAL3,1,T0,192,525,outer_train_timing_prefix,0,0,e253c085800dce334d464a1afebf5b576a1f2a64b6407b2186ab153948188f12,features/pca/seed_2026/LOCAL3/fold_1/full_808/T0.private.npz,30a330b9d17f1b05f64260f3b737f225ae29bb256d0d1dbb10655ac3fcb10aee
full_808,2026,LOCAL3,1,T1,384,525,outer_train_timing_prefix,0,0,575bc5d1798607ba5f745bd86e4c8e002de37b4be335398df5984b59cad0c869,features/pca/seed_2026/LOCAL3/fold_1/full_808/T1.private.npz,5efedf492e32d44082a3c55950e3a7155aa8517f356981f9476539e1483d677c
full_808,2026,LOCAL3,1,T2,576,525,outer_train_timing_prefix,0,0,0cff8ee105f49e026360aa0f3bb2a0a5429e935f4de0062bb5b95c7ed6f2b058,features/pca/seed_2026/LOCAL3/fold_1/full_808/T2.private.npz,27bada353da0df1020c2656f7a650cbb9bbe3f5d6b67a77127ddac30241abf3e
full_808,2026,LOCAL3,1,T3,768,525,outer_train_timing_prefix,0,0,26602ebd189da4ba170a4ab1fa15ca59c6a494dcaacc6f3d3e03b92ab8708c98,features/pca/seed_2026/LOCAL3/fold_1/full_808/T3.private.npz,4f5641288d129811684e76ccb93b890dc7a3425b85a114c8942efb1089db50aa
ftv_complete_375,2026,LOCAL3,1,T0,192,239,outer_train_timing_prefix,0,0,80b6dfe7b3e91202d3628301b670d1e8a908129dcfaf32928d544c7d7a99a783,features/pca/seed_2026/LOCAL3/fold_1/ftv_complete_375/T0.private.npz,fa99ad7565285af4c070d42920d29e53b56ea006223f0562f90247999ec3d52f
ftv_complete_375,2026,LOCAL3,1,T1,384,239,outer_train_timing_prefix,0,0,1588312fcdf969e78923b111b8514535cdce6aee7771c162b2d619fb40c3b094,features/pca/seed_2026/LOCAL3/fold_1/ftv_complete_375/T1.private.npz,adae6e68b460b81473724a5459de7ef35a795f4fb26f0d21f5387f2b6e46f957
ftv_complete_375,2026,LOCAL3,1,T2,576,239,outer_train_timing_prefix,0,0,fe9810ee1af193c837f21afe3b839beffa8da05a2bc742ec9d076dabb1ca962c,features/pca/seed_2026/LOCAL3/fold_1/ftv_complete_375/T2.private.npz,096dd496e2f403de8f33d5634471c990cb4548b7ff10ed24a7ec4892731117d0
ftv_complete_375,2026,LOCAL3,1,T3,768,239,outer_train_timing_prefix,0,0,70d5360e2511859f7205197f73dd7d2243ebd13d9d883e9472b7eca01c87138f,features/pca/seed_2026/LOCAL3/fold_1/ftv_complete_375/T3.private.npz,f7ba0acd5c8cdfe517cc6769c0efb5fd763e8c99e37eced3ce90541fc44f8e3d
full_808,2026,LOCAL3,2,T0,192,525,outer_train_timing_prefix,0,0,f98829952f58c20b230f278e92aa6ef916c0da2b4fabd719f046a88d9ce67d52,features/pca/seed_2026/LOCAL3/fold_2/full_808/T0.private.npz,b0ab2b0504f63239912e8e5f5c4e55e420cd63b03f4cca8a163afb39cc8e026a
full_808,2026,LOCAL3,2,T1,384,525,outer_train_timing_prefix,0,0,52305480bf57313669f3973e8217060ddcb4b7e5fa0a4fccb18ba3ebefa90d70,features/pca/seed_2026/LOCAL3/fold_2/full_808/T1.private.npz,545fdcd63e9665f01a138a76e65716679262eda2de1a1c64987077991b71eeb2
full_808,2026,LOCAL3,2,T2,576,525,outer_train_timing_prefix,0,0,558283bfc1bab2aa29f4245f5c8203088815cf34ec9bf6cc4e51cd068ac8d5bd,features/pca/seed_2026/LOCAL3/fold_2/full_808/T2.private.npz,00845c04267fe6d358dd5e79f71be47079458a5d2c210734556f2b6f62d518ed
full_808,2026,LOCAL3,2,T3,768,525,outer_train_timing_prefix,0,0,153c4976e7a2f34be8c32e1fe7fa2f4a2052db1a0a95b1c7f558934579087ea6,features/pca/seed_2026/LOCAL3/fold_2/full_808/T3.private.npz,0f170da79a5ad3bb800eb29717d161cfc844a55a9b84715e244d6baec3452072
ftv_complete_375,2026,LOCAL3,2,T0,192,240,outer_train_timing_prefix,0,0,81d92db67c2397c9039e62a3f8fc0ec93c4c24277c99c71f196856ba9d7a7739,features/pca/seed_2026/LOCAL3/fold_2/ftv_complete_375/T0.private.npz,bc222db2fe3178c5cd8fa3ab6b795dc42ec0f29beb3e72af8b35b3039b00aa22
ftv_complete_375,2026,LOCAL3,2,T1,384,240,outer_train_timing_prefix,0,0,35cc856dccca9f0bf1067b7fb1fa283bc11a839f88a60c880cfbd047a1d47af9,features/pca/seed_2026/LOCAL3/fold_2/ftv_complete_375/T1.private.npz,fda161284946b27b301303bd8de0236f322b8111d5b72fbe042a94acaecc123e
ftv_complete_375,2026,LOCAL3,2,T2,576,240,outer_train_timing_prefix,0,0,8b4a792d006c829e5c583f791adbfe67148f72c4fc1c6ea3fd46df36a1dcd3ee,features/pca/seed_2026/LOCAL3/fold_2/ftv_complete_375/T2.private.npz,60bffb1826f2a2712b21c1119cb0b5649491a3df340efda9515c0a8399a62124
ftv_complete_375,2026,LOCAL3,2,T3,768,240,outer_train_timing_prefix,0,0,700434bbbc01611bb9c56f00a156b2c83e9076ac83b0415da95f2cb86dda3a4a,features/pca/seed_2026/LOCAL3/fold_2/ftv_complete_375/T3.private.npz,2a1c7873531dbca326e861b667c37248c52704853ea8bbaa310b6b78e6037bc5
full_808,2026,LOCAL3,3,T0,192,526,outer_train_timing_prefix,0,0,3cceef4a5e127b82f4f3abe24864735b2b078f264aa35b12cba7113a577cd842,features/pca/seed_2026/LOCAL3/fold_3/full_808/T0.private.npz,62d0373d3a587ff6f3f02828ad3ead36eac5e2d32b330e63396ba86c790dabd6
full_808,2026,LOCAL3,3,T1,384,526,outer_train_timing_prefix,0,0,6250509c446ee334b4b2dab2948e4555f458167f258dcadf8bd374d10191b1aa,features/pca/seed_2026/LOCAL3/fold_3/full_808/T1.private.npz,fe254ae2e9c0cef1ef9b32d14df2f0caedb17605d0ab96e8bbb249fd45f59896
full_808,2026,LOCAL3,3,T2,576,526,outer_train_timing_prefix,0,0,2e5ca03e6df88041c94d186caed95b1983fb5da0d5153cf1bb8c92f5675bb097,features/pca/seed_2026/LOCAL3/fold_3/full_808/T2.private.npz,a68e58781ca3369d360b64a8c8fff9b4766b5574deaf02567d96114b15bc1fb3
full_808,2026,LOCAL3,3,T3,768,526,outer_train_timing_prefix,0,0,03dc91054357f77bf11b17ed397809121cebd86d5d670dde8ea5cafdd6f81ea2,features/pca/seed_2026/LOCAL3/fold_3/full_808/T3.private.npz,ced25e7aabfdf85fe42aa373a255812b44c25160128daad8bf6245a1387dfa67
ftv_complete_375,2026,LOCAL3,3,T0,192,242,outer_train_timing_prefix,0,0,a3d5e9bef4b6d4a6e2c895d333b4f67bcd1cae856d7de86f375172a9050264ff,features/pca/seed_2026/LOCAL3/fold_3/ftv_complete_375/T0.private.npz,8f62b6467389a837706640729a7803516a7c644441e5b9f7dcb14ae70612e6cf
ftv_complete_375,2026,LOCAL3,3,T1,384,242,outer_train_timing_prefix,0,0,bbdef82773a74f02bc4a7715c31657ca046216da73441adb18bc178e14529be8,features/pca/seed_2026/LOCAL3/fold_3/ftv_complete_375/T1.private.npz,7bc4f0cae76368528c19beef10409594008870ba112e2c4f342cf69fef46da5b
ftv_complete_375,2026,LOCAL3,3,T2,576,242,outer_train_timing_prefix,0,0,e258fc647e60524f4a62ddf6ec9748385dd59ef3ccad90c82ff48dcc99a33b5f,features/pca/seed_2026/LOCAL3/fold_3/ftv_complete_375/T2.private.npz,f9d91ed9da11144f295389c7b38b2eb502d72f98e32cbfe1b38d8e3d6e8741ec
ftv_complete_375,2026,LOCAL3,3,T3,768,242,outer_train_timing_prefix,0,0,f8176c8a63751948292d85789dbe5906c39e7c620752513f5a2633e52e4589f0,features/pca/seed_2026/LOCAL3/fold_3/ftv_complete_375/T3.private.npz,b674318ba442ff8bb185df458d291f7115454afac98f7011d6c07ff5b52ea517
full_808,2026,LOCAL3,4,T0,192,526,outer_train_timing_prefix,0,0,568fffa88f4c0e622878d4b6a37c30fb78a9dbfa004d8ed58013335cabd81e0e,features/pca/seed_2026/LOCAL3/fold_4/full_808/T0.private.npz,6ccb97043d1ce7ebfb1cd020d1f1c80cbc6bdfe57094c9d3f5e579d023af3b16
full_808,2026,LOCAL3,4,T1,384,526,outer_train_timing_prefix,0,0,26618c50856819a2a10e5aedc0d7e03e8c739aa5cae94b2bd78d7f9ed6a55543,features/pca/seed_2026/LOCAL3/fold_4/full_808/T1.private.npz,7b79d3a58678b7f7b1bc92a57dc82a1a4c9e09a5083053cb48d3e157ba44b7c7
full_808,2026,LOCAL3,4,T2,576,526,outer_train_timing_prefix,0,0,7123d529c5358a3e88d2dafec00efcf2819610671f281f2ae8d79076e9cb6248,features/pca/seed_2026/LOCAL3/fold_4/full_808/T2.private.npz,bde919ba69b72c5b1f9b822e8bfc0b3d74b69f96435b40f39036ff2d05c896de
full_808,2026,LOCAL3,4,T3,768,526,outer_train_timing_prefix,0,0,5358b374c44d228d8db973e6e63848c7ba8866ddabc78690f8a71773d2243310,features/pca/seed_2026/LOCAL3/fold_4/full_808/T3.private.npz,deeaa8a54474e44b6c87b9f8726bf3ffda0e6fbebb15c6729ef94a654e050da1
ftv_complete_375,2026,LOCAL3,4,T0,192,225,outer_train_timing_prefix,0,0,d565855fa84863231c0caa3eab6e85cdf7a7a18e16e8bb2d51c5ab7f9e530996,features/pca/seed_2026/LOCAL3/fold_4/ftv_complete_375/T0.private.npz,a4206bc3a3d4e1ad0dade2dd0fdb184bc2f19800584fbd9f389f52991496e38f
ftv_complete_375,2026,LOCAL3,4,T1,384,225,outer_train_timing_prefix,0,0,038f66ea81b05c9ba9db063d801cf3df3134abcba13f5aa6fdd2712919bc8a75,features/pca/seed_2026/LOCAL3/fold_4/ftv_complete_375/T1.private.npz,2b99d0f7dcfe83e392661456da1537aed54166040e550cffd8ec0736fafed0dc
ftv_complete_375,2026,LOCAL3,4,T2,576,225,outer_train_timing_prefix,0,0,52c95a5189c021d7c44ee2ffecdce513554731328eb48099a19f5216c3dbaec1,features/pca/seed_2026/LOCAL3/fold_4/ftv_complete_375/T2.private.npz,5807ccb484174877439255f8424f4235edcd6274d25e62d6d86be836079bb8bf
ftv_complete_375,2026,LOCAL3,4,T3,768,225,outer_train_timing_prefix,0,0,e8c1490f445cd96d8e44481f69d6c4c8ab70e988d2b4b803801de0e5c9db0176,features/pca/seed_2026/LOCAL3/fold_4/ftv_complete_375/T3.private.npz,01cc08def3d35bf78478f010369e56062ab222c4bb97702490c4a63e414b30d9
full_808,3026,LOCAL0,0,T0,192,525,outer_train_timing_prefix,0,0,9f9433599cea61d86b579b341854df3068c537d702e4445f619859ca5756d616,features/pca/seed_3026/LOCAL0/fold_0/full_808/T0.private.npz,7f1c9207b148af8989db42bcd403b4555b762424fd3ae710dc7548c1bf026351
full_808,3026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,7a20fb4b26a48d8b5e38fb9e27c15f6edea1375cfad5b579831a3e7daf7e38c6,features/pca/seed_3026/LOCAL0/fold_0/full_808/T1.private.npz,92a48c773ad436ca5bd3117e878fb495696310f950014fe533e02d43757bcd5a
