population,seed,arm,fold,timing,model_family,representation,dimension,raw_input_dim,feature_dim,train_rows,validation_rows,selected_C,validation_selection_auroc,train_auroc,validation_auroc,test_auroc,train_auprc,validation_auprc,test_auprc,train_brier,validation_brier,test_brier,train_test_auroc_gap
full_808,2026,LOCAL0,3,T0,M,pca,32,192,32,526,121,0.01,0.5405487804878047,0.6530838954808172,0.5405487804878047,0.5310463121783876,0.47963867936259375,0.36837314639003366,0.4157593042623851,0.21760779223201462,0.2293707958606325,0.23026109539495737,0.12203758330242964
full_808,2026,LOCAL0,3,T0,C+M,pca,32,192,66,526,121,0.0001,0.7192073170731708,0.7899634537053435,0.7192073170731708,0.7298456260720412,0.6868096603769751,0.5634644484899578,0.6339199418719375,0.24746082836904812,0.24806590995865674,0.24781605290123102,0.06011782763330231
full_808,2026,LOCAL0,3,T0,M,pca,64,192,64,526,121,0.0001,0.5689024390243902,0.6995636984206205,0.5689024390243902,0.5198970840480275,0.5701291485643745,0.40774668473917886,0.37882344240023147,0.24862406141715135,0.2489870573503715,0.24931199897794576,0.17966661437259301
full_808,2026,LOCAL0,3,T0,C+M,pca,64,192,98,526,121,0.01,0.7222560975609755,0.8376185339622945,0.7222560975609755,0.7017152658662092,0.7497849630641132,0.5387193866107964,0.6103346836443766,0.1707624331783733,0.20154887017574008,0.20393893572782196,0.13590326809608522
full_808,2026,LOCAL0,3,T0,M,random_projection,16,192,16,526,121,10.0,0.5823170731707317,0.6067811891230499,0.5823170731707317,0.53704974271012,0.45412479846494486,0.3806442330399988,0.40394247665496924,0.21620580562368388,0.22394410307360924,0.225942600540931,0.06973144641292994
full_808,2026,LOCAL0,3,T0,C+M,random_projection,16,192,50,526,121,1.0,0.7140243902439024,0.7880153913029478,0.7140243902439024,0.7174957118353344,0.6966462777627954,0.5446780449103591,0.6126282950425254,0.1693403319385415,0.20191893582616613,0.19548718183800792,0.0705196794676134
full_808,2026,LOCAL0,3,T0,M,random_projection,32,192,32,526,121,0.1,0.5832317073170732,0.6185822613623556,0.5832317073170732,0.5072041166380789,0.4402337540195692,0.39458306852193586,0.34676593177850623,0.21682954949587316,0.22261530207198363,0.2292032938934347,0.11137814472427676
full_808,2026,LOCAL0,3,T0,C+M,random_projection,32,192,66,526,121,0.1,0.7137195121951219,0.7891745689308196,0.7137195121951219,0.7207547169811321,0.6987815309133396,0.5416874283197635,0.6152588575494928,0.16958695474617871,0.19939032928324107,0.19611666704996436,0.06841985194968747
full_808,2026,LOCAL0,3,T1,C,none,-1,384,34,526,121,10.0,0.7382621951219512,0.7572730346304317,0.7382621951219512,0.7296740994854202,0.6388329198189054,0.5750207941682453,0.6354252946855325,0.1807365676125713,0.1911640191886704,0.18857396196006015,0.02759893514501155
full_808,2026,LOCAL0,3,T1,M,raw,384,384,384,526,121,0.01,0.6295731707317073,0.7063094682272633,0.6295731707317073,0.5780445969125215,0.5539523424542513,0.417577876011664,0.40126182814985867,0.20661377580114784,0.22187751723224633,0.22907832953433432,0.12826487131474174
full_808,2026,LOCAL0,3,T1,C+M,raw,384,384,418,526,121,0.01,0.7365853658536585,0.8258335614122647,0.7365853658536585,0.7224699828473414,0.7482548903166644,0.5690191381427776,0.5939747116067157,0.17091062973389923,0.19703334968575814,0.20112791441321642,0.10336357856492329
full_808,2026,LOCAL0,3,T1,M,pca,8,384,8,526,121,0.0001,0.5551829268292683,0.601114098497899,0.5551829268292683,0.5178387650085764,0.4324484718560895,0.4059248785681375,0.3873529379812409,0.24918593872979553,0.24922952966376233,0.24933785934391023,0.08327533348932259
full_808,2026,LOCAL0,3,T1,C+M,pca,8,384,42,526,121,100.0,0.7228658536585365,0.7790639640654935,0.7228658536585365,0.7195540308747855,0.6843628417461418,0.609366008920863,0.6084201249731247,0.17230840554225577,0.1925781838892834,0.19569257884084934,0.059509933190707964
full_808,2026,LOCAL0,3,T1,M,pca,16,384,16,526,121,0.0001,0.5670731707317074,0.6138811520937647,0.5670731707317074,0.5518010291595197,0.45070934023634424,0.40379401084339184,0.42248286442692917,0.24913187333949424,0.2491925982502319,0.24926640573808656,0.06208012293424503
full_808,2026,LOCAL0,3,T1,C+M,pca,16,384,50,526,121,0.01,0.7265243902439024,0.7825253972598328,0.7265243902439024,0.7385934819897084,0.6875461251845966,0.6207535574505798,0.6407860852924161,0.18602221911013433,0.1989591570751869,0.19589212373294967,0.04393191527012441
full_808,2026,LOCAL0,3,T1,M,pca,32,384,32,526,121,0.1,0.6371951219512195,0.6550319578832129,0.6371951219512195,0.5571183533447684,0.4933467969541032,0.42337548724618923,0.3926000310583523,0.20907297560451577,0.2188599266689925,0.22808370895197647,0.09791360453844444
full_808,2026,LOCAL0,3,T1,C+M,pca,32,384,66,526,121,0.01,0.7551829268292682,0.8015391302947854,0.7551829268292682,0.7210977701543739,0.7210732731163743,0.6022932198864807,0.6053813999257885,0.17985736774153271,0.1950611216056905,0.19967622106729777,0.08044136014041148
full_808,2026,LOCAL0,3,T1,M,pca,64,384,64,526,121,0.1,0.6079268292682927,0.7452868159644519,0.6079268292682927,0.5399656946826759,0.5943326246396887,0.40909116559148007,0.39691825782762213,0.1878744771946869,0.23314076772677858,0.2422379898417139,0.20532112128177604
full_808,2026,LOCAL0,3,T1,C+M,pca,64,384,98,526,121,0.0001,0.7310975609756099,0.8306473685057879,0.7310975609756099,0.7234991423670668,0.755017479139074,0.5666098864837018,0.5902713439406821,0.2469036268301479,0.24774264202925647,0.24775881205141184,0.1071482261387211
full_808,2026,LOCAL0,3,T1,M,random_projection,16,384,16,526,121,0.1,0.6027439024390244,0.6233960684558788,0.6027439024390244,0.5629502572898799,0.45118398044252606,0.4384679003928569,0.4325373566937002,0.21553980527136143,0.21804079648484825,0.2215027082061212,0.0604458111659989
full_808,2026,LOCAL0,3,T1,C+M,random_projection,16,384,50,526,121,1.0,0.7326219512195121,0.7941171735385506,0.7326219512195121,0.7399656946826757,0.6919153772988083,0.6231041957720025,0.6289862755936129,0.16816382681428294,0.1900553504129402,0.1889477431718466,0.0541514788558749
full_808,2026,LOCAL0,3,T1,M,random_projection,32,384,32,526,121,100.0,0.5460365853658538,0.64828618807657,0.5460365853658538,0.5677530017152659,0.47746974239681833,0.38033802533234373,0.39106071385865954,0.21075266661930217,0.23378063687731004,0.22786705844484376,0.08053318636130413
full_808,2026,LOCAL0,3,T1,C+M,random_projection,32,384,66,526,121,0.1,0.7121951219512196,0.7925233043002271,0.7121951219512196,0.7303602058319039,0.7128604379558254,0.5710515400129448,0.6103086768726999,0.16800961936506095,0.1955214334765724,0.19162609811231296,0.06216309846832324
full_808,2026,LOCAL0,3,T2,C,none,-1,576,34,526,121,10.0,0.7382621951219512,0.7572730346304317,0.7382621951219512,0.7296740994854202,0.6388329198189054,0.5750207941682453,0.6354252946855325,0.1807365676125713,0.1911640191886704,0.18857396196006015,0.02759893514501155
full_808,2026,LOCAL0,3,T2,M,raw,576,576,576,526,121,0.01,0.5704268292682927,0.750197221193631,0.5704268292682927,0.5801029159519726,0.6007796877657708,0.40145268561145436,0.4382017282966164,0.1959029689565074,0.22729022274763094,0.2287567250872416,0.17009430524165836
full_808,2026,LOCAL0,3,T2,C+M,raw,576,576,610,526,121,0.01,0.7097560975609756,0.856245874454623,0.7097560975609756,0.7063464837049743,0.7783280713460601,0.5580032043003069,0.6108880675890048,0.16148250684844764,0.20172621420882147,0.20185368564839606,0.14989939074964864
full_808,2026,LOCAL0,3,T2,M,pca,8,576,8,526,121,0.0001,0.5603658536585365,0.6143641427720445,0.5603658536585365,0.5591766723842195,0.4332057233881418,0.39124181498381777,0.3913152754939119,0.24914763033381748,0.24917820570420368,0.24925583913430388,0.05518747038782501
full_808,2026,LOCAL0,3,T2,C+M,pca,8,576,42,526,121,0.01,0.7338414634146342,0.7811408239820972,0.7338414634146342,0.7320754716981133,0.6798768128818724,0.6043317116237203,0.630828736876589,0.18673030701037527,0.19812069342198094,0.19606864046062997,0.0490653522839839
full_808,2026,LOCAL0,3,T2,M,pca,16,576,16,526,121,0.0001,0.5460365853658536,0.6233155700094988,0.5460365853658536,0.5955403087478558,0.458792294751012,0.39063653913168916,0.4199963143567024,0.249086010696048,0.24919637543724865,0.24919650837035984,0.02777526126164298
full_808,2026,LOCAL0,3,T2,C+M,pca,16,576,50,526,121,0.001,0.7167682926829269,0.7816882134174811,0.7167682926829269,0.7445969125214409,0.6776965940336355,0.6006475830422288,0.6532896468280553,0.23031170295167483,0.2342808006119436,0.23211965882133115,0.03709130089604018
full_808,2026,LOCAL0,3,T2,M,pca,32,576,32,526,121,0.0001,0.5722560975609756,0.6625022137072756,0.5722560975609756,0.5252144082332761,0.4906938659988846,0.4292154207518838,0.3748682504559907,0.24890073764994422,0.24910240980059506,0.2493069569105563,0.13728780547399944
full_808,2026,LOCAL0,3,T2,C+M,pca,32,576,66,526,121,0.001,0.7307926829268292,0.7985284884001739,0.7307926829268292,0.7204116638078902,0.693411418219684,0.616351618878106,0.6215503312970982,0.228838238329012,0.2336196453032675,0.23320623438221671,0.07811682459228364
full_808,2026,LOCAL0,3,T2,M,pca,64,576,64,526,121,1.0,0.575,0.7321816688937905,0.575,0.583876500857633,0.5876972950024936,0.42844487391210506,0.4470354380683025,0.19066707417870873,0.23500044873127776,0.23464039559091276,0.14830516803615756
full_808,2026,LOCAL0,3,T2,C+M,pca,64,576,98,526,121,0.0001,0.7326219512195122,0.8271376362436205,0.7326219512195122,0.7253859348198971,0.7344249750441657,0.610460964783504,0.6371826270833303,0.24696448763759987,0.24787359067991982,0.2476535913274054,0.10175170142372336
