population,seed,arm,timing,model_key,n_goal2,auroc_goal2,auprc_goal2,brier_goal2,n_compact_audit,auroc_compact_audit,auprc_compact_audit,brier_compact_audit,_merge,abs_diff_auroc,abs_diff_auprc,abs_diff_brier,pass
ftv_complete_375,2026,LOCAL0,T2,C+F+M|RAW,375,0.6190394511149228,0.4123891939110342,0.2378856582429737,375,0.6190394511149228,0.41238919391103424,0.23788565824297378,both,0.0,5.551115123125783e-17,8.326672684688674e-17,True
ftv_complete_375,2026,LOCAL0,T2,C+M|RAW,375,0.6017152658662093,0.392215078659754,0.2340507033777801,375,0.6017152658662093,0.392215078659754,0.2340507033777801,both,0.0,0.0,0.0,True
ftv_complete_375,2026,LOCAL0,T2,F,375,0.66295025728988,0.434818959248443,0.1939632279868335,375,0.66295025728988,0.43481895924844305,0.19396322798683355,both,0.0,5.551115123125783e-17,5.551115123125783e-17,True
ftv_complete_375,2026,LOCAL0,T2,M|RAW,375,0.5176672384219554,0.3159548717287429,0.2977587664598866,375,0.5176672384219554,0.3159548717287429,0.2977587664598866,both,0.0,0.0,0.0,True
ftv_complete_375,2026,LOCAL0,T3,C,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,both,0.0,0.0,0.0,True
ftv_complete_375,2026,LOCAL0,T3,C+F,375,0.7154030874785592,0.5393749537451002,0.192993628182948,375,0.7154030874785592,0.5393749537451002,0.19299362818294807,both,0.0,0.0,8.326672684688674e-17,True
ftv_complete_375,2026,LOCAL0,T3,C+F+M|RAW,375,0.6227444253859349,0.4024634631574642,0.245502066315542,375,0.6227444253859349,0.4024634631574642,0.24550206631554208,both,0.0,0.0,8.326672684688674e-17,True
ftv_complete_375,2026,LOCAL0,T3,C+M|RAW,375,0.5685763293310463,0.3551663958379752,0.257880394969921,375,0.5685763293310463,0.35516639583797527,0.25788039496992105,both,0.0,5.551115123125783e-17,5.551115123125783e-17,True
ftv_complete_375,2026,LOCAL0,T3,F,375,0.6913207547169811,0.4682411335811604,0.1879431858034445,375,0.6913207547169811,0.4682411335811604,0.18794318580344452,both,0.0,0.0,2.7755575615628914e-17,True
ftv_complete_375,2026,LOCAL0,T3,M|RAW,375,0.525934819897084,0.345116550669754,0.2871471711044064,375,0.525934819897084,0.345116550669754,0.28714717110440646,both,0.0,0.0,5.551115123125783e-17,True
ftv_complete_375,2026,LOCAL3,T0,C,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,both,0.0,0.0,0.0,True
ftv_complete_375,2026,LOCAL3,T0,C+F,375,0.6880274442538593,0.538897485664505,0.2356217123236572,375,0.6880274442538593,0.538897485664505,0.2356217123236572,both,0.0,0.0,0.0,True
ftv_complete_375,2026,LOCAL3,T0,C+F+M|RAW,375,0.5541166380789022,0.3296663447325537,0.2746834136004967,375,0.5541166380789022,0.32966634473255374,0.2746834136004967,both,0.0,5.551115123125783e-17,0.0,True
ftv_complete_375,2026,LOCAL3,T0,C+M|RAW,375,0.5754716981132075,0.3538141825671163,0.2522084862192528,375,0.5754716981132075,0.35381418256711633,0.25220848621925285,both,0.0,5.551115123125783e-17,5.551115123125783e-17,True
ftv_complete_375,2026,LOCAL3,T0,F,375,0.5020926243567754,0.2921751272631997,0.2494843995603369,375,0.5020926243567754,0.2921751272631997,0.24948439956033697,both,0.0,0.0,5.551115123125783e-17,True
ftv_complete_375,2026,LOCAL3,T0,M|RAW,375,0.5036020583190395,0.2956893098336265,0.314051103026208,375,0.5036020583190395,0.29568930983362657,0.31405110302620803,both,0.0,5.551115123125783e-17,5.551115123125783e-17,True
ftv_complete_375,2026,LOCAL3,T1,C,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,both,0.0,0.0,0.0,True
ftv_complete_375,2026,LOCAL3,T1,C+F,375,0.6971526586620925,0.5259975356624463,0.1979546275883152,375,0.6971526586620925,0.5259975356624463,0.19795462758831528,both,0.0,0.0,8.326672684688674e-17,True
ftv_complete_375,2026,LOCAL3,T1,C+F+M|RAW,375,0.6482332761578045,0.4209662162244224,0.2187685498014889,375,0.6482332761578045,0.4209662162244224,0.2187685498014889,both,0.0,0.0,0.0,True
ftv_complete_375,2026,LOCAL3,T1,C+M|RAW,375,0.62483704974271,0.4040585680087159,0.2274952690889509,375,0.62483704974271,0.4040585680087159,0.2274952690889509,both,0.0,0.0,0.0,True
ftv_complete_375,2026,LOCAL3,T1,F,375,0.6593481989708404,0.4223046318898934,0.1964305978965736,375,0.6593481989708404,0.4223046318898934,0.19643059789657363,both,0.0,0.0,2.7755575615628914e-17,True
ftv_complete_375,2026,LOCAL3,T1,M|RAW,375,0.5239451114922813,0.3268956615625282,0.2800498189483585,375,0.5239451114922813,0.3268956615625282,0.28004981894835856,both,0.0,0.0,5.551115123125783e-17,True
ftv_complete_375,2026,LOCAL3,T2,C,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,both,0.0,0.0,0.0,True
ftv_complete_375,2026,LOCAL3,T2,C+F,375,0.726106346483705,0.5400010651611841,0.1887354938947084,375,0.726106346483705,0.5400010651611841,0.1887354938947084,both,0.0,0.0,0.0,True
ftv_complete_375,2026,LOCAL3,T2,C+F+M|RAW,375,0.6220583190394511,0.4082173104347369,0.2604756522836502,375,0.6220583190394511,0.40821731043473697,0.26047565228365027,both,0.0,5.551115123125783e-17,5.551115123125783e-17,True
ftv_complete_375,2026,LOCAL3,T2,C+M|RAW,375,0.6015094339622642,0.3794535941772576,0.2602240434223839,375,0.6015094339622642,0.37945359417725766,0.2602240434223839,both,0.0,5.551115123125783e-17,0.0,True
ftv_complete_375,2026,LOCAL3,T2,F,375,0.66295025728988,0.434818959248443,0.1939632279868335,375,0.66295025728988,0.43481895924844305,0.19396322798683355,both,0.0,5.551115123125783e-17,5.551115123125783e-17,True
ftv_complete_375,2026,LOCAL3,T2,M|RAW,375,0.5556432246998285,0.3475310363097695,0.2746216205114493,375,0.5556432246998285,0.3475310363097695,0.27462162051144934,both,0.0,0.0,5.551115123125783e-17,True
ftv_complete_375,2026,LOCAL3,T3,C,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,both,0.0,0.0,0.0,True
ftv_complete_375,2026,LOCAL3,T3,C+F,375,0.7154030874785592,0.5393749537451002,0.192993628182948,375,0.7154030874785592,0.5393749537451002,0.19299362818294807,both,0.0,0.0,8.326672684688674e-17,True
ftv_complete_375,2026,LOCAL3,T3,C+F+M|RAW,375,0.6174957118353345,0.3952456199032556,0.2498883907642783,375,0.6174957118353345,0.3952456199032556,0.24988839076427832,both,0.0,0.0,2.7755575615628914e-17,True
ftv_complete_375,2026,LOCAL3,T3,C+M|RAW,375,0.573344768439108,0.3629340702282097,0.2593728142385988,375,0.573344768439108,0.3629340702282097,0.2593728142385988,both,0.0,0.0,0.0,True
ftv_complete_375,2026,LOCAL3,T3,F,375,0.6913207547169811,0.4682411335811604,0.1879431858034445,375,0.6913207547169811,0.4682411335811604,0.18794318580344452,both,0.0,0.0,2.7755575615628914e-17,True
ftv_complete_375,2026,LOCAL3,T3,M|RAW,375,0.5772898799313894,0.3604786459445592,0.2711178269082221,375,0.5772898799313894,0.36047864594455925,0.2711178269082221,both,0.0,5.551115123125783e-17,0.0,True
ftv_complete_375,3026,LOCAL0,T0,C,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,375,0.6966723842195541,0.5362125873999827,0.2430950945429407,both,0.0,0.0,0.0,True
ftv_complete_375,3026,LOCAL0,T0,C+F,375,0.6880274442538593,0.538897485664505,0.2356217123236572,375,0.6880274442538593,0.538897485664505,0.2356217123236572,both,0.0,0.0,0.0,True
