comparison_name,population,seed,arm,timing,reference_selector,comparison_selector,n,reference_auroc,comparison_auroc,delta_auroc,reference_auprc,comparison_auprc,delta_auprc,reference_brier,comparison_brier,delta_brier,brier_improvement
late_vs_concat_CF_M,ftv_complete_375,2026,LOCAL0,T1,"{""model_key"":""C+F+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.7132761578044596,0.6473413379073757,-0.06593481989708394,0.532143382122308,0.4657523345363164,-0.06639104758599162,0.18872833076462012,0.21164337727166574,0.022915046507045622,-0.022915046507045622
late_vs_concat_CF_M,ftv_complete_375,2026,LOCAL0,T2,"{""model_key"":""C+F+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.6841509433962264,0.6613379073756432,-0.022813036020583155,0.47903616704618485,0.5175680733859583,0.03853190633977349,0.21536850428950446,0.21847768629964212,0.0031091820101376566,-0.0031091820101376566
late_vs_concat_CF_M,ftv_complete_375,2026,LOCAL0,T3,"{""model_key"":""C+F+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.6902572898799313,0.6884734133790738,-0.0017838765008575397,0.48961370450506225,0.5076053897496418,0.017991685244579503,0.21226387228120847,0.1980132486062051,-0.014250623675003377,0.014250623675003377
late_vs_concat_CF_M,ftv_complete_375,2026,LOCAL3,T0,"{""model_key"":""C+F+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.6553001715265866,0.6384562607204117,-0.016843910806174867,0.4883585337259269,0.4975471401700249,0.009188606444097969,0.2308986525940132,0.22828439131822123,-0.002614261275791979,0.002614261275791979
late_vs_concat_CF_M,ftv_complete_375,2026,LOCAL3,T1,"{""model_key"":""C+F+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.7005145797598626,0.6892967409948543,-0.01121783876500837,0.5116815821766543,0.48690157916649607,-0.024780003010158203,0.19842632116132033,0.19492731971458516,-0.003499001446735178,0.003499001446735178
late_vs_concat_CF_M,ftv_complete_375,2026,LOCAL3,T2,"{""model_key"":""C+F+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.7091252144082333,0.6844253859348198,-0.024699828473413454,0.5131599416626581,0.5156105722512765,0.0024506305886183855,0.20208173127804496,0.19887408829170938,-0.0032076429863355793,0.0032076429863355793
late_vs_concat_CF_M,ftv_complete_375,2026,LOCAL3,T3,"{""model_key"":""C+F+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.6921440823327616,0.6999656946826758,0.007821612349914187,0.5000612201197375,0.5323174445709408,0.03225622445120324,0.2131464639813283,0.1947788756670722,-0.01836758831425611,0.01836758831425611
late_vs_concat_CF_M,ftv_complete_375,3026,LOCAL0,T0,"{""model_key"":""C+F+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.6195883361921097,0.6404116638078903,0.02082332761578054,0.4293869432530978,0.45913154018132163,0.029744596928223843,0.23281099631771424,0.20981121450063725,-0.022999781817076986,0.022999781817076986
late_vs_concat_CF_M,ftv_complete_375,3026,LOCAL0,T1,"{""model_key"":""C+F+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.6895368782161235,0.7136878216123499,0.024150943396226365,0.5020444815193985,0.5233699216345933,0.02132544011519477,0.2022806305016247,0.18458862901798148,-0.01769200148364322,0.01769200148364322
late_vs_concat_CF_M,ftv_complete_375,3026,LOCAL0,T2,"{""model_key"":""C+F+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.6954373927958835,0.6845626072041167,-0.0108747855917668,0.47222674952357896,0.5273523135023132,0.05512556397873419,0.20653532504266855,0.19928720491661495,-0.007248120126053609,0.007248120126053609
late_vs_concat_CF_M,ftv_complete_375,3026,LOCAL0,T3,"{""model_key"":""C+F+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.6904631217838766,0.705728987993139,0.015265866209262402,0.49401469264988324,0.5416397966969231,0.047625104047039846,0.20495076912291113,0.19454485907367408,-0.01040591004923705,0.01040591004923705
late_vs_concat_CF_M,ftv_complete_375,3026,LOCAL3,T0,"{""model_key"":""C+F+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.6562607204116637,0.6850771869639795,0.028816466552315734,0.4960681844590194,0.49918686968303383,0.003118685224014428,0.22910502014905545,0.1966882985062689,-0.032416721642786556,0.032416721642786556
late_vs_concat_CF_M,ftv_complete_375,3026,LOCAL3,T1,"{""model_key"":""C+F+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.7034991423670669,0.6235677530017152,-0.07993138936535171,0.5221427289667038,0.46914747538705903,-0.05299525357964474,0.19126695241091587,0.22085298772936532,0.029586035318449444,-0.029586035318449444
late_vs_concat_CF_M,ftv_complete_375,3026,LOCAL3,T2,"{""model_key"":""C+F+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.646106346483705,0.665180102915952,0.019073756432246958,0.4265074364857462,0.5008502566117565,0.07434282012601034,0.24280922267863259,0.20843113685917455,-0.03437808581945803,0.03437808581945803
late_vs_concat_CF_M,ftv_complete_375,3026,LOCAL3,T3,"{""model_key"":""C+F+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C+F,M)|PCA_SELECTED""}",375,0.6892624356775299,0.6829845626072041,-0.00627787307032579,0.4968621272832051,0.5244776578295637,0.02761553054635857,0.20337733157606697,0.20525497726686728,0.001877645690800317,-0.001877645690800317
late_vs_concat_C_M,ftv_complete_375,2026,LOCAL0,T0,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6426758147512864,0.6031903945111492,-0.03948542024013724,0.47991860158286803,0.4341117410895211,-0.045806860493346924,0.23027212114541049,0.21692402107543252,-0.01334810006997797,0.01334810006997797
late_vs_concat_C_M,ftv_complete_375,2026,LOCAL0,T1,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6576672384219554,0.6560891938250429,-0.0015780445969124646,0.480132404266582,0.50785405541611,0.02772165114952796,0.20885397366624012,0.2201685234761059,0.011314549809865793,-0.011314549809865793
late_vs_concat_C_M,ftv_complete_375,2026,LOCAL0,T2,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6119382504288164,0.6203430531732419,0.008404802744425455,0.3882674844434033,0.4656343650113873,0.07736688056798396,0.24842481724349624,0.23036091989658167,-0.018063897346914576,0.018063897346914576
late_vs_concat_C_M,ftv_complete_375,2026,LOCAL0,T3,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6052830188679246,0.635917667238422,0.030634648370497453,0.42409945399774707,0.47922972844958206,0.05513027445183499,0.23663042403233522,0.21625474232560513,-0.020375681706730098,0.020375681706730098
late_vs_concat_C_M,ftv_complete_375,2026,LOCAL3,T0,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6551972555746141,0.6126586620926243,-0.04253859348198974,0.4821934965010539,0.45521040403561325,-0.026983092465440672,0.22481958340107425,0.21967994700896687,-0.005139636392107377,0.005139636392107377
late_vs_concat_C_M,ftv_complete_375,2026,LOCAL3,T1,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.641269296740995,0.6711492281303602,0.029879931389365177,0.4510636712092733,0.4995579524244814,0.0484942812152081,0.24607653634971727,0.1938874791780789,-0.05218905717163838,0.05218905717163838
late_vs_concat_C_M,ftv_complete_375,2026,LOCAL3,T2,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6472727272727272,0.6471698113207547,-0.00010291595197253756,0.4534432915333259,0.4765955538893776,0.023152262356051667,0.24278694278398893,0.23902973182412038,-0.0037572109598685566,0.0037572109598685566
late_vs_concat_C_M,ftv_complete_375,2026,LOCAL3,T3,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6305660377358492,0.6415094339622642,0.010943396226415048,0.4307084987266453,0.458290955433885,0.02758245670723969,0.241818046680028,0.21502453168145588,-0.026793514998572104,0.026793514998572104
late_vs_concat_C_M,ftv_complete_375,3026,LOCAL0,T0,"{""model_key"":""C+M|PCA_SELECTED""}","{""model_key"":""LateFusion(C,M)|PCA_SELECTED""}",375,0.6138250428816466,0.6502229845626072,0.036397941680960555,0.4322378444136459,0.5107583463453156,0.0785205019316697,0.23442582315440674,0.23035074423135166,-0.0040750789230550866,0.0040750789230550866
