population,seed,arm,fold,timing,model_family,raw_input_dim,selected_dimension,selected_C,validation_auroc,selection_metric,tie_break,test_used_for_selection
ftv_complete_375,2026,LOCAL0,1,T2,"LateFusion(C,M)",576,32,0.0001,0.6785714285714285,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T2,"LateFusion(C+F,M)",576,32,10.0,0.7251984126984127,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T3,M,768,16,0.0001,0.6091269841269842,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T3,C+M,768,32,1.0,0.6795634920634921,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T3,C+F+M,768,32,1.0,0.7202380952380952,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T3,M_residual,768,16,0.001,0.5297619047619048,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T3,C+F+M_residual,768,32,1.0,0.7182539682539683,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T3,"LateFusion(C,M)",768,32,0.001,0.6656746031746031,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,1,T3,"LateFusion(C+F,M)",768,32,0.0001,0.7192460317460317,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,2,T0,M,192,32,1.0,0.5397830018083182,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,2,T0,C+M,192,32,0.1,0.7827004219409281,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,2,T0,"LateFusion(C,M)",192,32,0.01,0.7941531042796866,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,2,T1,M,384,8,10.0,0.5572634116937913,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,2,T1,C+M,384,8,0.1,0.7784810126582279,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,2,T1,"LateFusion(C,M)",384,64,0.0001,0.7851115129596142,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,2,T2,M,576,64,10.0,0.5852923447860157,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,2,T2,C+M,576,64,0.001,0.7739602169981916,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,2,T2,"LateFusion(C,M)",576,64,0.0001,0.7833031946955997,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,2,T3,M,768,16,1.0,0.564798071127185,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,2,T3,C+M,768,16,0.001,0.7628089210367691,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,2,T3,"LateFusion(C,M)",768,16,0.0001,0.7652200120554551,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T0,M,192,64,100.0,0.5277310924369748,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T0,C+M,192,16,0.01,0.7109243697478992,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T0,C+F+M,192,16,0.1,0.719327731092437,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T0,M_residual,192,16,0.01,0.5260504201680672,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T0,C+F+M_residual,192,16,0.1,0.719327731092437,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T0,"LateFusion(C,M)",192,16,1.0,0.7445378151260504,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T0,"LateFusion(C+F,M)",192,32,0.1,0.7579831932773109,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T1,M,384,8,1.0,0.6571428571428571,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T1,C+M,384,8,1.0,0.7747899159663866,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T1,C+F+M,384,8,1.0,0.8470588235294118,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T1,M_residual,384,8,0.01,0.7176470588235294,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T1,C+F+M_residual,384,8,1.0,0.8470588235294118,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T1,"LateFusion(C,M)",384,8,0.0001,0.7563025210084033,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T1,"LateFusion(C+F,M)",384,8,0.01,0.8252100840336134,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T2,M,576,16,1.0,0.626890756302521,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T2,C+M,576,8,1.0,0.7243697478991598,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T2,C+F+M,576,8,1.0,0.7966386554621849,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T2,M_residual,576,8,1.0,0.6554621848739496,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T2,C+F+M_residual,576,8,0.1,0.8100840336134454,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T2,"LateFusion(C,M)",576,16,0.1,0.7327731092436974,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T2,"LateFusion(C+F,M)",576,32,0.001,0.7983193277310925,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T3,M,768,16,1.0,0.611764705882353,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T3,C+M,768,32,0.1,0.7243697478991596,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T3,C+F+M,768,32,0.1,0.7680672268907563,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T3,M_residual,768,16,10.0,0.6823529411764706,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T3,C+F+M_residual,768,32,0.1,0.7815126050420168,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T3,"LateFusion(C,M)",768,8,10.0,0.7361344537815127,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,2,T3,"LateFusion(C+F,M)",768,8,1.0,0.8033613445378152,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,3,T0,M,192,16,0.0001,0.5746951219512195,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,3,T0,C+M,192,16,0.001,0.728658536585366,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,3,T0,"LateFusion(C,M)",192,32,0.1,0.7451219512195122,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,3,T1,M,384,32,0.1,0.6371951219512195,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,3,T1,C+M,384,32,0.01,0.7551829268292682,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,3,T1,"LateFusion(C,M)",384,64,1.0,0.7509146341463414,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,3,T2,M,576,64,1.0,0.575,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,3,T2,C+M,576,8,0.01,0.7338414634146342,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,3,T2,"LateFusion(C,M)",576,32,0.1,0.7512195121951218,validation_auroc,smaller_dimension_then_smaller_C,False
