population,seed,arm,timing,representation,target,n_folds,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,class_counts
full_808,3026,LOCAL0,T0,pca16,HR,5,808,453.0,355.0,2,0.5177564281938873,0.5658091432111675,0.5236296365388801,0.2553825081417598,"{""0"":355,""1"":453}"
full_808,3026,LOCAL0,T0,pca16,subtype_4class,5,808,,,4,0.5117555201778301,0.25368057016076684,0.24588935461861253,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL0,T0,pca32,HER2,5,808,201.0,607.0,2,0.5272976140713238,0.30162059756780424,0.5367806765185604,0.2499661609808508,"{""0"":607,""1"":201}"
full_808,3026,LOCAL0,T0,pca32,HR,5,808,453.0,355.0,2,0.520784752666107,0.5752882171758937,0.5096539501912135,0.2598900425765355,"{""0"":355,""1"":453}"
full_808,3026,LOCAL0,T0,pca32,subtype_4class,5,808,,,4,0.5041793314681335,0.26064279797781303,0.26568176853539877,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL0,T0,raw,HER2,5,808,201.0,607.0,2,0.5177243928627047,0.2639344205107401,0.502807215979411,0.26801408278256,"{""0"":607,""1"":201}"
full_808,3026,LOCAL0,T0,raw,HR,5,808,453.0,355.0,2,0.5347946398035008,0.5749108827111553,0.5251593445885023,0.26510380772128733,"{""0"":355,""1"":453}"
full_808,3026,LOCAL0,T0,raw,subtype_4class,5,808,,,4,0.5219130033961535,0.26647225598408064,0.243855244279997,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL0,T1,pca16,HER2,5,808,201.0,607.0,2,0.5422557722097913,0.27475493465748113,0.5412763202111355,0.2515825550917159,"{""0"":607,""1"":201}"
full_808,3026,LOCAL0,T1,pca16,HR,5,808,453.0,355.0,2,0.5220097627708858,0.579848851561693,0.5138295557006498,0.2518240220810844,"{""0"":355,""1"":453}"
full_808,3026,LOCAL0,T1,pca16,subtype_4class,5,808,,,4,0.5400785036700982,0.276154844384825,0.2881201810794921,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL0,T1,pca32,HER2,5,808,201.0,607.0,2,0.5435016023670773,0.2922341083893736,0.5167777258681878,0.2471708859121689,"{""0"":607,""1"":201}"
full_808,3026,LOCAL0,T1,pca32,HR,5,808,453.0,355.0,2,0.5257594129900818,0.5784441198240382,0.5042688803905109,0.25483122695943994,"{""0"":355,""1"":453}"
full_808,3026,LOCAL0,T1,pca32,subtype_4class,5,808,,,4,0.524323123452028,0.26570457649285606,0.28577161047345767,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL0,T1,raw,HER2,5,808,201.0,607.0,2,0.5395592056193497,0.2815618020520957,0.5488414599162343,0.2596260503197133,"{""0"":607,""1"":201}"
