seed_base,arm,state,endpoint,target,n,n_positive,auroc,auprc,brier,auroc_macro_ovr,accuracy,flip_invariant_decodability
3026,F1,z_P,T2,label_hr,808,453.0,0.5416161427727513,0.5940863613104614,0.26547928917815694,,,0.5416161427727513
3026,F1,z_P,T2,subtype,808,,0.5354374326836772,,,0.5354374326836772,0.2722772277227723,
3026,F1,z_P,T3,label_her2,808,201.0,0.533748063635693,0.2666503247634925,0.2597097074828766,,,0.533748063635693
3026,F1,z_P,T3,label_hr,808,453.0,0.5082050803718559,0.5556741650258641,0.2622769503874273,,,0.5082050803718559
3026,F1,z_P,T3,subtype,808,,0.512504518223032,,,0.512504518223032,0.2660891089108911,
3026,F1,z_R,T0,label_her2,808,201.0,0.5107575794831444,0.2604625222610582,0.2691698863042853,,,0.5107575794831444
3026,F1,z_R,T0,label_hr,808,453.0,0.5319217734664056,0.5877811750889381,0.2649149003626676,,,0.5319217734664056
3026,F1,z_R,T0,subtype,808,,0.518058944779947,,,0.518058944779947,0.2722772277227723,
3026,F1,z_R,T1,label_her2,808,201.0,0.5359938364192218,0.28322812362579475,0.24858812368289404,,,0.5359938364192218
3026,F1,z_R,T1,label_hr,808,453.0,0.49992848925784283,0.5596593847761592,0.2621548796142443,,,0.5000715107421572
3026,F1,z_R,T1,subtype,808,,0.5042516382746597,,,0.5042516382746597,0.2400990099009901,
3026,F1,z_R,T2,label_her2,808,201.0,0.5592056193497095,0.29119138733335415,0.25507150142463575,,,0.5592056193497095
3026,F1,z_R,T2,label_hr,808,453.0,0.5263999005067935,0.5927918134131274,0.274781278102716,,,0.5263999005067935
3026,F1,z_R,T2,subtype,808,,0.5454074514610087,,,0.5454074514610087,0.31064356435643564,
