arm,seed_base,population,timing,comparison,baseline_model,augmented_model,n,n_positive,n_bootstrap,confidence_level,bootstrap_unit,stratification,random_seed,delta_auroc,delta_auroc_ci_lower,delta_auroc_ci_upper,delta_auprc,delta_auprc_ci_lower,delta_auprc_ci_upper,brier_improvement,brier_improvement_ci_lower,brier_improvement_ci_upper
F2,3026,full_808,T0,beyond_C_full_vs_zR,C+z_R,C+z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,307226,-0.027057820228551965,-0.04652021149582129,-0.006719426914548885,-0.023151056487627497,-0.0548513600421499,0.00886356487197696,-0.011750316803776445,-0.01899001896226921,-0.0042732483937660964
F2,3026,full_808,T0,beyond_C_zP_vs_C,C,C+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,308235,-0.0009380863039399889,-0.03615657513218485,0.03335024731366167,-0.020057055085154096,-0.07287780641476459,0.034448716381668354,0.012625629584061965,-0.0008617707776071209,0.02529442819569149
F2,3026,ftv_complete_375,T0,beyond_C_F_full_vs_zR,C+F+z_R,C+F+z_R+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,309244,-0.07677530017152656,-0.12885420240137208,-0.02941938250428815,-0.09447103889255382,-0.1575182557653634,-0.03678362742672586,-0.06528352722708919,-0.087769997258679,-0.044591116289115613
F2,3026,ftv_complete_375,T0,beyond_C_F_zP_vs_C_F,C+F,C+F+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,310253,-0.09509433962264147,-0.15149399656946813,-0.04074442538593489,-0.14918165404410466,-0.22536244755329807,-0.08110685683139762,-0.0506343380545195,-0.07818431897817768,-0.024825261132679795
F2,3026,full_808,T0-T1,MRI_full_vs_zR,z_R,z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,311262,-0.006842913184376576,-0.036311785775200424,0.02228944226505203,-0.003854491091543011,-0.0360665862124693,0.028654498173968136,-0.005829458631547102,-0.014268255692055497,0.0030923336720709753
F2,3026,full_808,T0-T1,beyond_C_full_vs_zR,C+z_R,C+z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,312271,-0.03528568991983638,-0.056641821593041146,-0.013377451816476272,-0.04595314272638795,-0.08132403986532186,-0.010957708250155018,-0.014804916397495316,-0.022426508004953206,-0.006955358879104721
F2,3026,full_808,T0-T1,beyond_C_zP_vs_C,C,C+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,313280,-0.021828415486952135,-0.05776479617943022,0.014377366535903236,-0.050155767932833106,-0.10244797278327918,0.0009554670395509668,0.004885907706795145,-0.007042141173105476,0.01671204093970975
F2,3026,ftv_complete_375,T0-T1,beyond_C_F_full_vs_zR,C+F+z_R,C+F+z_R+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,314289,-0.010257289879931353,-0.0474168096054889,0.026658662092624293,-0.017815789321948328,-0.06506700499093118,0.028472816731560404,-0.009091143130334184,-0.023065795902632656,0.005093741766265632
F2,3026,ftv_complete_375,T0-T1,beyond_C_F_zP_vs_C_F,C+F,C+F+z_P,375,110,2000,0.95,patient,outer_fold_x_outcome,315298,-0.11430531732418536,-0.17329073756432234,-0.04881475128644944,-0.17998944578181936,-0.2529044415701755,-0.0911408206521219,-0.053100933597474614,-0.07282704479819382,-0.03151136616537695
F2,3026,full_808,T0-T2,MRI_full_vs_zR,z_R,z_R+z_P,808,275,2000,0.95,patient,outer_fold_x_outcome,316307,-0.013167320484393508,-0.04186338052191701,0.01526539314344187,0.002075355504530252,-0.027958214805241216,0.03450730915248183,-0.015224254215804894,-0.024769896600311116,-0.005960315555471049
